Timestamp,O3,PM2.5,NO2,SO2,Pressure,RH,Temperature,Wind Speed,O3BL,PMBL,NO2BL,SO2BL,PBL,rhbl,TBL,WSBL,ln(O3)-O3BL,ln(PM)-PMBL,ln(NO2)-NO2BL,ln(SO2)-SO2BL,ln(P)-PBL,ln(rh)-rhbl,ln(T)-TBL,ln(WS)-WSBL
2001/01/01,18.9625833333,60.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/02,17.8996583333,53.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/03,17.9209208333,45.4166666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/04,20.0042541666,60.1770833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/05,19.3558625000,33.2916666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/06,17.0918416666,23.5833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/07,10.2944442708,83.9166666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/08,17.5807833333,47.5416666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/09,14.4026343750,61.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/10,7.75937499999,45.7291666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/11,9.67261666666,58.8333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/12,17.9846833333,39.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/13,9.31123333333,47.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/14,18.4337822916,43.8333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/15,14.4132624999,66.5416666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/16,18.8456625,65.4166666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/17,22.9007270833,38.8645833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/18,17.2619,37.6666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/19,22.013175,41.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/20,16.1617822916,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/21,17.7933666666,47.5387369791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/22,16.1352,56.2945048014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/23,15.2569442708,33.578125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/24,14.2750791666,34.2083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/25,8.81429486490,38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/26,11.1819791666,14.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/27,10.8949916666,27.2083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/28,9.95431041666,25.8958333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/29,13.6053129394,53.9674479166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/30,16.2608733881,45.3020833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/01/31,17.9697317993,35.193359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/01,9.48064401041,55.9166666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/02,13.0952541666,39.3854166666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/03,13.3716124999,34.7083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/04,7.82238179524,56.2708333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/05,13.9243208333,22.244140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/06,13.1802788925,41.9166666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/07,12.0323127742,51.7915852864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/08,9.82143749999,43.6667480443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/09,10.4166666666,50.8333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/10,11.0969291666,42.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/11,16.4753458333,36.765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001/02/12,19.2176875000,49.9166666666,0,0,0,0,0,0,2.75997022796,3.78315570894,0,0,0,0,0,0,0.19586085096,0.12719923937,0,0,0,0,0,0
2001/02/13,17.5807750000,38.7083333333,0,0,0,0,0,0,2.76900679933,3.78907665011,0,0,0,0,0,0,0.09779917613,-0.1330217416,0,0,0,0,0,0
2001/02/14,15.6675208333,24.0494791666,0,0,0,0,0,0,2.77825000055,3.79529107815,0,0,0,0,0,0,-0.0266601677,-0.6151777381,0,0,0,0,0,0
2001/02/15,16.8367375000,42.5,0,0,0,0,0,0,2.78774978277,3.80170142961,0,0,0,0,0,0,0.03581347211,-0.0521973536,0,0,0,0,0,0
2001/02/16,22.4499840006,52.375,0,0,0,0,0,0,2.79754065310,3.80829211180,0,0,0,0,0,0,0.31374924841,0.15013726643,0,0,0,0,0,0
2001/02/17,27.0620833333,62.5833333333,0,0,0,0,0,0,2.80751276926,3.81509300135,0,0,0,0,0,0,0.49062083992,0.32140600061,0,0,0,0,0,0
2001/02/18,22.4914916666,43.2083333333,0,0,0,0,0,0,2.81762017673,3.82202283891,0,0,0,0,0,0,0.29551691281,-0.0559894610,0,0,0,0,0,0
2001/02/19,22.2337432291,45.34375,0,0,0,0,0,0,2.82779297716,3.82906257185,0,0,0,0,0,0,0.27381812300,-0.0147902217,0,0,0,0,0,0
2001/02/20,21.8969309895,36.375,0,0,0,0,0,0,2.83787996036,3.83625134004,0,0,0,0,0,0,0.24846652917,-0.2423696145,0,0,0,0,0,0
2001/02/21,18.8988125000,65.8333333333,0,0,0,0,0,0,2.84782386982,3.84341569855,0,0,0,0,0,0,0.09127521957,0.34371059712,0,0,0,0,0,0
2001/02/22,20.169003125,74.3333333333,0,0,0,0,0,0,2.85756747116,3.85047867363,0,0,0,0,0,0,0.14657945593,0.45808080915,0,0,0,0,0,0
2001/02/23,18.3567187500,78.7083333333,0,0,0,0,0,0,2.86709954786,3.85748230794,0,0,0,0,0,0,0.04289610403,0.50826672920,0,0,0,0,0,0
2001/02/24,14.7321499999,65.1666666666,0,0,0,0,0,0,2.87636383128,3.86435872260,0,0,0,0,0,0,-0.1863316508,0.31258936815,0,0,0,0,0,0
2001/02/25,15.0935499999,30.0833333333,0,0,0,0,0,0,2.88529037459,3.87104389189,0,0,0,0,0,0,-0.1710228743,-0.4670725833,0,0,0,0,0,0
2001/02/26,14.2684526692,20.1569010416,0,0,0,0,0,0,2.89382145686,3.87743978152,0,0,0,0,0,0,-0.2357704636,-0.8738930683,0,0,0,0,0,0
2001/02/27,16.4939432291,28.2916666666,0,0,0,0,0,0,2.90199275315,3.88356487626,0,0,0,0,0,0,-0.0989995166,-0.5409975790,0,0,0,0,0,0
