Timestamp,O3,PM2.5,NO2,SO2,Pressure,RH,Temperature,Wind Speed,O3BL,PMBL,NO2BL,SO2BL,PBL,rhbl,TBL,WSBL,ln(O3)-O3BL,ln(PM)-PMBL,ln(NO2)-NO2BL,ln(SO2)-SO2BL,ln(P)-PBL,ln(rh)-rhbl,ln(T)-TBL,ln(WS)-WSBL
2003/01/01,12.1598666666,0,28.5017833333,4.182575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/02,20.0680166666,0,35.1285458333,5.74109166666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/03,13.4141124999,0,30.9840374999,5.53435000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/04,10.4379208333,0,39.6498208333,6.05917083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/05,23.1930208333,0,28.7234041666,5.45483333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/06,13.3928583333,0,28.5460999999,5.56616250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/07,14.8384416666,0,28.080675,6.12277916666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/08,9.86394166666,0,30.9840375,4.38931250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/09,9.78955,0,55.3523854166,24.3161562500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/10,14.9287791666,0,39.4669760416,15.5693322916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/11,13.4991499999,0,47.5177124999,11.7207333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/12,10.6292458333,0,52.593075,12.2296458333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/13,11.4370749999,0,63.7411291666,16.7620874999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/14,15.4655666666,0,54.9313041666,9.62150416666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/15,23.0814270833,0,46.221184375,6.858296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/16,15.5612208333,0,59.5079833333,14.6151374999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/17,14.6683791666,0,57.0257,8.0948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/18,12.3937041666,0,52.0390083333,6.79070833333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/19,9.86394166666,0,88.4972958333,26.7970750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/20,12.7550916666,0,63.9184333333,13.6768541666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/21,24.043375,0,49.0248291666,7.88804583333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/22,13.6266874999,0,62.8989500000,19.3066083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/23,10.4166708333,0,59.6188041666,14.9888645833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/24,25.9353541666,0,37.9875958333,3.75318333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/25,17.5382625,0,39.8714583333,3.76907916666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/26,7.35542500000,0,45.1905999999,10.8937666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/27,15.6675125,0,26.0416666666,7.53816250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/28,14.4982958333,0,47.0079749999,9.47836250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/29,17.8996583333,0,45.5452166666,6.23409166666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/30,24.0433666666,0,38.8741083333,3.99172916666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/31,18.6224458333,0,40.2925541666,4.29390416666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/01,8.52466666666,0,37.6551333333,5.86832083333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/02,10.650525,0,26.3519500000,3.73727916666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/03,10.0765333333,0,28.5682625000,4.69148333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/04,22.1726125,0,20.3014166666,3.29198749999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/05,18.9413291666,0,35.2836708333,5.931925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/06,24.6173458333,0,41.3563854166,6.56806666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/07,17.5595333333,0,46.2322749999,4.9777375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
