,Station ID,CN_1361A,CN_1360A,XCNAQ021,CN_1387A,CN_1390A,CN_1388A,CN_1391A,XCNAQ2840,XCNAQ2839,XCNAQ2841,CN_1389A,XCNAQ2845,CN_1379A,XCNAQ2844,XCNAQ2842,CN_1380A,XCNAQ2843,CN_1382A,CN_1381A,XCNAQ443,XCNAQ444,XCNAQ445,CN_1378A,CN_1377A,XCNAQ2822,CN_1372A,XCNAQ2821,XCNAQ2818,CN_1373A,CN_1375A,XCNAQ047,CN_1371A,XCNAQ2820,XCNAQ025,CN_1374A,CN_1376A,XCNAQ2823,XCNAQ048,XCNAQ022,CN_1353A,XCNAQ2809,XCNAQ1179,XCNAQ2805,XCNAQ2806,CN_1347A,XCNAQ2804,CN_1346A,CN_1349A,CN_1352A,CN_1355A,CN_1348A,CN_1345A,XCNAQ2801,CN_1350A,XCNAQ2803,XCNAQ2811,XCNAQ2802,CN_1351A,XCNAQ2800,XCNAQ2807,XCNAQ2808,CN_1354A,XCNAQ2810,CN_1393A,XCNAQ2836,CN_1396A,XCNAQ2838,XCNAQ2835,CN_1395A,CN_1394A,CN_1392A,XCNAQ2837,XCNAQ428,XCNAQ426,XCNAQ543,XCNAQ429,XCNAQ1148,XCNAQ427,XCNAQ1149,XCNAQ434,XCNAQ435,XCNAQ436,XCNAQ247,XCNAQ249,XCNAQ248,XCNAQ245,XCNAQ246,XCNAQ250,XCNAQ438,XCNAQ437,XCNAQ439,CN_1386A,CN_1383A,XCNAQ2827,XCNAQ2828,CN_1385A,XCNAQ2829,XCNAQ2824,XCNAQ2825,XCNAQ2826,CN_1384A,XCNAQ1145,XCNAQ415,XCNAQ416,XCNAQ417,XCNAQ1144,XCNAQ1146,CN_1358A,CN_1359A,XCNAQ1296,CN_1363A,XCNAQ555,XCNAQ549,CN_1365A,XCNAQ553,XCNAQ548,XCNAQ2814,CN_1357A,XCNAQ2813,XCNAQ2812,CN_1360A.1,CN_1356A,CN_1364A,CN_1362A,CN_1366A,XCNAQ1295,CN_1361A.1,XCNAQ418,XCNAQ419,XCNAQ1239,XCNAQ420,XCNAQ1147,XCNAQ252,XCNAQ257,XCNAQ251,XCNAQ253,XCNAQ256,XCNAQ254,XCNAQ425,XCNAQ1246,XCNAQ424,XCNAQ423,CN_1368A,CN_1367A,CN_1369A,CN_1370A,XCNAQ2816,XCNAQ2817,XCNAQ031,XCNAQ034,XCNAQ032,CN_1400A,XCNAQ2831,XCNAQ2834,CN_1399A,CN_1398A,XCNAQ2830,XCNAQ2832,CN_1397A,XCNAQ2833,XCNAQ432,XCNAQ430,XCNAQ431,XCNAQ433,XCNAQ258,XCNAQ036,XCNAQ033,XCNAQ029,XCNAQ442,XCNAQ441,XCNAQ440,XCNAQ263,XCNAQ262,XCNAQ264,XCNAQ261,XCNAQ265,XCNAQ023
0,Latitude,22.7267,22.5908,22.7108,23.0536,23.0127,23.0277,22.9658,22.8088,22.9741,23.0662,23.0600,22.3511,22.5211,22.5047,22.6450,22.5497,22.6275,22.5111,22.4853,22.9394,22.9168,22.9539,23.1886,23.1572,22.9711,23.0395,22.9819,23.0327,23.0467,22.7628,22.9977,23.0048,23.0452,22.8191,22.8054,22.8693,22.9316,22.5862,23.6503,23.2783,23.5472,23.1323,22.6165,23.2872,23.1358,23.1988,23.1050,23.1050,23.1331,23.5538,23.0916,23.1422,23.0769,22.9477,22.9061,23.1932,23.2263,23.3917,23.4501,23.0783,23.0632,23.1569,23.0995,23.0799,23.1713,22.7422,22.7750,22.9868,22.8172,23.1142,23.0528,23.7247,23.5738,23.5352,23.5503,23.5486,23.5353,23.5292,23.5486,24.3289,24.2719,24.2654,23.2536,23.2539,23.4714,23.2775,23.3667,23.3633,22.7898,22.7750,22.7925,22.5931,22.6069,22.7725,22.2550,22.5328,22.7750,22.2466,22.3797,22.3602,22.5811,23.7586,23.7566,23.6570,23.7227,23.7569,23.7232,22.5417,22.5167,22.5171,22.5422,22.7471,22.7622,22.5978,22.6422,22.7263,22.5680,22.5625,22.5432,22.5298,22.5908,22.5500,22.6342,22.5794,22.7500,22.5545,22.7267,23.7106,23.6598,23.6344,23.6936,23.6351,21.2567,21.2228,21.2706,21.1997,21.2028,21.2679,23.6530,23.6588,23.6706,23.6713,22.2293,22.2611,22.4251,22.2281,22.0214,22.0650,23.1077,22.0597,23.4258,23.0786,23.3430,23.6327,23.1617,23.0528,23.1473,23.4215,23.0706,23.3027,21.6668,21.4689,21.6533,21.6828,22.5344,23.3404,22.7280,22.9397,21.8536,21.8649,21.8586,24.7959,24.7695,24.6863,24.8111,24.7790,23.1514
1,Longitude,114.2400,114.2630,113.5486,113.7819,113.7944,113.7461,113.7383,114.0686,114.0091,113.9225,113.7480,113.4377,113.3769,113.5216,113.2627,113.3881,113.4927,113.4075,113.4411,112.0369,112.0392,112.0539,112.8630,112.8850,113.1163,113.1050,112.9933,113.1500,113.1440,113.2570,113.1022,113.1340,112.8466,113.3100,113.2920,112.8440,112.8638,112.5814,113.6247,113.5680,113.5744,113.3208,113.6445,113.8208,113.3170,113.3608,113.2610,113.4330,113.2600,113.5890,113.3480,113.2350,113.3158,113.3520,113.3425,113.3006,113.2383,113.2150,113.3344,113.2227,113.5255,113.2810,113.4717,114.4053,114.2823,114.5317,114.6516,114.7148,114.3244,114.4103,114.4183,114.2577,116.3594,116.3697,116.3728,116.3241,116.3697,116.4094,116.3242,116.1278,116.0797,116.1248,116.4019,116.6092,116.7519,116.7258,116.6794,116.7244,115.3706,115.3653,115.3622,113.0819,113.1040,112.9533,112.7936,113.0240,112.9701,112.7972,112.7019,112.6726,113.0740,114.6944,114.6995,114.6878,114.6949,114.6778,114.6892,113.9870,113.9230,113.9181,114.4940,114.3489,113.8622,114.2970,114.1755,113.7689,114.0898,114.1170,114.0712,114.0117,114.2630,114.0960,114.4100,113.8910,114.0850,114.1063,114.2400,113.0208,113.0563,113.0472,113.0425,113.0682,110.4558,110.3928,110.3539,110.4019,110.4111,110.3316,116.6175,116.6183,116.6447,116.6339,113.4950,113.5740,113.6280,113.2990,113.2154,113.3479,113.3316,112.7550,113.0677,112.4722,112.6991,112.4277,112.5650,112.4710,111.7758,111.5039,112.4270,112.8119,110.9067,111.0286,110.9294,110.8592,113.9163,114.1074,112.9290,114.3806,111.9508,111.9494,111.9786,113.5980,113.5866,113.5970,113.5593,113.6734,113.2806
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,-99999.0000,26.2542,-99999.0000,8.8648,10.9694,8.7160,10.0553,-99999.0000,-99999.0000,-99999.0000,7.9082,-99999.0000,6.5689,-99999.0000,-99999.0000,7.3767,-99999.0000,8.6947,5.8461,-99999.0000,-99999.0000,-99999.0000,10.5230,7.5255,-99999.0000,6.3138,-99999.0000,-99999.0000,4.4005,4.7619,4.5493,5.6122,-99999.0000,4.5918,3.1463,11.3945,-99999.0000,-99999.0000,31.4839,12.1811,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.5485,-99999.0000,2.2747,8.5672,7.6956,-99999.0000,13.4992,8.8648,-99999.0000,4.0179,-99999.0000,-99999.0000,-99999.0000,11.7347,-99999.0000,-99999.0000,-99999.0000,4.4218,-99999.0000,11.4583,-99999.0000,45.5358,-99999.0000,-99999.0000,25.7653,13.0102,12.6275,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,6.5901,11.5009,-99999.0000,-99999.0000,8.0570,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.1658,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,6.5689,20.6845,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,11.3733,-99999.0000,-99999.0000,26.2542,5.9524,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,39.4132,7.2917,23.0655,4.7832,-99999.0000,-99999.0000,10.8631,15.9651,-99999.0000,9.5238,-99999.0000,-99999.0000,9.9915,4.4430,-99999.0000,-99999.0000,7.4405,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.9736,11.1182,7.5468,19.5366,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
4,2013/01/02 00:00:00,-99999.0000,30.6548,-99999.0000,14.6896,16.4328,16.6667,17.1131,-99999.0000,-99999.0000,-99999.0000,12.8614,-99999.0000,11.0332,-99999.0000,-99999.0000,13.0953,-99999.0000,14.6471,12.0110,-99999.0000,-99999.0000,-99999.0000,13.3928,10.7355,-99999.0000,9.2049,-99999.0000,-99999.0000,9.1412,7.2066,9.3112,6.0799,-99999.0000,4.5918,1.4881,14.8810,-99999.0000,-99999.0000,32.5680,14.6896,-99999.0000,-99999.0000,-99999.0000,-99999.0000,9.5025,-99999.0000,4.8257,13.2865,6.9940,-99999.0000,15.1786,10.4592,-99999.0000,5.4634,-99999.0000,-99999.0000,-99999.0000,15.8376,-99999.0000,-99999.0000,-99999.0000,9.0986,-99999.0000,23.0230,-99999.0000,31.6114,-99999.0000,-99999.0000,23.1292,26.3180,24.6386,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,9.2900,15.3061,-99999.0000,-99999.0000,19.0264,-99999.0000,-99999.0000,-99999.0000,-99999.0000,9.9277,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,13.1803,25.1701,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,27.6360,-99999.0000,-99999.0000,30.6548,21.1735,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,45.8121,13.2440,26.9983,10.3741,-99999.0000,-99999.0000,13.6267,16.9430,-99999.0000,18.5162,-99999.0000,-99999.0000,13.7330,10.0340,-99999.0000,-99999.0000,11.5434,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,12.1386,26.4668,3.5714,31.2288,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
5,2013/01/03 00:00:00,-99999.0000,21.5774,-99999.0000,14.5195,15.2636,14.7322,12.7551,-99999.0000,-99999.0000,-99999.0000,13.9881,-99999.0000,9.6301,-99999.0000,-99999.0000,9.6726,-99999.0000,9.7364,8.1845,-99999.0000,-99999.0000,-99999.0000,7.5468,8.6735,-99999.0000,7.8869,-99999.0000,-99999.0000,9.3112,8.4609,8.2270,10.5442,-99999.0000,-99999.0000,6.8453,11.3520,-99999.0000,-99999.0000,20.8971,20.4719,-99999.0000,-99999.0000,-99999.0000,-99999.0000,10.3316,-99999.0000,6.8027,13.6267,8.6735,-99999.0000,18.6012,10.8631,-99999.0000,7.4617,-99999.0000,-99999.0000,-99999.0000,12.5213,-99999.0000,-99999.0000,-99999.0000,11.1820,-99999.0000,14.1794,-99999.0000,18.3248,-99999.0000,-99999.0000,16.9430,13.3716,15.9439,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,10.7780,9.9277,-99999.0000,-99999.0000,11.0969,-99999.0000,-99999.0000,-99999.0000,-99999.0000,6.2925,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,12.4575,25.5527,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,21.5986,-99999.0000,-99999.0000,21.5774,14.0094,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,28.9116,8.9286,22.8742,7.2917,-99999.0000,-99999.0000,15.8376,12.9039,-99999.0000,14.3070,-99999.0000,-99999.0000,9.8427,10.1403,-99999.0000,-99999.0000,11.1395,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,10.5442,17.1981,5.9524,18.8563,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
6,2013/01/04 00:00:00,-99999.0000,14.7959,-99999.0000,5.8163,5.1020,5.8503,5.5782,-99999.0000,-99999.0000,-99999.0000,6.4286,-99999.0000,3.9116,-99999.0000,-99999.0000,3.9456,-99999.0000,2.8912,3.1973,-99999.0000,-99999.0000,-99999.0000,4.2857,6.2925,-99999.0000,5.3061,-99999.0000,-99999.0000,4.2857,4.0136,4.0476,6.1565,-99999.0000,-99999.0000,3.4694,8.0612,-99999.0000,7.7211,15.3741,12.3469,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.4082,-99999.0000,3.8435,6.0544,3.8095,-99999.0000,12.5850,9.1497,-99999.0000,2.4830,-99999.0000,-99999.0000,-99999.0000,7.3129,-99999.0000,-99999.0000,-99999.0000,6.0204,-99999.0000,7.9592,-99999.0000,8.2993,-99999.0000,-99999.0000,9.7959,7.0749,9.0476,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,6.6667,7.0748,-99999.0000,-99999.0000,6.0544,-99999.0000,-99999.0000,-99999.0000,-99999.0000,4.0476,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,1.8707,18.1292,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,9.3537,-99999.0000,-99999.0000,14.7959,4.8639,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,24.8979,3.8435,16.1905,2.2109,-99999.0000,-99999.0000,8.5374,7.2789,-99999.0000,8.6055,-99999.0000,-99999.0000,6.0544,3.7755,-99999.0000,-99999.0000,6.2585,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,4.0136,8.4013,4.5578,10.7483,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
7,2013/01/05 00:00:00,-99999.0000,24.0683,-99999.0000,5.6344,5.4791,5.4348,6.4552,-99999.0000,-99999.0000,-99999.0000,5.7010,-99999.0000,4.2591,-99999.0000,-99999.0000,4.1038,-99999.0000,2.8616,3.1056,-99999.0000,-99999.0000,-99999.0000,3.7933,5.7675,-99999.0000,4.2591,-99999.0000,-99999.0000,2.9503,3.6602,3.4605,4.9024,-99999.0000,4.7027,3.4827,6.6548,-99999.0000,6.3887,14.3301,6.4552,-99999.0000,-99999.0000,-99999.0000,-99999.0000,4.5031,-99999.0000,2.5510,3.6823,4.5475,-99999.0000,8.9397,8.4295,-99999.0000,1.8634,-99999.0000,-99999.0000,-99999.0000,4.5918,-99999.0000,-99999.0000,-99999.0000,3.5492,-99999.0000,6.7879,-99999.0000,12.1340,-99999.0000,-99999.0000,11.8900,7.7640,8.5403,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,4.6806,6.4552,-99999.0000,-99999.0000,5.0355,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,12.3780,26.0426,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,18.9663,-99999.0000,-99999.0000,24.0683,12.7773,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,31.9654,5.8563,19.9867,3.9485,-99999.0000,-99999.0000,7.6309,6.5661,-99999.0000,5.9450,-99999.0000,-99999.0000,5.1242,2.3292,-99999.0000,-99999.0000,4.0595,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,7.9858,6.6327,4.4144,11.2245,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
8,2013/01/06 00:00:00,-99999.0000,21.3435,-99999.0000,6.0374,5.7185,5.8673,6.2712,-99999.0000,-99999.0000,-99999.0000,5.9524,-99999.0000,4.0179,-99999.0000,-99999.0000,3.6990,-99999.0000,3.0825,2.9549,-99999.0000,-99999.0000,-99999.0000,3.8053,5.1871,-99999.0000,4.4430,-99999.0000,-99999.0000,2.9975,4.3155,3.6777,4.6981,-99999.0000,5.1445,6.3775,6.8665,-99999.0000,5.8886,16.6029,6.5051,-99999.0000,-99999.0000,-99999.0000,-99999.0000,4.9320,-99999.0000,2.5510,5.4209,4.4430,-99999.0000,8.9286,8.5459,-99999.0000,2.0833,-99999.0000,-99999.0000,-99999.0000,3.9116,-99999.0000,-99999.0000,-99999.0000,3.2313,-99999.0000,11.3308,-99999.0000,17.2832,-99999.0000,-99999.0000,15.6888,11.8197,12.8614,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,4.9958,5.5060,-99999.0000,-99999.0000,8.0357,-99999.0000,-99999.0000,-99999.0000,-99999.0000,3.0380,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,7.4405,22.5128,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,14.9447,-99999.0000,-99999.0000,21.3435,9.3537,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,28.9966,5.3571,19.0476,2.5510,-99999.0000,-99999.0000,7.5680,7.6105,-99999.0000,5.5697,-99999.0000,-99999.0000,4.8682,3.3588,-99999.0000,-99999.0000,3.7628,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,6.4626,9.9277,5.0595,16.6454,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
9,2013/01/07 00:00:00,-99999.0000,26.5944,-99999.0000,11.5859,13.7330,12.5850,12.0110,-99999.0000,-99999.0000,-99999.0000,11.2670,-99999.0000,7.6743,-99999.0000,-99999.0000,6.9728,-99999.0000,6.5476,5.6547,-99999.0000,-99999.0000,-99999.0000,9.4175,9.1412,-99999.0000,8.6097,-99999.0000,-99999.0000,7.7593,8.6310,7.6743,9.3325,-99999.0000,6.1862,12.0748,13.8180,-99999.0000,18.5799,29.6981,15.9864,-99999.0000,-99999.0000,-99999.0000,-99999.0000,10.4592,-99999.0000,6.3563,7.9932,7.0578,-99999.0000,11.2032,12.0536,-99999.0000,5.3359,-99999.0000,-99999.0000,-99999.0000,10.9481,-99999.0000,-99999.0000,-99999.0000,9.2049,-99999.0000,13.5629,-99999.0000,18.6012,-99999.0000,-99999.0000,15.4124,18.9626,15.3061,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,19.7279,8.2483,-99999.0000,-99999.0000,11.5008,-99999.0000,-99999.0000,-99999.0000,-99999.0000,7.3555,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,11.8197,26.2755,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,19.9405,-99999.0000,-99999.0000,26.5944,11.6709,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,35.8843,7.5680,22.7891,8.4184,-99999.0000,-99999.0000,12.3300,14.3920,-99999.0000,13.1165,-99999.0000,-99999.0000,9.9277,8.4821,-99999.0000,-99999.0000,18.0697,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,7.4617,12.5638,9.8852,21.3223,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
