,Station ID,CB_R,CL_R,CW_A,EN_A,PH1,PH5,KC_A,KT_A,MKaR,ST_A,SP_A,TP_A,MB_A,TK_A,TW_A,TM_A,TC_A,YL_A,XCNAQ259
0,Latitude,22.2819,22.2833,22.2868,22.2845,22.3212,22.2949,22.3586,22.3147,22.3240,22.3780,22.3315,22.4524,22.4728,22.3177,22.3733,22.3908,22.2903,22.4467,22.5422
1,Longitude,114.1822,114.1557,114.1429,114.2169,113.9348,113.9206,114.1271,114.2233,114.1660,114.1820,114.1567,114.1620,114.3583,114.2594,114.1121,113.9767,113.9411,114.0203,114.1170
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,7.3425,9.8935,16.7730,21.0459,-99999.0000,-99999.0000,15.2849,24.9113,4.6890,20.3860,11.6497,11.9685,37.0748,-99999.0000,13.5842,-99999.0000,8.6735,9.6495,31.5263
4,2013/01/02 00:00:00,4.9246,7.0791,13.2209,17.5383,-99999.0000,-99999.0000,12.6664,24.0039,2.7041,16.6371,6.8027,15.0297,39.7959,-99999.0000,6.0324,-99999.0000,6.1650,10.0552,47.7254
5,2013/01/03 00:00:00,2.6361,2.8061,7.5255,8.8435,-99999.0000,-99999.0000,7.9193,12.8614,2.4660,13.0527,5.8461,11.9473,16.3266,-99999.0000,9.8214,-99999.0000,8.5884,12.1173,37.5850
6,2013/01/04 00:00:00,1.9770,1.5094,0.9354,3.5502,-99999.0000,-99999.0000,2.1896,3.8691,1.7723,2.7849,1.9983,8.5459,9.9703,-99999.0000,2.6361,-99999.0000,1.8708,4.0391,-99999.0000
7,2013/01/05 00:00:00,1.8070,2.7636,1.0523,14.6258,-99999.0000,-99999.0000,3.4014,18.9838,1.5944,12.2236,3.1037,15.0085,24.4011,-99999.0000,3.6777,-99999.0000,5.4791,8.5672,56.5369
8,2013/01/06 00:00:00,1.9983,4.5493,5.1871,7.0578,-99999.0000,-99999.0000,6.1650,5.9524,2.9549,10.8206,6.3350,12.1386,21.4286,-99999.0000,7.4617,-99999.0000,2.6786,7.1216,40.3912
9,2013/01/07 00:00:00,1.9345,1.8920,6.8545,9.9277,-99999.0000,-99999.0000,3.8478,4.2730,2.1800,9.5451,2.8293,13.2866,26.3180,-99999.0000,3.8265,-99999.0000,7.8444,8.7199,31.0781
10,2013/01/08 00:00:00,2.0196,1.4456,8.7622,12.5213,-99999.0000,-99999.0000,4.5223,12.3937,2.6786,14.0519,3.4372,13.4276,34.1199,-99999.0000,1.9508,-99999.0000,9.0774,11.2032,44.8979
11,2013/01/09 00:00:00,2.5267,2.0408,11.8623,13.4354,-99999.0000,-99999.0000,12.6275,17.4107,5.7823,19.2602,10.5590,16.4966,29.5918,-99999.0000,14.6407,-99999.0000,7.2279,16.5585,39.6684
12,2013/01/10 00:00:00,4.6769,6.2712,17.0068,15.0085,-99999.0000,-99999.0000,14.7109,20.0042,4.3831,15.3486,7.7922,13.8420,26.1054,-99999.0000,11.7985,-99999.0000,6.8878,10.1828,39.7534
13,2013/01/11 00:00:00,2.4872,1.2543,11.8410,15.7951,-99999.0000,-99999.0000,6.9940,16.8155,3.0825,13.0102,7.2066,18.0910,40.4124,-99999.0000,5.4179,-99999.0000,9.4388,12.3725,52.4446
14,2013/01/12 00:00:00,2.1259,1.0417,-99999.0000,7.7594,-99999.0000,-99999.0000,4.6981,6.9940,2.3810,6.4838,2.5935,9.8002,18.8350,-99999.0000,3.8690,-99999.0000,3.9328,7.8656,39.2858
15,2013/01/13 00:00:00,1.9983,2.5085,-99999.0000,12.8189,-99999.0000,-99999.0000,15.9014,10.7143,4.0816,21.8538,10.6930,15.1998,39.8810,-99999.0000,13.7755,-99999.0000,11.4796,16.2840,48.1929
