,Station ID,ANNAN,BANQIAO,CAILIAO,CHANGHUA,CHAOZHOU,CHIAYI,DALI,DALIAO,DAYUAN,DONGSHAN,DOULIU,ERLIN,FENGSHAN,FENGYUAN,FUGUEICAPE,FUXING,GUANSHAN,GUANYIN,GUTING,HENGCHUN,HSINCHU,HUALIEN,HUKOU,KEELUNG,LINKOU,LINYUAN,LONGTAN,LUNBEI,MAGONG,MAILIAO,MEINONG,MIAOLI,NANTOU,NANZI,PINGTUNG,PINGZHEN,PULI,PUZI,QIANJIN,QIANZHEN,QIAOTOU,RENWU,SANYI,SHALU,SHANHUA,SHILIN,SONGSHAN,TAINAN,TAITUNG,TAIXI,TAMSUI,TAOYUAN,TOUFEN,TUCHENG,WANHUA,WANLI,XIANXI,XIAOGANG,XINDIAN,XINGANG,XINYING,XINZHUANG,XITUN,XIZHI,YANGMING,YILAN,YONGHE,ZHONGLI,ZHONGMING,ZHONGSHAN,ZHUDONG,ZHUSHAN,ZUOYING
0,Latitude,23.0482,25.0130,25.0690,24.0660,22.5231,23.4628,24.0996,22.5657,25.0603,24.6322,23.7119,23.9252,22.6274,24.2566,25.2941,22.6087,23.0451,25.0355,25.0206,21.9581,24.8056,23.9713,24.9001,25.1292,25.0772,22.4795,24.8639,23.7575,23.5690,23.7535,22.8836,24.5653,23.9130,22.7337,22.6731,24.9528,23.9688,23.4653,22.6326,22.6054,22.7575,22.6891,24.3829,24.2256,23.1151,25.1054,25.0500,22.9846,22.7554,23.7175,25.1645,24.9948,24.6970,24.9825,25.0465,25.1797,24.1317,22.5658,24.9772,23.5548,23.3056,25.0380,24.1622,25.0671,25.1827,24.7479,25.0170,24.9533,24.1520,25.0624,24.7406,23.7564,22.6749
1,Longitude,120.2175,121.4587,121.4810,120.5415,120.5612,120.4408,120.6777,120.4251,121.2018,121.7929,120.5450,120.4097,120.3581,120.7417,121.5391,120.3120,121.1619,121.0828,121.5296,120.7889,120.9721,121.5998,121.0387,121.7601,121.3769,120.4118,121.2164,120.3487,119.5662,120.2518,120.5305,120.8202,120.6853,120.3283,120.4880,121.2040,120.9679,120.2474,120.2881,120.3076,120.3057,120.3326,120.7588,120.5688,120.2971,121.5154,121.5786,120.2026,121.1505,120.2028,121.4492,121.3200,120.8986,121.4519,121.5080,121.6899,120.4691,120.3377,121.5378,120.3455,120.3173,121.4325,120.6169,121.6423,121.5296,121.7464,121.5163,121.2217,120.6411,121.5265,121.0889,120.6773,120.2929
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,32.8750,19.7083,16.2500,3.8750,42.1250,24.5000,10.0000,42.8333,27.2083,17.4583,23.2083,20.3750,-99999.0000,9.1250,-99999.0000,-99999.0000,19.6818,-99999.0000,9.2083,42.7083,9.7391,7.8750,22.9583,27.5417,28.3333,45.0000,16.8333,22.9167,-99999.0000,-99999.0000,35.8333,3.8750,15.8333,34.8750,38.9167,23.9545,22.3750,21.9583,36.1304,-99999.0000,-99999.0000,34.4348,21.9583,15.4167,29.7083,32.1667,18.8333,30.8750,27.0833,32.2083,20.3333,25.0833,9.8333,22.6667,17.7083,40.7083,22.4167,34.4583,-99999.0000,25.4167,27.0870,-99999.0000,11.4583,13.1667,-99999.0000,18.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,12.0833,25.3750,39.3333
4,2013/01/02 00:00:00,32.4167,24.3333,21.7917,26.9583,34.5417,27.5652,24.6667,29.1667,38.5417,29.0000,30.3750,30.2500,-99999.0000,25.1667,-99999.0000,-99999.0000,27.4583,-99999.0000,23.5833,43.0000,31.3333,28.6250,39.0833,29.6957,39.4167,31.8333,28.9167,31.1250,-99999.0000,-99999.0000,34.4167,25.1667,24.7500,29.7500,32.3913,31.1667,29.1250,31.8333,30.0000,-99999.0000,-99999.0000,27.0417,30.8333,36.2917,30.9167,38.2083,31.3750,32.2083,33.0833,-99999.0000,40.2083,32.0000,33.7917,26.5000,23.9167,43.7500,31.9583,19.6667,-99999.0000,30.0833,29.5000,-99999.0000,31.0000,26.1667,-99999.0000,29.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,26.2174,31.7500,33.3333
5,2013/01/03 00:00:00,26.7083,33.3750,27.5833,31.7500,43.3333,21.5417,29.2917,22.3913,40.7917,33.2917,24.7500,31.2083,-99999.0000,32.9167,-99999.0000,-99999.0000,39.2917,-99999.0000,35.5833,48.4583,37.5417,37.0000,41.0417,40.6250,40.9583,25.8750,39.9167,33.5417,-99999.0000,-99999.0000,22.7083,31.7500,24.6667,22.7917,28.2083,34.4783,24.5417,29.5000,21.5833,-99999.0000,-99999.0000,19.9583,35.6250,36.0833,23.9130,40.5217,38.6957,26.7917,36.7500,-99999.0000,42.3333,34.5217,40.2500,36.2083,32.2174,47.9167,34.3913,19.2500,-99999.0000,31.0000,27.1250,-99999.0000,35.3333,38.6667,-99999.0000,35.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,43.1667,22.6667,25.6087
6,2013/01/04 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
7,2013/01/05 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
8,2013/01/06 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
9,2013/01/07 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
