,Station ID,XCNAQ1054,XCNAQ1053,CN_1476A,XCNAQ1300,CN_1477A,CN_1478A,CN_1475A,CN_1479A,XCNAQ532,XCNAQ1220,XCNAQ533,XCNAQ1035,XCNAQ1037,XCNAQ1036,XCNAQ1050,XCNAQ1049,XCNAQ1043,XCNAQ1042,XCNAQ1046,XCNAQ1048,XCNAQ1047,XCNAQ1040,XCNAQ1041,XCNAQ1038,XCNAQ1039,XCNAQ1055,XCNAQ1034,XCNAQ1033,XCNAQ340,XCNAQ1044,XCNAQ1045,XCNAQ342,XCNAQ1299,XCNAQ341,XCNAQ477,XCNAQ1052,XCNAQ1051,XCNAQ1231
0,Latitude,35.5997,35.6039,36.1031,36.1058,35.9400,36.0725,36.0756,36.0464,39.7710,39.7977,39.8578,34.3469,34.5653,34.5814,35.5974,35.5713,35.5304,35.5461,35.7289,35.7067,35.5236,38.9467,38.9388,37.9311,37.9358,35.0003,36.5481,36.5458,38.4911,39.7460,39.7294,38.5061,38.5253,38.5247,38.5339,33.3841,33.3260,33.3825
1,Longitude,103.2064,103.2139,103.6310,103.7583,104.1480,103.8409,103.7120,103.8310,98.2908,98.2672,98.2542,106.0050,105.8614,105.7281,104.6169,104.6228,106.7066,106.6692,107.6831,107.6364,107.6406,100.4686,100.4497,102.6219,102.6469,102.9050,104.1731,104.1731,102.1911,98.5090,98.5023,102.1708,102.1864,102.1878,102.1725,104.9336,105.0822,104.9338
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,-99999.0000,-99999.0000,143.3750,-99999.0000,116.3333,149.0833,122.2500,145.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,69.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,75.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000
4,2013/01/02 00:00:00,-99999.0000,-99999.0000,62.5000,-99999.0000,69.0000,55.8333,68.8333,56.7917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,48.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,55.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000
5,2013/01/03 00:00:00,-99999.0000,-99999.0000,129.9167,-99999.0000,71.4167,102.0417,139.5833,117.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,93.4167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,85.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000
6,2013/01/04 00:00:00,-99999.0000,-99999.0000,150.4167,-99999.0000,106.5000,116.5833,151.5833,117.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,112.4583,-99999.0000,-99999.0000,85.7000,-99999.0000,78.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000
7,2013/01/05 00:00:00,-99999.0000,-99999.0000,139.2500,-99999.0000,131.3333,114.5833,126.2083,101.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,105.2083,-99999.0000,-99999.0000,113.4348,-99999.0000,106.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000
8,2013/01/06 00:00:00,-99999.0000,-99999.0000,216.6250,-99999.0000,137.1250,183.7083,182.4118,177.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,115.4583,-99999.0000,-99999.0000,59.5238,-99999.0000,100.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000
9,2013/01/07 00:00:00,-99999.0000,-99999.0000,219.8333,-99999.0000,142.1250,198.2500,212.0417,197.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,85.9583,-99999.0000,-99999.0000,81.9545,-99999.0000,78.8333,-99999.0000,-99999.0000,-99999.0000,-99999.0000
