,Station ID,XCNAQ275,XCNAQ276,XCNAQ274,XCNAQ277,CN_1405A,CN_1402A,CN_1406A,CN_1404A,CN_1403A,CN_1401A,CN_1408A,CN_1407A,XCNAQ910,XCNAQ909,XCNAQ908,XCNAQ907,XCNAQ367,XCNAQ273,XCNAQ272,XCNAQ368,XCNAQ270,XCNAQ271,XCNAQ269,XCNAQ537,XCNAQ267,XCNAQ266,XCNAQ884,XCNAQ883,XCNAQ885,XCNAQ886,XCNAQ904,XCNAQ905,XCNAQ906,XCNAQ899,XCNAQ897,XCNAQ898,XCNAQ901,XCNAQ900,XCNAQ893,XCNAQ894,XCNAQ896,XCNAQ895,XCNAQ903,XCNAQ902,XCNAQ891,XCNAQ890,XCNAQ892,XCNAQ889,XCNAQ887,XCNAQ888
0,Latitude,21.5233,21.4661,21.4086,21.5958,22.7906,22.8561,22.8464,22.8050,22.8225,22.7875,22.7833,22.7350,22.3708,22.4137,23.7369,23.7208,24.3158,24.3663,24.2990,24.3898,24.3405,24.3304,25.2178,25.3167,25.2697,25.2708,23.4750,23.4792,23.4150,23.4793,24.7121,24.6927,24.6967,22.6164,22.7018,22.6411,23.8844,23.9011,23.1478,23.0672,23.1036,23.0944,24.4072,24.4175,21.9508,21.9667,21.7430,21.6414,21.6158,21.7631
1,Longitude,109.1778,109.0981,109.1436,109.2256,108.4390,108.3160,108.2390,108.3830,108.3210,108.3010,108.2440,108.3280,107.3701,107.3476,109.2317,109.2131,109.4839,109.3957,109.4221,109.4883,109.3886,109.4108,110.2869,110.4144,110.2819,110.3089,111.3178,111.2897,111.2353,111.2600,108.2134,108.0540,108.1009,110.1433,110.1106,110.1675,106.6527,106.6103,109.5681,109.6042,109.5683,109.6014,111.5622,111.5269,108.6553,108.6236,108.5989,108.3506,108.3411,108.3511
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,100.7500,96.7917,83.5833,86.5000,122.0417,121.7917,139.6842,150.0909,158.7917,167.2917,131.1667,164.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,140.7917,92.1667,-99999.0000,44.8750,118.0417,126.5217,-99999.0000,115.1739,92.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
4,2013/01/02 00:00:00,115.9167,109.6250,98.3750,91.1667,88.5833,147.7083,119.4444,105.9167,115.6667,142.2083,146.9167,94.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,106.2917,129.7083,-99999.0000,78.0417,104.7500,108.2083,-99999.0000,106.1250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
5,2013/01/03 00:00:00,38.8750,44.9583,57.8750,35.7500,33.4583,56.3333,47.4000,41.0833,51.1667,47.7500,66.7917,42.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,68.6667,104.7500,-99999.0000,57.5833,59.0909,65.4583,-99999.0000,69.2500,59.8095,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
6,2013/01/04 00:00:00,33.4583,31.1250,41.5217,21.0833,18.2500,36.5833,56.6667,25.2500,34.1667,34.5417,53.5417,26.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,43.7917,80.2500,-99999.0000,40.7500,35.6250,37.1250,-99999.0000,50.2381,38.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
7,2013/01/05 00:00:00,31.0417,34.2917,58.7500,21.7083,22.2500,56.4000,68.8182,29.5417,44.2083,43.5000,51.7917,33.1250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,43.5417,70.2500,-99999.0000,41.4583,34.1250,38.9167,-99999.0000,45.1667,35.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
8,2013/01/06 00:00:00,44.0417,52.3750,47.2500,43.7500,38.7083,62.2381,40.0417,51.6250,58.7917,54.3333,69.8261,48.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,48.5833,63.0833,-99999.0000,35.7917,39.1250,54.2917,-99999.0000,51.6667,46.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
9,2013/01/07 00:00:00,71.3043,54.6250,48.5833,49.8696,49.7917,70.6667,95.8696,65.2500,68.6667,70.1250,76.2083,63.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,65.0000,72.7917,-99999.0000,27.0417,57.3750,68.3750,-99999.0000,63.2917,60.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
10,2013/01/08 00:00:00,93.9167,70.4167,63.9167,63.9583,89.5000,69.8750,78.8333,78.2917,79.6667,77.5417,83.5000,69.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,71.2083,103.5833,-99999.0000,28.0833,70.2917,80.0000,-99999.0000,76.6667,76.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
11,2013/01/09 00:00:00,82.4211,78.3158,56.3684,67.2105,82.8947,124.1053,123.8421,112.3158,119.4211,103.0526,131.8947,97.1053,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,122.2632,98.0000,-99999.0000,87.5789,109.1579,122.7368,-99999.0000,132.2105,124.3684,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
12,2013/01/10 00:00:00,136.0833,118.6250,110.0833,120.5417,142.3750,237.9167,239.4167,174.5833,186.0000,-99999.0000,227.6250,166.7222,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,205.9583,176.1250,-99999.0000,198.0000,185.0417,139.0000,-99999.0000,141.6250,140.7917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
13,2013/01/11 00:00:00,74.8333,77.4167,107.7500,65.0833,125.8333,218.2083,219.4348,143.8750,147.1304,-99999.0000,215.0417,139.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,144.5000,155.2917,-99999.0000,246.6667,138.0000,104.1250,-99999.0000,113.2083,109.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
14,2013/01/12 00:00:00,96.8333,90.8750,110.2917,91.2083,104.2083,152.0417,141.6667,111.0000,118.1667,120.4583,160.4583,120.4167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,135.1250,143.9130,-99999.0000,121.8750,118.5000,95.0000,-99999.0000,103.3333,97.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
15,2013/01/13 00:00:00,123.8750,92.3333,112.1250,82.0000,126.5417,255.2917,141.7917,142.7083,178.5000,189.2917,184.4583,174.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,142.2917,-99999.0000,-99999.0000,122.0000,147.5833,138.2500,-99999.0000,148.5217,111.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
16,2013/01/14 00:00:00,111.8750,101.0000,118.6667,96.3750,215.4583,360.9167,233.7500,241.9583,366.2917,326.3750,218.2500,287.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,214.3478,162.0000,-99999.0000,154.1667,250.8750,188.3478,-99999.0000,145.2083,140.9167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
17,2013/01/15 00:00:00,126.6250,91.9167,75.0417,95.6667,117.4167,220.2727,165.6250,123.4583,230.2083,236.5833,181.1250,250.5652,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,79.6250,123.2917,-99999.0000,144.3333,94.6522,129.4167,-99999.0000,131.6250,125.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
18,2013/01/16 00:00:00,130.2083,144.3333,77.4583,110.7727,117.6667,248.5000,149.7917,139.5000,183.2500,194.0833,147.7917,181.8889,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,71.0000,76.0417,-99999.0000,74.5833,66.5000,93.7917,-99999.0000,91.3333,84.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
19,2013/01/17 00:00:00,75.7083,76.0833,56.7083,82.3750,49.0833,84.6250,82.7917,67.6250,82.2917,76.7917,95.5000,60.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,93.2917,87.2500,-99999.0000,101.6250,95.6250,139.7500,-99999.0000,155.0417,149.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
20,2013/01/18 00:00:00,148.7083,117.5833,107.8333,139.1250,136.4167,173.7083,155.0476,158.4583,185.9167,173.0417,166.5833,160.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,181.8333,171.2609,-99999.0000,109.7500,169.7083,156.4583,-99999.0000,154.9167,154.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
21,2013/01/19 00:00:00,106.8333,91.2083,83.8333,96.6667,124.1250,164.4583,144.2857,139.2500,155.3333,171.1250,165.2083,134.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,241.4583,219.6250,-99999.0000,180.0000,239.3333,178.5000,-99999.0000,178.0833,183.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
22,2013/01/20 00:00:00,72.9167,75.0833,70.9167,69.8750,72.4762,86.1667,66.0417,79.7917,86.7083,107.4167,90.7917,91.1250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,161.2083,85.1000,-99999.0000,152.0833,92.0833,125.7500,-99999.0000,136.4167,134.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
23,2013/01/21 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
24,2013/01/22 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,102.8125,-99999.0000,-99999.0000,127.4375,-99999.0000,123.1875,-99999.0000,118.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
25,2013/01/23 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,116.9048,-99999.0000,-99999.0000,155.2083,-99999.0000,161.5000,-99999.0000,124.8182,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
26,2013/01/24 00:00:00,92.7500,89.5000,77.7500,85.9375,113.1000,131.3125,113.4375,159.0417,138.8750,184.4167,141.4375,146.9167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,102.1875,-99999.0000,-99999.0000,113.9375,97.5625,98.0625,-99999.0000,104.0625,96.9375,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
27,2013/01/25 00:00:00,125.5417,117.5000,99.0833,106.5000,107.7917,141.4583,151.0833,130.7917,130.6667,145.0000,171.1250,113.8696,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,137.8750,113.2500,-99999.0000,94.0833,136.3333,137.7917,-99999.0000,133.2917,125.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
28,2013/01/26 00:00:00,74.2917,79.9583,97.1250,68.1667,79.4167,147.4545,162.2500,126.8333,124.8333,116.5833,109.0435,97.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,135.9167,130.2083,-99999.0000,89.6667,131.7500,124.4583,-99999.0000,117.9167,99.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
29,2013/01/27 00:00:00,75.5417,82.5833,88.7917,-99999.0000,110.6818,181.1250,185.0000,117.5417,159.8333,164.8333,181.7391,157.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,200.4167,115.2500,-99999.0000,96.2500,168.0833,120.7083,-99999.0000,116.7083,103.8333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
30,2013/01/28 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,126.4375,223.0000,-99999.0000,133.6500,180.0833,196.1250,162.9444,146.1333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
31,2013/01/29 00:00:00,66.1250,79.9583,50.2500,67.5000,146.0000,347.7083,195.2917,132.4583,173.2917,196.1667,160.7273,161.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,308.7083,247.7500,-99999.0000,252.0417,311.7917,190.5833,-99999.0000,194.3750,179.9167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
32,2013/01/30 00:00:00,59.1250,71.6667,36.2917,58.4000,64.4000,88.8333,93.7917,52.3333,67.5417,87.5833,49.2609,56.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,199.5417,150.3333,-99999.0000,186.7917,153.9583,162.5417,-99999.0000,-99999.0000,188.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
