,Station ID,CB_R,CL_R,CW_A,EN_A,PH1,PH5,KC_A,KT_A,MKaR,ST_A,SP_A,TP_A,MB_A,TK_A,TW_A,TM_A,TC_A,YL_A,XCNAQ259
0,Latitude,22.2819,22.2833,22.2868,22.2845,22.3212,22.2949,22.3586,22.3147,22.3240,22.3780,22.3315,22.4524,22.4728,22.3177,22.3733,22.3908,22.2903,22.4467,22.5422
1,Longitude,114.1822,114.1557,114.1429,114.2169,113.9348,113.9206,114.1271,114.2233,114.1660,114.1820,114.1567,114.1620,114.3583,114.2594,114.1121,113.9767,113.9411,114.0203,114.1170
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,60.1739,54.7917,52.6667,42.5000,-99999.0000,-99999.0000,49.3333,46.4583,51.6667,47.8750,46.9167,63.0417,49.8750,-99999.0000,50.0833,-99999.0000,63.1667,75.3333,94.5000
4,2013/01/02 00:00:00,71.9167,67.7619,60.9583,50.0417,-99999.0000,-99999.0000,70.5833,55.2083,65.2500,65.0000,59.9091,66.7647,58.2083,-99999.0000,71.1667,-99999.0000,95.8750,98.8333,95.3750
5,2013/01/03 00:00:00,86.8333,86.9583,84.7778,63.6250,-99999.0000,-99999.0000,78.8333,70.4167,78.7500,72.7917,68.2083,-99999.0000,61.5000,-99999.0000,68.2500,-99999.0000,81.7083,64.5833,66.3333
6,2013/01/04 00:00:00,65.4286,64.6250,63.2917,42.0000,-99999.0000,-99999.0000,56.2917,45.2917,51.9583,54.0000,40.0833,62.5000,37.5417,-99999.0000,46.9167,-99999.0000,81.3750,60.8636,53.0000
7,2013/01/05 00:00:00,71.7917,78.5417,81.3125,40.2917,-99999.0000,-99999.0000,72.8333,44.5000,64.7083,50.7083,55.0000,65.0000,40.5417,-99999.0000,61.4167,-99999.0000,82.7083,75.8333,70.0435
8,2013/01/06 00:00:00,81.8750,76.7917,83.9167,59.4583,-99999.0000,-99999.0000,73.2917,63.9583,72.6250,76.7083,58.0833,78.6667,54.0000,-99999.0000,58.2500,-99999.0000,90.0000,74.2083,80.0000
9,2013/01/07 00:00:00,108.0833,102.2917,108.2083,64.9167,-99999.0000,-99999.0000,101.3810,88.2273,106.7000,93.9167,76.8182,111.8750,66.5417,-99999.0000,81.5833,-99999.0000,108.0000,107.2174,114.6667
10,2013/01/08 00:00:00,108.7500,109.2917,116.6667,66.5833,-99999.0000,-99999.0000,114.4583,76.8750,108.2917,90.1250,93.7000,101.6250,57.3750,-99999.0000,93.1250,-99999.0000,115.5833,111.1667,112.0000
11,2013/01/09 00:00:00,83.7143,84.5833,84.8333,56.7917,-99999.0000,-99999.0000,77.8333,66.0000,77.1667,76.5833,69.6818,74.2500,63.1250,-99999.0000,60.8750,-99999.0000,93.2917,79.4348,77.3684
12,2013/01/10 00:00:00,84.4583,82.5417,81.9167,62.6667,-99999.0000,-99999.0000,84.0000,70.4167,82.9583,82.9583,70.3750,91.2174,79.5217,-99999.0000,69.4583,-99999.0000,84.7083,89.3333,107.5417
13,2013/01/11 00:00:00,102.4167,101.5000,104.7500,68.8261,-99999.0000,-99999.0000,106.9167,77.1667,94.6250,95.8750,81.0833,89.0000,71.2083,-99999.0000,96.6500,-99999.0000,118.7500,126.9500,121.5417
14,2013/01/12 00:00:00,123.5833,121.2500,129.8333,88.9167,-99999.0000,-99999.0000,114.5833,107.9583,113.3750,94.3750,99.0000,114.5000,82.1667,-99999.0000,94.0000,-99999.0000,121.1667,125.7500,133.5833
15,2013/01/13 00:00:00,99.5417,93.3750,108.4583,77.0000,-99999.0000,-99999.0000,97.6667,85.9583,97.4583,89.6667,77.2917,89.8333,73.2500,-99999.0000,76.4583,-99999.0000,86.5833,96.2917,99.2727
16,2013/01/14 00:00:00,70.4286,63.0000,60.6250,39.4167,-99999.0000,-99999.0000,59.9167,47.0909,53.7619,49.0000,49.6667,47.9583,50.2917,-99999.0000,55.1250,-99999.0000,71.6667,66.2174,69.0000
