,Station ID,XCNAQ240,XCNAQ877,XCNAQ879,XCNAQ878,XCNAQ875,XCNAQ236,XCNAQ2797,XCNAQ468,XCNAQ469,XCNAQ2798,XCNAQ241,XCNAQ238,XCNAQ470,XCNAQ222,XCNAQ223,XCNAQ239,XCNAQ224,XCNAQ1267,XCNAQ1268,XCNAQ2799,XCNAQ1269,XCNAQ471,XCNAQ472,XCNAQ244,XCNAQ242,XCNAQ872,XCNAQ874,XCNAQ870,XCNAQ871,XCNAQ873,XCNAQ447,XCNAQ231,XCNAQ232,XCNAQ234,XCNAQ233,XCNAQ235,XCNAQ230,XCNAQ869,XCNAQ866,XCNAQ868,XCNAQ867,XCNAQ865,XCNAQ228,XCNAQ226,XCNAQ361,XCNAQ227,XCNAQ225,XCNAQ229,XCNAQ362,XCNAQ882,XCNAQ881,XCNAQ880,XCNAQ221,XCNAQ857,XCNAQ856,XCNAQ855,XCNAQ858,XCNAQ859,XCNAQ243,XCNAQ844,XCNAQ847,XCNAQ848,XCNAQ846,XCNAQ849,XCNAQ845,XCNAQ851,XCNAQ852,XCNAQ850,XCNAQ854,XCNAQ853,XCNAQ862,XCNAQ863,XCNAQ864,XCNAQ861,XCNAQ860,CN_1340A,CN_1342A,CN_1344A,CN_1343A,CN_1338A,CN_1341A,CN_1335A,CN_1339A,CN_1337A,CN_1336A,XCNAQ220
0,Latitude,29.3538,27.7314,27.7044,27.7569,27.7250,29.4730,29.4758,29.4740,29.3578,29.4402,29.4251,29.3678,29.3550,29.0411,29.0246,29.3575,28.9703,29.0244,29.0381,29.1456,29.0239,29.3547,29.1389,29.1242,29.3150,27.5342,27.5830,27.5733,27.5444,27.5578,27.9958,27.8336,27.8244,27.8667,27.8528,27.8867,27.8381,26.4519,26.4214,26.4364,26.2331,26.2081,27.8159,27.8403,27.9153,27.8614,27.8728,27.9119,27.9164,28.2675,28.3169,28.2558,29.0755,28.5600,28.5808,28.6428,28.6047,28.5819,29.1425,26.9089,26.8733,26.8919,26.8956,26.9056,26.9258,27.2317,27.2582,27.3033,27.2272,27.2537,25.8179,25.8070,25.7759,25.8226,25.9061,28.2597,28.1178,28.3586,28.1308,28.1900,28.1944,28.2325,28.1442,28.2053,28.2189,29.0173
1,Longitude,113.0019,112.0194,111.9892,111.9561,111.9975,113.2772,113.2621,113.2700,113.1094,112.9943,113.1493,113.1772,113.2117,111.6680,111.7045,113.1091,111.6975,111.7044,111.6794,111.7158,111.6753,110.5594,110.4800,110.4697,110.4417,109.9792,110.0394,109.9333,109.9453,109.9972,113.1817,113.2510,113.1350,113.1670,113.1300,113.0950,113.1430,111.5989,111.6156,111.5992,111.6236,111.6217,112.9227,112.9118,113.0048,112.9433,112.8937,112.9074,112.4876,109.6958,109.7325,109.6414,111.7300,112.3439,112.3458,112.4067,112.3347,112.3744,110.4888,112.5328,112.6197,112.6006,112.6211,112.5664,112.6194,111.4733,111.4908,111.5239,111.4328,111.4503,113.0119,113.0383,113.0348,113.0116,113.0073,112.9792,112.9844,112.9958,112.8908,112.9394,113.0014,113.0833,112.9956,113.0792,112.8872,111.6862
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,86.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,85.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,64.0417,115.9583,-99999.0000,66.9583,86.2500,74.0417,60.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,11.0417,7.7083,8.7917,10.0417,10.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,116.0417,-99999.0000,-99999.0000,112.5417,97.3333,158.3913,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,132.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,127.6250,39.5417,-99999.0000,-99999.0000,108.3750,170.2083,67.5417,80.4583,100.0417,202.0417,69.3333
4,2013/01/02 00:00:00,128.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,108.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,75.1250,109.5000,-99999.0000,89.8750,109.6667,101.3750,91.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,11.6667,7.7917,6.4167,10.3750,11.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,121.6667,-99999.0000,-99999.0000,115.6667,99.5417,145.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,135.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,85.2917,56.8750,-99999.0000,-99999.0000,116.0833,125.9167,104.6667,86.8333,99.2174,236.9167,102.7083
5,2013/01/03 00:00:00,64.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,60.7917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,68.6316,64.5000,-99999.0000,56.8333,72.8750,45.9167,59.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,11.7500,8.1667,5.0000,7.0833,7.9583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,66.2500,-99999.0000,-99999.0000,67.9167,56.2083,89.7083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,102.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,40.5833,23.0000,-99999.0000,-99999.0000,63.6667,69.4167,50.3333,34.0417,53.3333,128.2500,65.9583
6,2013/01/04 00:00:00,78.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,71.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,62.5833,79.2917,-99999.0000,53.0833,67.9583,64.6250,56.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,12.1667,8.4167,5.0000,7.5000,8.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,69.7500,-99999.0000,-99999.0000,70.7083,59.2917,93.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,117.5417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,32.7917,33.3750,-99999.0000,-99999.0000,60.1667,66.1250,44.4583,29.3750,65.4167,109.4583,64.7917
7,2013/01/05 00:00:00,107.7727,-99999.0000,-99999.0000,-99999.0000,-99999.0000,113.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,101.2500,123.3750,-99999.0000,69.0000,83.7500,99.7083,66.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,13.1667,11.8333,8.4167,9.3333,10.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,102.5000,-99999.0000,-99999.0000,111.4167,88.5417,137.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,150.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,51.9583,58.5833,-99999.0000,-99999.0000,92.5000,102.4167,77.7917,58.0000,96.9583,164.4167,75.3750
8,2013/01/06 00:00:00,129.9167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,170.7083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,87.7083,140.6250,-99999.0000,81.0833,107.1667,115.0417,68.7083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,12.3750,13.5833,11.3750,10.1250,11.7917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,123.0417,-99999.0000,-99999.0000,130.0417,109.5417,154.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,158.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,70.0000,71.5000,-99999.0000,-99999.0000,110.8750,140.1250,105.9583,84.5833,138.4286,200.7500,91.0417
9,2013/01/07 00:00:00,144.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,182.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,94.6250,138.3810,-99999.0000,84.8750,110.3750,130.0417,87.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,5.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,10.9167,18.7500,15.4167,16.0000,16.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,208.5000,-99999.0000,-99999.0000,228.7500,182.7500,271.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,140.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,108.4167,113.7083,-99999.0000,-99999.0000,164.5833,197.2083,138.7917,128.3750,168.4167,283.0833,104.7917
