,Station ID,XCNAQ111,XCNAQ107,XCNAQ1196,XCNAQ455,XCNAQ106,XCNAQ108,XCNAQ110,XCNAQ109,XCNAQ630,XCNAQ631,XCNAQ629,XCNAQ642,XCNAQ643,XCNAQ644,XCNAQ639,XCNAQ638,XCNAQ641,XCNAQ640,XCNAQ636,XCNAQ637,XCNAQ633,XCNAQ632,XCNAQ634,XCNAQ635,CN_1124A,CN_1121A,CN_1123A,CN_1120A,CN_1128A,CN_1125A,CN_1126A,CN_1122A,CN_1119A,CN_1127A
0,Latitude,43.8358,43.7256,43.9530,45.6176,43.8875,43.8947,43.8256,43.8228,43.1594,43.1847,43.1747,42.8939,42.9061,42.8775,45.1642,45.0878,45.6175,45.6289,41.9206,41.9418,42.8953,42.8947,41.7156,41.7381,43.7878,43.8748,43.8694,43.9099,43.8500,43.5500,43.8667,43.8400,43.9167,43.8167
1,Longitude,126.5844,126.6772,126.4738,122.8095,126.5550,126.5786,126.5500,126.4978,124.3711,124.3897,124.3419,129.4892,129.5042,129.3675,124.8528,124.8292,122.8211,122.8444,126.4047,126.4078,125.1567,125.1358,125.9361,125.9486,125.4540,125.3649,125.3250,125.2870,125.2170,125.6330,125.4170,125.2786,125.3230,125.2500
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,52.0588,50.5294,-99999.0000,-99999.0000,-99999.0000,-99999.0000,57.1176,90.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,97.0476,152.5500,166.5714,206.8095,-99999.0000,-99999.0000,-99999.0000,180.0476,190.0476,-99999.0000
4,2013/01/02 00:00:00,25.2778,21.9412,-99999.0000,-99999.0000,48.3333,-99999.0000,22.5000,59.6111,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,63.1579,81.3684,85.6842,-99999.0000,-99999.0000,-99999.0000,-99999.0000,85.1053,80.9474,-99999.0000
5,2013/01/03 00:00:00,29.8824,27.8333,-99999.0000,-99999.0000,55.1111,-99999.0000,28.5294,86.4706,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,82.0000,114.1765,130.7059,-99999.0000,-99999.0000,-99999.0000,-99999.0000,121.4706,116.6471,-99999.0000
6,2013/01/04 00:00:00,-99999.0000,52.8235,-99999.0000,-99999.0000,63.1875,-99999.0000,51.4000,72.8421,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,98.3182,105.5909,112.7273,113.1053,-99999.0000,-99999.0000,-99999.0000,115.4545,124.9545,-99999.0000
7,2013/01/05 00:00:00,40.2105,58.4737,-99999.0000,-99999.0000,77.8750,-99999.0000,42.5263,80.8235,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,95.0588,142.9412,146.2941,143.8824,-99999.0000,-99999.0000,-99999.0000,138.0588,136.8235,-99999.0000
8,2013/01/06 00:00:00,47.6111,43.8235,-99999.0000,-99999.0000,152.3750,-99999.0000,67.0000,154.5333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,111.2857,166.3810,160.3333,163.9524,-99999.0000,-99999.0000,-99999.0000,195.3333,180.1905,-99999.0000
9,2013/01/07 00:00:00,199.9500,134.3500,-99999.0000,-99999.0000,261.3158,-99999.0000,206.6316,259.8333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,229.3500,276.1905,299.8500,352.2857,-99999.0000,-99999.0000,-99999.0000,312.3333,318.0476,-99999.0000
