,Station ID,XCNAQ1795,CN_1142A,XCNAQ1283,XCNAQ1826,XCNAQ1813,XCNAQ1802,XCNAQ1825,XCNAQ1820,XCNAQ1815,XCNAQ1821,XCNAQ1792,XCNAQ1822,XCNAQ1812,XCNAQ1786,XCNAQ1810,XCNAQ1811,XCNAQ1794,CN_1144A,XCNAQ1284,CN_1141A,XCNAQ1816,CN_1145A,XCNAQ1798,XCNAQ1797,XCNAQ1791,XCNAQ1808,XCNAQ1807,XCNAQ1801,CN_1148A,CN_1150A,XCNAQ1787,CN_1149A,CN_1143A,XCNAQ1809,XCNAQ1814,XCNAQ1804,XCNAQ1800,XCNAQ1803,XCNAQ1819,XCNAQ1789,XCNAQ1790,XCNAQ1788,XCNAQ1805,XCNAQ1806,CN_1146A,XCNAQ1817,XCNAQ1793,XCNAQ1796,XCNAQ1818,CN_1147A,XCNAQ1799,XCNAQ050
0,Latitude,31.2342,31.2036,31.2022,31.4116,31.3122,31.3738,30.9249,30.9338,30.8580,31.3225,31.3932,31.4115,31.6217,31.6894,31.5944,31.7688,31.1990,31.1654,31.1767,31.2380,31.2852,31.2659,31.3214,31.2838,31.0516,31.0377,31.0113,31.1143,31.1907,31.2071,31.0507,31.2284,31.3008,31.2666,30.7430,30.8911,31.2059,31.1939,31.2232,31.0065,31.0739,31.1158,31.1561,31.1152,31.0935,31.1456,31.2325,31.2768,31.2973,31.2261,31.2187,31.2288
1,Longitude,121.4688,121.4780,121.4823,121.1980,121.2551,121.2500,121.4890,121.4532,121.6762,121.4261,121.4456,121.3408,121.3969,121.4790,121.8025,121.1955,121.4373,121.4120,121.4384,121.4000,121.3424,121.5360,121.5034,121.5376,121.2664,121.2186,121.2322,121.5846,121.7030,121.5770,121.7965,121.5330,121.4670,121.5015,121.3389,121.1603,121.3902,121.3622,121.4246,121.4115,121.4996,121.3663,121.1255,121.0056,120.9780,121.1037,121.4476,121.4510,121.4303,121.4250,121.4607,121.5169
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,-99999.0000,123.8458,123.8333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,125.0833,-99999.0000,149.1250,-99999.0000,134.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,125.2500,132.4583,-99999.0000,110.2500,133.4167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,136.7083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,119.5000,-99999.0000,110.1750
4,2013/01/02 00:00:00,-99999.0000,76.2391,74.1250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,73.1667,-99999.0000,81.8333,-99999.0000,83.7083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,61.4167,78.0833,-99999.0000,62.5417,68.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,78.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,84.0417,-99999.0000,62.5417
5,2013/01/03 00:00:00,-99999.0000,53.7500,53.7917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,52.3333,-99999.0000,60.0833,-99999.0000,53.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,40.7083,52.9583,-99999.0000,47.0417,48.8333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,63.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,57.3750,-99999.0000,47.0125
6,2013/01/04 00:00:00,-99999.0000,55.4917,55.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,57.8750,-99999.0000,63.4583,-99999.0000,52.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,41.6667,43.7500,-99999.0000,47.2917,50.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,85.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,61.7083,-99999.0000,47.3250
7,2013/01/05 00:00:00,-99999.0000,54.9375,54.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,54.0833,-99999.0000,55.7500,-99999.0000,51.7083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,47.6250,48.4583,-99999.0000,50.5417,51.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,62.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,55.9167,-99999.0000,50.4625
8,2013/01/06 00:00:00,-99999.0000,110.8833,110.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,118.6500,-99999.0000,124.2609,-99999.0000,103.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,91.7083,96.4167,-99999.0000,107.2500,104.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,174.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,116.2917,-99999.0000,107.2125
9,2013/01/07 00:00:00,-99999.0000,154.6750,154.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,180.0833,-99999.0000,180.0000,-99999.0000,146.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,142.1667,135.7917,-99999.0000,150.3750,142.3750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,210.2500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,172.6250,-99999.0000,150.5167
