,Station ID,ANNAN,BANQIAO,CAILIAO,CHANGHUA,CHAOZHOU,CHIAYI,DALI,DALIAO,DATONG,DAYUAN,DONGSHAN,DOULIU,ERLIN,FENGSHAN,FENGYUAN,FUGUEICAPE,FUXING,GUANSHAN,GUANYIN,GUTING,HENGCHUN,HSINCHU,HUALIEN,HUKOU,KEELUNG,LINKOU,LINYUAN,LONGTAN,LUNBEI,MAGONG,MAILIAO,MEINONG,MIAOLI,NANTOU,NANZI,PINGTUNG,PINGZHEN,PULI,PUZI,QIANJIN,QIANZHEN,QIAOTOU,RENWU,SANCHONG,SANYI,SHALU,SHANHUA,SHILIN,SONGSHAN,TAINAN,TAITUNG,TAIXI,TAMSUI,TAOYUAN,TOUFEN,TUCHENG,WANHUA,WANLI,XIANXI,XIAOGANG,XINDIAN,XINGANG,XINYING,XINZHUANG,XITUN,XIZHI,YANGMING,YILAN,YONGHE,ZHONGLI,ZHONGMING,ZHONGSHAN,ZHUDONG,ZHUSHAN,ZUOYING
0,Latitude,23.0482,25.0130,25.0690,24.0660,22.5231,23.4628,24.0996,22.5657,25.0632,25.0603,24.6322,23.7119,23.9252,22.6274,24.2566,25.2941,22.6087,23.0451,25.0355,25.0206,21.9581,24.8056,23.9713,24.9001,25.1292,25.0772,22.4795,24.8639,23.7575,23.5690,23.7535,22.8836,24.5653,23.9130,22.7337,22.6731,24.9528,23.9688,23.4653,22.6326,22.6054,22.7575,22.6891,25.0726,24.3829,24.2256,23.1151,25.1054,25.0500,22.9846,22.7554,23.7175,25.1645,24.9948,24.6970,24.9825,25.0465,25.1797,24.1317,22.5658,24.9772,23.5548,23.3056,25.0380,24.1622,25.0671,25.1827,24.7479,25.0170,24.9533,24.1520,25.0624,24.7406,23.7564,22.6749
1,Longitude,120.2175,121.4587,121.4810,120.5415,120.5612,120.4408,120.6777,120.4251,121.5133,121.2018,121.7929,120.5450,120.4097,120.3581,120.7417,121.5391,120.3120,121.1619,121.0828,121.5296,120.7889,120.9721,121.5998,121.0387,121.7601,121.3769,120.4118,121.2164,120.3487,119.5662,120.2518,120.5305,120.8202,120.6853,120.3283,120.4880,121.2040,120.9679,120.2474,120.2881,120.3076,120.3057,120.3326,121.4938,120.7588,120.5688,120.2971,121.5154,121.5786,120.2026,121.1505,120.2028,121.4492,121.3200,120.8986,121.4519,121.5080,121.6899,120.4691,120.3377,121.5378,120.3455,120.3173,121.4325,120.6169,121.6423,121.5296,121.7464,121.5163,121.2217,120.6411,121.5265,121.0889,120.6773,120.2929
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,71.9167,39.7500,42.0833,62.8750,74.0417,87.0417,-99999.0000,62.4583,-99999.0000,36.8750,28.6667,68.8750,72.3750,-99999.0000,51.8333,-99999.0000,-99999.0000,27.2727,-99999.0000,46.9167,20.7917,42.3913,36.2500,41.7083,29.6667,35.7083,44.5417,49.0417,62.5417,-99999.0000,-99999.0000,46.3750,37.4167,64.7500,81.7917,58.0000,49.7727,35.8750,74.9167,83.9130,-99999.0000,-99999.0000,44.2609,-99999.0000,33.4167,52.8750,75.2083,43.3333,43.2917,71.5000,21.7500,49.0833,38.5833,38.9583,35.5417,33.9583,43.2500,40.5833,52.3333,65.9167,-99999.0000,87.2917,85.8261,-99999.0000,56.3750,44.0833,-99999.0000,31.9167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,29.4167,51.9167,78.9583
4,2013/01/02 00:00:00,66.6667,31.2500,30.0000,56.5417,71.8750,83.0870,-99999.0000,68.3333,-99999.0000,27.5000,21.5417,70.2083,66.4583,-99999.0000,41.8750,-99999.0000,-99999.0000,22.9583,-99999.0000,37.9167,20.3750,30.5417,28.9583,23.7083,18.3043,16.2083,52.2500,41.6250,64.9583,-99999.0000,-99999.0000,43.7500,37.2083,69.3750,85.7500,65.3043,36.6250,35.0833,74.5000,80.2500,-99999.0000,-99999.0000,54.6250,-99999.0000,25.8333,43.7917,77.4583,31.1667,27.0000,69.3333,22.5833,-99999.0000,21.6250,32.5417,29.2917,28.7917,29.4167,18.4583,53.2500,67.0833,-99999.0000,85.9167,86.9583,-99999.0000,47.3750,30.9583,-99999.0000,26.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,27.3478,46.2500,79.6250
5,2013/01/03 00:00:00,49.5833,23.2917,21.3750,29.5417,90.1250,49.3750,20.2083,61.2174,-99999.0000,29.7917,18.7500,40.3333,42.4583,-99999.0000,30.9167,-99999.0000,-99999.0000,17.5000,-99999.0000,36.1250,19.4167,24.9583,17.9583,22.2917,19.8333,14.3333,50.2500,37.7083,45.2083,-99999.0000,-99999.0000,48.0000,21.0000,34.4167,68.9167,64.8333,33.2609,31.2917,54.4167,73.4583,-99999.0000,-99999.0000,62.5000,-99999.0000,14.5833,20.3750,50.8261,25.0435,20.3043,44.7083,21.7917,-99999.0000,20.0833,22.7391,21.9583,23.0000,26.0870,50.2083,29.2609,62.7083,-99999.0000,49.2083,57.1250,-99999.0000,28.0833,22.7500,-99999.0000,24.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,15.8750,33.0417,63.3478
6,2013/01/04 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
7,2013/01/05 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
8,2013/01/06 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
9,2013/01/07 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
