station,intercept,pressure,humidity,temperature,wind speed,PBLH,RAD,rsquared,province
MACG,-660.9460726,35.2041626,-2.846699818,43.72471682,-0.578946919,-0.044811342,-0.428921385,0.793094477,Macau
ANNAN,-315.7634406,13.88895934,-2.651936697,26.49334309,-0.010407188,-0.678391963,0.325145888,0.551817188,Taiwan
BANQIAO,-20.69274615,-13.8315532,-2.843995742,29.81664482,-0.130047798,-0.05430059,0.351621916,0.405799322,Taiwan
CAILIAO,-168.9846268,8.141880606,-1.259131343,12.63830395,-0.055961144,-0.020789206,0.38715963,0.519796629,Taiwan
CB_R,-240.2174306,11.29267362,-2.051251669,18.0218894,-0.120651138,-0.057870172,0.575306915,0.577671295,Hongkong
CL_R,-725.4771215,54.16906775,-1.435667912,16.64429657,-0.198280896,0.080605828,0.782498106,0.774441103,Hongkong
CW_A,-470.7491372,18.439273,-2.60338437,43.61279113,-0.463177741,0.40170401,0.101728142,0.647967693,Hongkong
CHANGHUA,-573.7534265,-10.48091482,-8.148522696,118.309325,0.116295835,-1.430858201,-0.312380611,0.871533546,Taiwan
CHAOZHOU,-639.9081612,23.68294919,-4.181085434,62.52454967,-0.469963141,-0.286975556,-0.278396391,0.784689379,Taiwan
CHIAYI,80.64881602,-26.01667439,-2.4261673,37.35189698,-0.829293212,-0.031661945,-0.21445492,0.563749439,Taiwan
DALI,-335.0299744,-22.59473081,-7.38390713,101.0703954,-0.142500234,-1.013571598,-0.322841643,0.846713925,Taiwan
DALIAO,388.8640157,-36.95118298,-1.818152323,5.076871766,0.12553802,0.029082414,0.523114598,0.350314944,Taiwan
DATONG,-168.9121125,-1.825009915,-2.466847687,31.93263782,-0.371353802,0.043677578,0.265742565,0.450117959,Taiwan
DAYUAN,-125.9247124,-15.66582414,-2.977979312,51.45827639,0.136490811,0.262803433,-0.002152805,0.274519286,Taiwan
DONGSHAN,-871.0425429,53.69456632,-1.961105849,42.89912102,-0.300898754,0.593949204,-0.120396617,0.761383255,Taiwan
DOULIU,-838.3317511,60.211527,-1.590666987,24.07719119,-0.163598522,0.190307406,0.629389981,0.774328518,Taiwan
EN_A,-448.349734,14.23004732,-2.86256797,48.11362213,-0.33518702,0.290471495,0.026462886,0.545320552,Hongkong
ERLIN,-413.6528193,-22.70437657,-8.41219013,114.8722635,-0.111808401,-1.475546507,-0.351568276,0.846895988,Taiwan
FENGSHAN,-121.7990936,5.384945963,-0.624832815,10.38682484,-0.536798535,0.157907009,0.105870426,0.494864386,Taiwan
FENGYUAN,0,0,0,0,0,0,0,0,Taiwan
FUGUEICAPE,-621.755535,10.17892622,-6.285771112,85.89395312,-0.30219121,-0.888672039,-0.491873016,0.908384252,Taiwan
FUXING,564.5280512,-47.12994738,-0.999546172,-4.747891203,-0.217743047,0.067338574,0.102063644,0.499957783,Taiwan
GUANSHAN,18.38121462,-2.068325971,-0.528529309,0.426865268,-0.274253545,0.462728384,0.342798176,0.608401968,Taiwan
GUANYIN,-158.6306868,-7.353339995,-3.36955216,41.17608426,-0.004845245,-0.522450714,0.185213206,0.406449036,Taiwan
GUTING,256.6142164,-79.57943937,-9.472619942,110.6780347,0.6450228,-1.393873961,0.299124356,0.555932135,Taiwan
HENGCHUN,0,0,0,0,0,0,0,0,Taiwan
PH1,0,0,0,0,0,0,0,0,Hongkong
PH5,0,0,0,0,0,0,0,0,Hongkong
PHSUP,-182.3482108,-15.12472119,-3.710741257,59.58066123,-0.379562542,0.629856961,0.177145833,0.608724526,Hongkong
HSINCHU,858.9712161,-51.09655383,1.23255451,-47.70281347,0.448520669,0.087814692,0.496538012,0.23347186,Taiwan
HUALIEN,272.8107621,-46.0885177,-3.553983169,43.35180669,-0.649685229,-0.035921325,-0.217473495,0.585311336,Taiwan
HUKOU,-419.3641812,11.91571245,-3.458536927,48.07621725,0.099913562,-0.665319082,0.233559734,0.603747979,Taiwan
KEELUNG,105.4013489,-5.33068331,-0.508876532,-8.540170299,-0.075883147,0.61465168,0.512778783,0.77535457,Taiwan
KINMEN,-667.7663987,37.71476694,-2.363193679,39.79891811,-0.325260267,-0.228287647,0.372148384,0.684737226,Fujian
KC_A,-518.7737526,30.37024784,-2.123628592,28.2856582,-0.183351723,-0.051015596,0.601410918,0.703564876,Hongkong
KT_A,-856.8547737,50.50274401,-2.514591141,47.10445702,-0.028219343,-0.123812459,0.297229812,0.359866463,Hongkong
LINKOU,-1234.787591,42.45638603,-7.318094924,127.5117751,-0.166897985,-0.942885657,-0.511202958,0.765380813,Taiwan
LINYUAN,-518.4564515,31.05551113,-1.562247383,27.78734851,-0.449408239,0.101965947,-0.247641939,0.737773629,Taiwan
CN_1361A,-86.8158347,-10.91182552,-2.60851006,36.1244237,-0.359876352,-0.195297431,0.04382819,0.619759401,Guangdong
LONGTAN,-759.9834661,58.26280072,-0.450766347,15.14233308,-0.281021385,0.61299952,0.033883629,0.779398508,Taiwan
LUNBEI,-267.5783409,30.30351463,0.730396538,-14.23550904,-0.10337347,0.64162438,0.386900752,0.732959216,Taiwan
MAGONG,-981.4248628,69.86969822,-0.833072904,30.0860033,-0.638837375,1.009718651,-0.269343029,0.767715176,Taiwan
MAILIAO,-218.7615382,13.40821555,-1.087150332,10.18438239,-0.270723189,0.80831197,0.016268785,0.701824827,Taiwan
MATSU,-1286.153815,47.36844467,-7.387324245,126.2636662,-0.11634185,-0.932749288,-0.22593506,0.856447301,Fujian
MEINONG,nan,nan,nan,nan,nan,nan,nan,nan,Taiwan
MIAOLI,-564.7674416,44.6028327,-0.66748731,8.755767178,-0.279092445,0.074312298,0.308159577,0.763855124,Taiwan
MKaR,124.2364956,-19.95525991,-1.414006865,17.55509531,-0.639627882,0.283174687,-0.09016508,0.760892881,Hongkong
NANTOU,-266.8296256,-37.41522301,-8.773341508,118.4440423,-0.149491081,-1.332827851,-0.354410402,0.816222988,Taiwan
NANZI,-608.9298476,-5.77201991,-7.879936333,115.0252488,-0.034748561,-1.332533691,-0.231156037,0.780214531,Taiwan
PINGTUNG,-76.8119581,-17.18749533,-3.374250515,46.74033752,-0.357147358,-0.452140773,0.055255179,0.500670685,Taiwan
PINGZHEN,263.4814658,-41.11184853,-2.002317219,34.91838658,-0.636678598,0.518649403,-0.067318836,0.758856281,Taiwan
PULI,-538.8878715,22.46561184,-3.436659023,47.75620712,-0.461736875,-0.362645725,-0.114042646,0.751762425,Taiwan
PUZI,-353.8227624,-31.24100797,-8.901202233,121.37533,-0.042165569,-1.555808636,-0.372642318,0.826136491,Taiwan
QIANJIN,-231.997665,-59.22740577,-11.00442472,155.2011295,-0.120524146,-1.605702785,-0.485725121,0.814979467,Taiwan
QIANZHEN,-782.9772467,-9.199654644,-10.28550516,151.141065,-0.120213305,-1.620494576,-0.337885406,0.808413107,Taiwan
QIAOTOU,-528.9709592,-9.587283182,-7.705012768,108.977664,-0.159174036,-1.359097645,-0.356307012,0.880167373,Taiwan
