station,province
MACG,0
ANNAN,0
BANQIAO,0
CAILIAO,0
CB_R,0
CL_R,0
CW_A,0
CHANGHUA,0
CHAOZHOU,0
CHIAYI,0
DALI,0
DALIAO,0
DATONG,0
DAYUAN,0
DONGSHAN,0
DOULIU,0
EN_A,0
ERLIN,0
FENGSHAN,0
FENGYUAN,0
FUGUEICAPE,0
FUXING,0
GUANSHAN,0
GUANYIN,0
GUTING,0
HENGCHUN,0
PH1,0
PH5,0
HSINCHU,0
HUALIEN,0
HUKOU,0
KEELUNG,0
KINMEN,0
KC_A,0
KT_A,0
LINKOU,0
LINYUAN,0
CN_1361A,0
LONGTAN,0
LUNBEI,0
MAGONG,0
MAILIAO,0
MATSU,0
MEINONG,0
MIAOLI,0
MKaR,0
NANTOU,0
NANZI,0
PINGTUNG,0
PINGZHEN,0
PULI,0
PUZI,0
QIANJIN,0
QIANZHEN,0
QIAOTOU,0
RENWU,0
SANCHONG,0
SANYI,0
ST_A,0
SHALU,0
SP_A,0
SHANHUA,0
SHILIN,0
SONGSHAN,0
TP_A,0
TAINAN,0
TAITUNG,0
TAIXI,0
TAMSUI,0
TAOYUAN,0
MB_A,0
TOUFEN,0
TK_A,0
TW_A,0
TUCHENG,0
TM_A,0
TC_A,0
WANHUA,0
WANLI,0
XIANXI,0
XIAOGANG,0
XINDIAN,0
XINGANG,0
XINYING,0
XINZHUANG,0
XITUN,0
XIZHI,0
YANGMING,0
CN_1360A,0
YILAN,0
YONGHE,0
YL_A,0
ZHONGLI,0
ZHONGMING,0
ZHONGSHAN,0
ZHUDONG,0
ZHUSHAN,0
ZUOYING,0
XCNAQ666,0
XCNAQ665,0
XCNAQ667,0
XCNAQ021,0
XCNAQ473,0
XCNAQ474,0
XCNAQ729,0
XCNAQ728,0
XCNAQ2065,0
XCNAQ727,0
XCNAQ2070,0
XCNAQ2067,0
XCNAQ2072,0
XCNAQ2066,0
XCNAQ2063,0
XCNAQ2075,0
XCNAQ2074,0
XCNAQ2073,0
XCNAQ2076,0
XCNAQ2069,0
XCNAQ2068,0
XCNAQ2071,0
XCNAQ730,0
XCNAQ2064,0
XCNAQ2062,0
XCNAQ2061,0
XCNAQ294,0
XCNAQ2608,0
XCNAQ2605,0
XCNAQ2606,0
XCNAQ208,0
XCNAQ211,0
XCNAQ2604,0
XCNAQ2882,0
XCNAQ2603,0
XCNAQ2609,0
XCNAQ2610,0
XCNAQ1253,0
XCNAQ2607,0
XCNAQ209,0
XCNAQ1795,0
CN_1142A,0
XCNAQ1283,0
XCNAQ1826,0
XCNAQ1813,0
XCNAQ1802,0
XCNAQ1825,0
XCNAQ1820,0
XCNAQ1815,0
XCNAQ1821,0
XCNAQ1792,0
XCNAQ1822,0
XCNAQ1812,0
XCNAQ1786,0
XCNAQ1810,0
XCNAQ1811,0
XCNAQ1794,0
CN_1144A,0
XCNAQ1284,0
CN_1141A,0
XCNAQ1816,0
CN_1145A,0
XCNAQ1798,0
XCNAQ1797,0
XCNAQ1791,0
XCNAQ1808,0
XCNAQ1807,0
XCNAQ1801,0
CN_1148A,0
CN_1150A,0
XCNAQ1787,0
CN_1149A,0
CN_1143A,0
XCNAQ1809,0
XCNAQ1823,0
XCNAQ1814,0
XCNAQ1804,0
XCNAQ1824,0
XCNAQ1800,0
XCNAQ1803,0
XCNAQ1819,0
XCNAQ1789,0
XCNAQ1790,0
XCNAQ1788,0
XCNAQ1805,0
XCNAQ1806,0
CN_1146A,0
XCNAQ1817,0
XCNAQ1793,0
XCNAQ1796,0
XCNAQ1818,0
CN_1147A,0
XCNAQ1799,0
XCNAQ2268,0
XCNAQ2260,0
XCNAQ2266,0
XCNAQ783,0
XCNAQ2269,0
XCNAQ782,0
XCNAQ2261,0
XCNAQ784,0
XCNAQ2265,0
XCNAQ2271,0
XCNAQ2270,0
XCNAQ2264,0
XCNAQ2262,0
XCNAQ781,0
XCNAQ2267,0
XCNAQ2263,0
XCNAQ045,0
CN_1387A,0
CN_1390A,0
CN_1388A,0
CN_1391A,0
XCNAQ2840,0
XCNAQ2839,0
XCNAQ2841,0
CN_1389A,0
XCNAQ2325,0
XCNAQ2324,0
XCNAQ395,0
XCNAQ449,0
XCNAQ2326,0
XCNAQ1254,0
XCNAQ2320,0
XCNAQ2322,0
XCNAQ396,0
XCNAQ2321,0
XCNAQ2323,0
XCNAQ397,0
XCNAQ1067,0
XCNAQ1066,0
XCNAQ1068,0
XCNAQ2845,0
CN_1379A,0
XCNAQ2844,0
XCNAQ2842,0
CN_1380A,0
XCNAQ2843,0
CN_1382A,0
CN_1381A,0
XCNAQ091,0
XCNAQ1054,0
XCNAQ1053,0
XCNAQ507,0
XCNAQ2901,0
XCNAQ508,0
XCNAQ2900,0
XCNAQ1719,0
XCNAQ1721,0
XCNAQ068,0
XCNAQ1723,0
XCNAQ1713,0
XCNAQ1703,0
XCNAQ1717,0
XCNAQ1711,0
XCNAQ1720,0
XCNAQ1716,0
XCNAQ1240,0
XCNAQ1708,0
XCNAQ1710,0
XCNAQ1707,0
XCNAQ1286,0
XCNAQ069,0
XCNAQ066,0
XCNAQ065,0
XCNAQ1725,0
XCNAQ1722,0
XCNAQ1709,0
XCNAQ1714,0
XCNAQ1705,0
XCNAQ1718,0
XCNAQ1715,0
XCNAQ1724,0
XCNAQ1706,0
XCNAQ1704,0
XCNAQ2392,0
XCNAQ2395,0
XCNAQ398,0
XCNAQ2393,0
XCNAQ399,0
XCNAQ400,0
XCNAQ2394,0
XCNAQ401,0
XCNAQ990,0
XCNAQ989,0
XCNAQ1168,0
XCNAQ380,0
XCNAQ381,0
XCNAQ1169,0
XCNAQ1167,0
XCNAQ382,0
XCNAQ383,0
XCNAQ1934,0
CN_1269A,0
XCNAQ1930,0
XCNAQ1933,0
XCNAQ1935,0
XCNAQ1936,0
XCNAQ1932,0
XCNAQ1928,0
CN_1267A,0
XCNAQ1937,0
CN_1268A,0
XCNAQ1931,0
XCNAQ1929,0
XCNAQ987,0
XCNAQ988,0
XCNAQ986,0
XCNAQ503,0
XCNAQ504,0
XCNAQ1250,0
XCNAQ1775,0
XCNAQ1778,0
XCNAQ1774,0
XCNAQ2884,0
XCNAQ1777,0
XCNAQ1776,0
XCNAQ603,0
XCNAQ604,0
XCNAQ594,0
XCNAQ593,0
XCNAQ592,0
CN_1495A,0
CN_1494A,0
XCNAQ1249,0
CN_1491A,0
CN_1492A,0
CN_1490A,0
CN_1496A,0
CN_1493A,0
XCNAQ923,0
XCNAQ926,0
XCNAQ925,0
XCNAQ924,0
XCNAQ1274,0
XCNAQ2170,0
XCNAQ148,0
XCNAQ2172,0
XCNAQ2173,0
XCNAQ2183,0
XCNAQ151,0
XCNAQ1291,0
XCNAQ2176,0
XCNAQ147,0
XCNAQ2180,0
XCNAQ2175,0
XCNAQ2171,0
XCNAQ2174,0
XCNAQ2178,0
XCNAQ2179,0
XCNAQ2181,0
XCNAQ2182,0
XCNAQ153,0
XCNAQ146,0
XCNAQ150,0
XCNAQ152,0
XCNAQ2177,0
XCNAQ511,0
XCNAQ512,0
XCNAQ210,0
XCNAQ443,0
XCNAQ444,0
XCNAQ445,0
XCNAQ1096,0
XCNAQ346,0
XCNAQ715,0
XCNAQ2018,0
XCNAQ714,0
XCNAQ2017,0
XCNAQ2019,0
XCNAQ051,0
XCNAQ657,0
XCNAQ658,0
XCNAQ659,0
XCNAQ1088,0
XCNAQ1089,0
XCNAQ1090,0
CN_1378A,0
CN_1377A,0
XCNAQ2822,0
CN_1372A,0
XCNAQ2821,0
XCNAQ2818,0
CN_1373A,0
CN_1375A,0
XCNAQ047,0
CN_1371A,0
XCNAQ2820,0
XCNAQ025,0
CN_1374A,0
CN_1376A,0
XCNAQ2823,0
XCNAQ660,0
XCNAQ663,0
XCNAQ661,0
XCNAQ664,0
XCNAQ662,0
CN_1052A,0
XCNAQ1430,0
XCNAQ1428,0
XCNAQ1440,0
CN_1054A,0
XCNAQ1431,0
XCNAQ1417,0
XCNAQ1422,0
XCNAQ1437,0
XCNAQ1435,0
XCNAQ1433,0
XCNAQ1414,0
CN_1053A,0
XCNAQ1424,0
XCNAQ1420,0
XCNAQ1419,0
XCNAQ1421,0
XCNAQ1426,0
XCNAQ1413,0
XCNAQ1415,0
CN_1051A,0
XCNAQ1416,0
XCNAQ1423,0
CN_1056A,0
CN_1055A,0
XCNAQ1441,0
XCNAQ1427,0
XCNAQ1439,0
XCNAQ1438,0
XCNAQ1425,0
XCNAQ1434,0
XCNAQ1429,0
XCNAQ1436,0
XCNAQ1418,0
XCNAQ1432,0
XCNAQ982,0
XCNAQ983,0
XCNAQ2649,0
XCNAQ2648,0
XCNAQ558,0
XCNAQ2653,0
XCNAQ2652,0
XCNAQ2654,0
XCNAQ2655,0
XCNAQ560,0
XCNAQ559,0
XCNAQ557,0
XCNAQ2661,0
XCNAQ2660,0
XCNAQ2651,0
XCNAQ2650,0
XCNAQ2659,0
XCNAQ2658,0
XCNAQ2657,0
XCNAQ2656,0
XCNAQ2647,0
XCNAQ2646,0
XCNAQ1097,0
XCNAQ479,0
XCNAQ352,0
XCNAQ351,0
XCNAQ349,0
XCNAQ350,0
XCNAQ114,0
XCNAQ2015,0
XCNAQ713,0
XCNAQ712,0
XCNAQ711,0
XCNAQ710,0
XCNAQ2014,0
XCNAQ2013,0
XCNAQ2012,0
XCNAQ2016,0
XCNAQ968,0
XCNAQ967,0
XCNAQ966,0
XCNAQ964,0
XCNAQ965,0
CN_1476A,0
XCNAQ1300,0
CN_1477A,0
CN_1478A,0
CN_1475A,0
CN_1479A,0
XCNAQ167,0
XCNAQ1251,0
XCNAQ1779,0
XCNAQ605,0
XCNAQ607,0
XCNAQ606,0
XCNAQ920,0
XCNAQ921,0
XCNAQ922,0
XCNAQ919,0
XCNAQ962,0
XCNAQ961,0
XCNAQ960,0
XCNAQ963,0
XCNAQ959,0
XCNAQ163,0
XCNAQ041,0
XCNAQ078,0
XCNAQ422,0
XCNAQ1749,0
XCNAQ079,0
XCNAQ1747,0
XCNAQ077,0
XCNAQ365,0
XCNAQ1745,0
XCNAQ1750,0
XCNAQ1746,0
XCNAQ1748,0
XCNAQ080,0
CN_1001A,0
CN_1003A,0
XCNAQ005,0
XCNAQ004,0
XCNAQ009,0
