station,intercept,pressure,humidity,temperature,wind speed,PBLH,RAD,rsquared,province
MACG,-218.1011225,-30.75110145,-5.917059378,97.500444,-0.37880597,-0.516310588,-0.119878947,0.342517498,Macau
ANNAN,-218.6933621,17.74123258,0.004335068,2.017188472,0.136149838,0.65303035,0.590717369,0.175755351,Taiwan
BANQIAO,-125.8963503,10.03636777,0.055178042,1.439115132,0.062310561,0.685948281,0.36589459,0.115427892,Taiwan
CAILIAO,-2006.255443,149.0120751,-1.243871157,49.50675598,-0.165353664,-0.028282717,0.988361636,0.714813109,Taiwan
CB_R,-1640.66157,118.1412428,-1.423778283,48.2584702,-0.36848333,-0.219479542,0.57252679,0.667105333,Hongkong
CL_R,-1272.606734,74.73152415,-2.770745924,70.34344769,-0.056057414,-0.227767751,0.867599699,0.571458917,Hongkong
CW_A,-1.045044405,-10.74019455,-1.017433269,20.5993985,-0.210531167,0.821962655,0.510526153,0.334109619,Hongkong
CHANGHUA,-95.3186441,-67.12243256,-9.605217772,147.5452842,-0.030494985,-1.289410071,0.016522028,0.55108074,Taiwan
CHAOZHOU,-142.6336422,-39.18499246,-5.93568185,101.1944775,-0.329138413,-0.549873043,0.060989788,0.310583333,Taiwan
CHIAYI,712.8340029,-86.50077041,-2.927576058,47.81206573,-0.874736723,0.116962,-0.071147147,0.404173243,Taiwan
DALI,292.0242498,-106.218547,-10.90750303,157.7821117,-0.134593398,-1.415583194,0.095364364,0.450036187,Taiwan
DALIAO,-18.8114796,6.062623295,0.423907607,-9.090514446,-0.050246344,0.631707672,0.568919667,0.332014492,Taiwan
DAYUAN,154.055461,7.357925618,1.499723047,-41.46887061,0.144622435,0.750121863,0.62892397,0.452219355,Taiwan
DONGSHAN,-49.79566896,-30.03611654,-3.592036145,67.01998365,-0.208639334,0.445898168,0.028440039,0.27729002,Taiwan
DOULIU,-1322.557749,79.36045203,-2.761799709,70.10722441,-0.159914324,-0.398528626,0.704249827,0.465044993,Taiwan
