station,intercept,pressure,humidity,temperature,wind speed,PBLH,RAD,rsquared,province
MACG,-689.6834523,29.39060697,-3.504456633,60.11458118,-0.169692212,-0.197555776,-0.17882441,0.763560335,Macau
ANNAN,-293.3252691,14.02504369,-1.779160713,22.59850874,0.023453517,-0.248425046,0.295674066,0.512582937,Taiwan
BANQIAO,-616.6638008,34.13051089,-2.399767908,38.42103639,0.095454237,-0.378349847,0.317025865,0.5608523,Taiwan
CAILIAO,-336.4119347,18.02722701,-1.592205936,21.86420417,-0.060523846,-0.094174941,0.488032457,0.622106922,Taiwan
CB_R,-172.1468817,4.989970896,-2.116970284,18.65163421,0.221813272,-0.154305565,0.890101255,0.577982566,Hongkong
CL_R,-754.9124451,52.38893074,-1.761663359,25.22483661,-0.095461279,0.019155471,0.880735936,0.784816104,Hongkong
CW_A,-484.264221,29.99685731,-1.157685642,23.57132882,-0.128278542,0.349965577,0.34506078,0.675139224,Hongkong
CHANGHUA,-460.5694705,-8.111952781,-6.488733376,94.39382319,0.023205455,-0.953557972,-0.184895392,0.906079595,Taiwan
CHAOZHOU,-867.9352152,54.14522236,-2.022359813,41.98742166,-0.209155228,0.17712749,-0.175883981,0.808157252,Taiwan
CHIAYI,-163.2970645,-3.593100646,-2.035331285,35.10672606,-0.487649789,0.006041072,0.036681104,0.71970374,Taiwan
DALI,-936.5483941,32.05176267,-5.639565598,97.136152,-0.163876047,-0.71617516,-0.286228545,0.906180965,Taiwan
DALIAO,-222.748035,5.948192037,-1.795543034,26.63221444,-0.062239961,-0.160414613,0.047523842,0.536327277,Taiwan
DATONG,-384.606302,24.32648715,-1.127540843,17.96869326,-0.141950566,0.059227408,0.242881153,0.591856633,Taiwan
DAYUAN,-242.3432643,11.40502072,-1.207513784,19.56112361,-0.047877976,-0.069859452,0.019505484,0.228547449,Taiwan
DONGSHAN,-855.8271396,56.14380159,-1.354137789,35.77376599,-0.022062158,0.455650516,0.092688262,0.779855863,Taiwan
DOULIU,-819.437087,57.03445858,-1.762241244,27.24091229,-0.049613716,-0.011962568,0.76801678,0.812262953,Taiwan
EN_A,-713.0686144,43.05012429,-1.602125872,37.11859917,-0.125605592,0.405055424,0.063654902,0.652721458,Hongkong
ERLIN,-1242.903529,72.94736675,-3.457134182,69.58464757,0.12494136,-0.610743403,-0.228951565,0.830369218,Taiwan
FENGSHAN,229.2429252,-41.8511118,-2.623365809,42.85347123,-0.646861079,0.065689377,0.021074249,0.534982591,Taiwan
FENGYUAN,0,0,0,0,0,0,0,0,Taiwan
FUGUEICAPE,-996.0666377,44.64857318,-4.922018802,82.37985812,-0.033339648,-0.549375644,-0.256231121,0.939860732,Taiwan
FUXING,526.475539,-53.9721798,-1.712398947,15.94454695,-0.194791168,-0.323823695,-0.093484477,0.349265672,Taiwan
GUANSHAN,-377.0499798,21.01577416,-1.399685559,23.10182633,-0.157049046,0.13110011,0.213869518,0.688586305,Taiwan
GUANYIN,-345.7243308,2.953877743,-3.670434675,53.08015645,0.180425955,-0.561937797,0.283271306,0.34098485,Taiwan
GUTING,-226.2680561,-20.39327942,-5.411875474,78.29277657,0.255468199,-0.764097139,0.178096063,0.339743965,Taiwan
HENGCHUN,0,0,0,0,0,0,0,0,Taiwan
PH1,0,0,0,0,0,0,0,0,Hongkong
PH5,-482.7800213,20.14676188,-2.388920544,42.85640022,-0.299419996,0.161862469,-0.010129283,0.738685681,Hongkong
HSINCHU,156.2003836,-14.7727119,-0.594894477,1.821417119,0.159091386,0.280172786,0.182693855,0.332368365,Taiwan
HUALIEN,-339.3308927,13.29472864,-1.792069006,31.55370727,-0.066571842,0.306196523,0.252193601,0.62777577,Taiwan
HUKOU,-351.0352091,16.8305336,-1.969178139,27.08643195,0.243251262,-0.490095489,0.290543027,0.533276887,Taiwan
KEELUNG,0,0,0,0,0,0,0,0,Taiwan
KINMEN,-628.6650529,32.78483801,-2.479730963,42.82257751,-0.217079194,-0.239389839,0.453248034,0.706370896,Fujian
KC_A,-590.8961648,33.52220328,-2.260667304,34.61941804,-0.136668071,-0.066735,0.5287489,0.746080505,Hongkong
KT_A,-649.9491125,52.850205,-0.254688134,7.682250147,0.016458015,-0.05037808,0.35772944,0.459077083,Hongkong
LINKOU,-681.9214274,20.94366649,-4.599084134,74.79080939,-0.136676305,0.003797012,-0.247240071,0.806875,Taiwan
LINYUAN,-527.0273596,25.85280617,-2.141856188,39.73111075,-0.494306084,-0.211116615,-0.091755406,0.685171931,Taiwan
CN_1361A,-139.211619,-15.02137556,-3.635152799,53.69597644,-0.282932624,-0.761767126,-0.053357508,0.54140221,Guangdong
LONGTAN,-970.7092299,59.97119585,-1.631093253,47.93352643,0.03862723,0.609982462,-0.092805505,0.801981127,Taiwan
LUNBEI,-413.5538935,26.99761897,-1.110054433,17.05561586,-0.210265662,0.545012613,0.277943608,0.820223926,Taiwan
MAGONG,-1065.31551,78.02687733,-0.024560094,28.88689735,0.094270889,0.875780962,-0.038809492,0.722983866,Taiwan
MAILIAO,0,0,0,0,0,0,0,0,Taiwan
MATSU,-838.8501999,19.49128728,-6.734033087,104.6060899,-0.094251427,-0.92253864,-0.029092935,0.90627507,Fujian
MEINONG,-401.3433894,35.52769072,0.240447869,-1.147565835,-0.211591199,0.5681769,0.21410011,0.565119865,Taiwan
MIAOLI,-534.9437389,36.27847197,-1.368091008,19.766292,-0.084172451,-0.018493398,0.588303653,0.709255418,Taiwan
MKaR,-296.2536613,14.57444521,-1.07908664,22.35432278,-0.369296402,0.303706572,-0.121247485,0.819693955,Hongkong
NANTOU,-712.2424061,25.70607333,-4.522379923,71.39283745,-0.093727909,-0.735925562,-0.158917633,0.891625222,Taiwan
NANZI,-895.8078794,23.4851276,-6.564737284,106.8650133,0.112535009,-1.115412072,-0.0406193,0.912717724,Taiwan
PINGTUNG,-164.0798843,-13.01568203,-3.470072206,53.65375324,-0.190566533,-0.393971458,0.024003857,0.576547551,Taiwan
