,station,province
0,MACG,Macau
1,ANNAN,Taiwan
2,BANQIAO,Taiwan
3,CAILIAO,Taiwan
4,CB_R,Hongkong
5,CL_R,Hongkong
6,CW_A,Hongkong
7,CHANGHUA,Taiwan
8,CHAOZHOU,Taiwan
9,CHIAYI,Taiwan
10,DALI,Taiwan
11,DALIAO,Taiwan
12,DATONG,Taiwan
13,DAYUAN,Taiwan
14,DONGSHAN,Taiwan
15,DOULIU,Taiwan
16,EN_A,Hongkong
17,ERLIN,Taiwan
18,FENGSHAN,Taiwan
19,FENGYUAN,Taiwan
20,FUGUEICAPE,Taiwan
21,FUXING,Taiwan
22,GUANSHAN,Taiwan
23,GUANYIN,Taiwan
24,GUTING,Taiwan
25,HENGCHUN,Taiwan
26,PH1,Hongkong
27,PH5,Hongkong
28,HSINCHU,Taiwan
29,HUALIEN,Taiwan
30,HUKOU,Taiwan
31,KEELUNG,Taiwan
32,KINMEN,Fujian
33,KC_A,Hongkong
34,KT_A,Hongkong
35,LINKOU,Taiwan
36,LINYUAN,Taiwan
37,CN_1361A,Guangdong
38,LONGTAN,Taiwan
39,LUNBEI,Taiwan
40,MAGONG,Taiwan
41,MAILIAO,Taiwan
42,MATSU,Fujian
43,MEINONG,Taiwan
44,MIAOLI,Taiwan
45,MKaR,Hongkong
46,NANTOU,Taiwan
47,NANZI,Taiwan
48,PINGTUNG,Taiwan
49,PINGZHEN,Taiwan
50,PULI,Taiwan
51,PUZI,Taiwan
52,QIANJIN,Taiwan
53,QIANZHEN,Taiwan
54,QIAOTOU,Taiwan
55,RENWU,Taiwan
56,SANCHONG,Taiwan
57,SANYI,Taiwan
58,ST_A,Hongkong
59,SHALU,Taiwan
60,SP_A,Hongkong
61,SHANHUA,Taiwan
62,SHILIN,Taiwan
63,SONGSHAN,Taiwan
64,TP_A,Hongkong
65,TAINAN,Taiwan
66,TAITUNG,Taiwan
67,TAIXI,Taiwan
68,TAMSUI,Taiwan
69,TAOYUAN,Taiwan
70,MB_A,Hongkong
71,TOUFEN,Taiwan
72,TK_A,Hongkong
73,TW_A,Hongkong
74,TUCHENG,Taiwan
75,TM_A,Hongkong
76,TC_A,Hongkong
77,WANHUA,Taiwan
78,WANLI,Taiwan
79,XIANXI,Taiwan
80,XIAOGANG,Taiwan
81,XINDIAN,Taiwan
82,XINGANG,Taiwan
83,XINYING,Taiwan
84,XINZHUANG,Taiwan
85,XITUN,Taiwan
86,XIZHI,Taiwan
87,YANGMING,Taiwan
88,CN_1360A,Guangdong
89,YILAN,Taiwan
90,YONGHE,Taiwan
91,YL_A,Hongkong
92,ZHONGLI,Taiwan
93,ZHONGMING,Taiwan
94,ZHONGSHAN,Taiwan
