,Station ID,XCNAQ045,XCNAQ041,CN_1001A,CN_1003A,XCNAQ005,XCNAQ004,XCNAQ009,XCNAQ038,XCNAQ1317,XCNAQ039,XCNAQ1313,XCNAQ1318,XCNAQ040,CN_1005A,XCNAQ003,XCNAQ1316,CN_1012A,XCNAQ1314,CN_1004A,CN_1011A,CN_1006A,CN_1002A,XCNAQ014,XCNAQ012,XCNAQ446,CN_1009A,CN_1010A,CN_1007A,XCNAQ007,XCNAQ1315,CN_1008A,XCNAQ010,XCNAQ044,XCNAQ013,XCNAQ1523,XCNAQ016,XCNAQ015,XCNAQ042,XCNAQ002,XCNAQ043,XCNAQ008,XCNAQ006
0,Latitude,39.9390,39.8990,39.8673,39.9522,39.8626,39.8237,39.7953,40.2735,40.4989,39.7120,39.4900,40.3652,39.5750,39.9716,40.0902,39.9370,39.9279,40.4528,39.8745,39.9799,39.9425,40.2864,40.3703,40.1426,39.9150,40.3937,40.1952,39.9934,39.7421,39.8972,40.1438,39.7175,39.8560,40.6400,40.6436,40.3500,40.4700,39.8760,40.0500,39.9540,39.8800,39.9600
1,Longitude,116.4830,116.3950,116.3660,116.4340,116.2785,116.1456,116.5062,117.1111,116.9194,116.7830,116.3266,116.0182,116.1400,116.4730,116.1736,116.1056,116.2250,115.9718,116.4340,116.4000,116.3610,116.1700,116.8323,117.1001,116.3816,116.6440,116.2300,116.3150,116.1358,116.6459,116.7200,116.4038,116.3680,117.0600,117.0811,115.9100,115.9300,116.3940,116.1200,116.3490,116.6500,116.0900
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
4,2013/01/02 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
5,2013/01/03 00:00:00,31.1905,-99999.0000,66.3810,31.1905,102.1429,86.1429,92.4762,21.6667,-99999.0000,118.4762,-99999.0000,-99999.0000,-99999.0000,28.5238,-99999.0000,-99999.0000,98.6667,-99999.0000,61.1429,26.7619,38.0476,20.6667,18.8095,39.0667,-99999.0000,34.5714,25.5714,63.5714,124.4762,-99999.0000,31.8095,129.9048,83.5238,9.3333,-99999.0000,25.9500,40.1905,73.7619,40.4762,42.2857,41.8571,71.3333
6,2013/01/04 00:00:00,107.9583,145.6667,125.1250,86.0000,175.7917,115.1667,203.7083,33.0417,-99999.0000,217.2083,-99999.0000,-99999.0000,-99999.0000,86.5417,-99999.0000,-99999.0000,142.4167,-99999.0000,114.7500,75.9167,99.1250,32.6667,33.6667,42.5000,-99999.0000,54.4167,61.8333,111.4167,185.2917,-99999.0000,47.5833,222.8750,161.2083,18.4167,-99999.0000,49.9583,104.8333,126.0833,58.5000,107.4167,99.6250,92.9583
7,2013/01/05 00:00:00,49.5417,44.3333,43.5417,35.8333,115.9167,81.0000,107.9583,20.9167,-99999.0000,155.3750,-99999.0000,-99999.0000,-99999.0000,39.2500,-99999.0000,-99999.0000,98.9583,-99999.0000,40.6250,36.0000,45.5217,22.9444,30.3750,-99999.0000,-99999.0000,49.7917,-99999.0000,58.0417,135.3333,-99999.0000,30.7917,181.9167,66.5417,15.8750,-99999.0000,32.0833,66.7917,46.5833,39.2083,52.4348,39.5000,80.5417
8,2013/01/06 00:00:00,183.5000,149.9583,149.6667,150.1250,168.7500,135.1667,190.3750,143.6667,-99999.0000,156.0417,-99999.0000,-99999.0000,332.2000,158.8750,189.9333,-99999.0000,143.0833,-99999.0000,156.5833,125.9167,138.9583,84.3684,41.5000,-99999.0000,-99999.0000,52.4583,83.0870,152.8333,190.3333,-99999.0000,73.7083,198.1667,164.2500,20.5833,-99999.0000,67.0833,110.0000,157.2917,118.6667,154.4167,143.5833,105.3043
9,2013/01/07 00:00:00,-99999.0000,166.1250,177.1250,153.7222,233.0435,187.0556,196.9412,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,152.4444,187.2353,-99999.0000,191.8750,-99999.0000,150.2353,122.3889,143.8235,-99999.0000,84.6471,-99999.0000,-99999.0000,89.1176,175.0000,181.0000,298.8235,-99999.0000,120.3529,290.2667,201.0000,44.5556,-99999.0000,79.0000,155.7647,183.0870,169.0000,-99999.0000,176.6471,153.0000
10,2013/01/08 00:00:00,17.6500,14.2105,11.5500,15.3500,26.4783,10.9000,14.9500,23.7500,-99999.0000,26.2500,-99999.0000,-99999.0000,208.7000,14.7500,7.7000,-99999.0000,11.3500,-99999.0000,14.7500,14.5500,13.4000,11.7059,15.1500,25.0000,-99999.0000,17.4211,15.8500,11.2000,66.6000,-99999.0000,13.2105,16.7500,17.2105,10.0500,-99999.0000,13.1000,20.2500,30.5217,20.3913,25.1500,22.1000,8.9500
11,2013/01/09 00:00:00,123.2500,130.1667,135.9583,117.4167,139.2500,73.7083,162.9167,98.0417,-99999.0000,154.7500,-99999.0000,-99999.0000,222.7083,122.9167,72.6250,-99999.0000,85.6667,-99999.0000,132.7917,94.1667,96.2917,28.3000,37.9583,69.6000,-99999.0000,44.1250,46.1667,85.8333,141.5833,-99999.0000,49.5417,180.2500,158.3750,16.5000,-99999.0000,26.6667,56.6250,137.5833,58.6250,115.7917,149.1250,56.7083
12,2013/01/10 00:00:00,285.3750,305.7917,300.4583,278.4167,300.0417,311.0000,338.6667,324.8333,-99999.0000,385.5417,-99999.0000,-99999.0000,379.0435,280.5833,248.7917,-99999.0000,300.0417,-99999.0000,300.7083,277.6957,291.6250,195.2222,275.5000,304.4348,-99999.0000,249.9167,187.8750,285.8333,344.1250,-99999.0000,292.8261,410.6522,325.0000,220.8750,-99999.0000,177.9167,132.8333,306.6250,266.6667,310.0417,343.1250,269.7083
13,2013/01/11 00:00:00,350.0000,350.1250,382.2917,367.2083,388.5833,377.0833,363.0870,194.2917,-99999.0000,402.1250,-99999.0000,-99999.0000,390.5263,329.9167,146.9583,-99999.0000,374.1667,-99999.0000,365.4167,299.3333,363.0417,77.5294,192.9583,163.8947,-99999.0000,173.7083,111.1667,366.0833,-99999.0000,-99999.0000,194.8750,414.8182,402.2174,134.7917,-99999.0000,55.9583,103.0417,340.1667,204.2083,215.5000,415.4167,219.6250
14,2013/01/12 00:00:00,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,173.9524,-99999.0000,-99999.0000,-99999.0000,199.5000,188.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,152.0500,-99999.0000,160.9565,112.6522,-99999.0000,306.5294,167.9565,-99999.0000,257.2000
15,2013/01/13 00:00:00,325.0000,288.2105,284.5263,289.0526,302.7000,246.6000,368.0526,403.3889,-99999.0000,-99999.0000,-99999.0000,-99999.0000,280.5789,295.4211,319.7500,-99999.0000,295.1579,-99999.0000,265.8947,334.1500,295.5263,345.3333,258.6842,-99999.0000,-99999.0000,336.5263,341.4500,310.3158,-99999.0000,-99999.0000,-99999.0000,300.8000,311.9000,208.7368,-99999.0000,196.6500,254.6842,290.6316,269.0500,124.5000,381.2667,259.5000
16,2013/01/14 00:00:00,192.6087,190.2500,235.4444,150.8750,205.0000,173.0000,228.2727,161.2609,-99999.0000,156.0000,-99999.0000,-99999.0000,259.0000,174.8333,219.3333,-99999.0000,154.4167,-99999.0000,161.6250,169.3333,182.9583,221.5556,79.0909,-99999.0000,-99999.0000,142.0417,221.6957,178.6250,-99999.0000,-99999.0000,184.7917,249.3043,203.6087,102.8750,-99999.0000,138.5833,156.9167,174.7500,157.5833,64.7083,164.7083,133.7083
17,2013/01/15 00:00:00,96.8182,104.0000,-99999.0000,93.4545,99.5455,108.6818,100.2273,91.8095,-99999.0000,159.0909,-99999.0000,-99999.0000,153.4545,96.8095,148.6818,-99999.0000,113.5455,-99999.0000,101.0870,99.2727,88.5909,-99999.0000,77.3478,117.3810,-99999.0000,115.3333,140.5000,106.3636,179.6000,-99999.0000,102.3182,148.6190,103.5455,73.1364,-99999.0000,67.7143,75.4348,102.4286,89.5000,42.8261,117.6667,124.2609
18,2013/01/16 00:00:00,94.0870,63.9524,86.4737,77.3043,91.1739,108.0000,117.1739,40.6250,-99999.0000,143.4783,-99999.0000,-99999.0000,159.7826,79.2500,65.4583,-99999.0000,71.5000,-99999.0000,89.6087,66.0000,64.6957,-99999.0000,14.2083,75.5500,-99999.0000,27.7391,40.6522,61.8261,184.4783,-99999.0000,45.8750,170.5833,101.0870,13.4167,-99999.0000,19.5833,26.8333,83.5652,45.9583,32.0417,108.1739,75.5238
19,2013/01/17 00:00:00,120.5000,108.0000,124.9565,103.0833,118.0833,69.5000,183.2917,105.0455,-99999.0000,153.9167,-99999.0000,-99999.0000,191.6957,105.2083,95.3750,-99999.0000,87.5417,-99999.0000,125.5833,92.6667,90.7917,-99999.0000,31.0000,62.5263,-99999.0000,36.4583,53.6667,88.2083,128.7500,-99999.0000,70.0417,207.6667,146.6667,13.9583,-99999.0000,32.8333,57.5000,132.2083,67.5417,52.2500,153.1667,73.2083
20,2013/01/18 00:00:00,260.3333,264.5652,278.7500,257.0000,273.8889,210.0000,336.8125,340.0833,-99999.0000,393.4211,-99999.0000,-99999.0000,-99999.0000,225.6190,207.7083,-99999.0000,204.5238,-99999.0000,255.6250,169.8696,248.1667,124.2105,100.1667,318.1250,-99999.0000,118.8333,147.0000,238.6667,253.5625,-99999.0000,139.9167,429.7333,320.6250,77.7500,-99999.0000,67.0833,137.9167,293.2000,133.7143,93.5000,349.1905,140.7083
