,Station ID,CN_1361A,CN_1360A,XCNAQ021,CN_1387A,CN_1390A,CN_1388A,CN_1391A,XCNAQ2840,XCNAQ2839,XCNAQ2841,CN_1389A,XCNAQ2845,CN_1379A,XCNAQ2844,XCNAQ2842,CN_1380A,XCNAQ2843,CN_1382A,CN_1381A,XCNAQ443,XCNAQ444,XCNAQ445,CN_1378A,CN_1377A,XCNAQ2822,CN_1372A,XCNAQ2821,XCNAQ2818,CN_1373A,CN_1375A,XCNAQ047,CN_1371A,XCNAQ2820,XCNAQ025,CN_1374A,CN_1376A,XCNAQ2823,XCNAQ048,XCNAQ022,CN_1353A,XCNAQ2809,XCNAQ1179,XCNAQ2805,XCNAQ2806,CN_1347A,XCNAQ2804,CN_1346A,CN_1349A,CN_1352A,CN_1355A,CN_1348A,CN_1345A,XCNAQ2801,CN_1350A,XCNAQ2803,XCNAQ2811,XCNAQ2802,CN_1351A,XCNAQ2800,XCNAQ2807,XCNAQ2808,CN_1354A,XCNAQ2810,CN_1393A,XCNAQ2836,CN_1396A,XCNAQ2838,XCNAQ2835,CN_1395A,CN_1394A,CN_1392A,XCNAQ2837,XCNAQ428,XCNAQ426,XCNAQ543,XCNAQ429,XCNAQ1148,XCNAQ427,XCNAQ1149,XCNAQ434,XCNAQ435,XCNAQ436,XCNAQ247,XCNAQ249,XCNAQ248,XCNAQ245,XCNAQ246,XCNAQ250,XCNAQ438,XCNAQ437,XCNAQ439,CN_1386A,CN_1383A,XCNAQ2827,XCNAQ2828,CN_1385A,XCNAQ2829,XCNAQ2824,XCNAQ2825,XCNAQ2826,CN_1384A,XCNAQ1145,XCNAQ415,XCNAQ416,XCNAQ417,XCNAQ1144,XCNAQ1146,CN_1358A,CN_1359A,XCNAQ1296,CN_1363A,XCNAQ555,XCNAQ549,CN_1365A,XCNAQ553,XCNAQ548,XCNAQ2814,CN_1357A,XCNAQ2813,XCNAQ2812,CN_1360A.1,CN_1356A,CN_1364A,CN_1362A,CN_1366A,XCNAQ1295,CN_1361A.1,XCNAQ418,XCNAQ419,XCNAQ1239,XCNAQ420,XCNAQ1147,XCNAQ252,XCNAQ257,XCNAQ251,XCNAQ253,XCNAQ256,XCNAQ254,XCNAQ425,XCNAQ1246,XCNAQ424,XCNAQ423,CN_1368A,CN_1367A,CN_1369A,CN_1370A,XCNAQ2816,XCNAQ2817,XCNAQ031,XCNAQ034,XCNAQ032,CN_1400A,XCNAQ2831,XCNAQ2834,CN_1399A,CN_1398A,XCNAQ2830,XCNAQ2832,CN_1397A,XCNAQ2833,XCNAQ432,XCNAQ430,XCNAQ431,XCNAQ433,XCNAQ258,XCNAQ036,XCNAQ033,XCNAQ029,XCNAQ442,XCNAQ441,XCNAQ440,XCNAQ263,XCNAQ262,XCNAQ264,XCNAQ261,XCNAQ265,XCNAQ023
0,Latitude,22.7267,22.5908,22.7108,23.0536,23.0127,23.0277,22.9658,22.8088,22.9741,23.0662,23.0600,22.3511,22.5211,22.5047,22.6450,22.5497,22.6275,22.5111,22.4853,22.9394,22.9168,22.9539,23.1886,23.1572,22.9711,23.0395,22.9819,23.0327,23.0467,22.7628,22.9977,23.0048,23.0452,22.8191,22.8054,22.8693,22.9316,22.5862,23.6503,23.2783,23.5472,23.1323,22.6165,23.2872,23.1358,23.1988,23.1050,23.1050,23.1331,23.5538,23.0916,23.1422,23.0769,22.9477,22.9061,23.1932,23.2263,23.3917,23.4501,23.0783,23.0632,23.1569,23.0995,23.0799,23.1713,22.7422,22.7750,22.9868,22.8172,23.1142,23.0528,23.7247,23.5738,23.5352,23.5503,23.5486,23.5353,23.5292,23.5486,24.3289,24.2719,24.2654,23.2536,23.2539,23.4714,23.2775,23.3667,23.3633,22.7898,22.7750,22.7925,22.5931,22.6069,22.7725,22.2550,22.5328,22.7750,22.2466,22.3797,22.3602,22.5811,23.7586,23.7566,23.6570,23.7227,23.7569,23.7232,22.5417,22.5167,22.5171,22.5422,22.7471,22.7622,22.5978,22.6422,22.7263,22.5680,22.5625,22.5432,22.5298,22.5908,22.5500,22.6342,22.5794,22.7500,22.5545,22.7267,23.7106,23.6598,23.6344,23.6936,23.6351,21.2567,21.2228,21.2706,21.1997,21.2028,21.2679,23.6530,23.6588,23.6706,23.6713,22.2293,22.2611,22.4251,22.2281,22.0214,22.0650,23.1077,22.0597,23.4258,23.0786,23.3430,23.6327,23.1617,23.0528,23.1473,23.4215,23.0706,23.3027,21.6668,21.4689,21.6533,21.6828,22.5344,23.3404,22.7280,22.9397,21.8536,21.8649,21.8586,24.7959,24.7695,24.6863,24.8111,24.7790,23.1514
1,Longitude,114.2400,114.2630,113.5486,113.7819,113.7944,113.7461,113.7383,114.0686,114.0091,113.9225,113.7480,113.4377,113.3769,113.5216,113.2627,113.3881,113.4927,113.4075,113.4411,112.0369,112.0392,112.0539,112.8630,112.8850,113.1163,113.1050,112.9933,113.1500,113.1440,113.2570,113.1022,113.1340,112.8466,113.3100,113.2920,112.8440,112.8638,112.5814,113.6247,113.5680,113.5744,113.3208,113.6445,113.8208,113.3170,113.3608,113.2610,113.4330,113.2600,113.5890,113.3480,113.2350,113.3158,113.3520,113.3425,113.3006,113.2383,113.2150,113.3344,113.2227,113.5255,113.2810,113.4717,114.4053,114.2823,114.5317,114.6516,114.7148,114.3244,114.4103,114.4183,114.2577,116.3594,116.3697,116.3728,116.3241,116.3697,116.4094,116.3242,116.1278,116.0797,116.1248,116.4019,116.6092,116.7519,116.7258,116.6794,116.7244,115.3706,115.3653,115.3622,113.0819,113.1040,112.9533,112.7936,113.0240,112.9701,112.7972,112.7019,112.6726,113.0740,114.6944,114.6995,114.6878,114.6949,114.6778,114.6892,113.9870,113.9230,113.9181,114.4940,114.3489,113.8622,114.2970,114.1755,113.7689,114.0898,114.1170,114.0712,114.0117,114.2630,114.0960,114.4100,113.8910,114.0850,114.1063,114.2400,113.0208,113.0563,113.0472,113.0425,113.0682,110.4558,110.3928,110.3539,110.4019,110.4111,110.3316,116.6175,116.6183,116.6447,116.6339,113.4950,113.5740,113.6280,113.2990,113.2154,113.3479,113.3316,112.7550,113.0677,112.4722,112.6991,112.4277,112.5650,112.4710,111.7758,111.5039,112.4270,112.8119,110.9067,111.0286,110.9294,110.8592,113.9163,114.1074,112.9290,114.3806,111.9508,111.9494,111.9786,113.5980,113.5866,113.5970,113.5593,113.6734,113.2806
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,-99999.0000,51.1667,-99999.0000,37.0833,47.2500,46.7500,50.2500,-99999.0000,-99999.0000,-99999.0000,61.7500,-99999.0000,54.3750,-99999.0000,-99999.0000,79.5833,-99999.0000,58.6250,63.5417,-99999.0000,-99999.0000,-99999.0000,56.7083,66.0833,-99999.0000,84.4167,-99999.0000,-99999.0000,60.0417,58.9167,73.2500,56.0833,-99999.0000,81.3333,60.2083,60.5000,-99999.0000,-99999.0000,32.3333,70.2917,-99999.0000,-99999.0000,-99999.0000,-99999.0000,48.9583,-99999.0000,58.8333,50.1250,54.6250,-99999.0000,58.5833,73.4167,-99999.0000,72.9583,-99999.0000,-99999.0000,-99999.0000,53.8333,-99999.0000,-99999.0000,-99999.0000,68.8750,-99999.0000,54.1667,-99999.0000,43.9167,-99999.0000,-99999.0000,51.4167,56.2917,61.3750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,63.3333,51.2500,-99999.0000,-99999.0000,53.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,57.3750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,51.2500,63.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,70.1667,-99999.0000,-99999.0000,51.1667,55.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,64.3333,47.2917,49.7917,52.7083,-99999.0000,-99999.0000,52.2917,61.0000,-99999.0000,42.7500,-99999.0000,-99999.0000,28.3750,25.4583,-99999.0000,-99999.0000,36.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,77.5417,40.6250,63.4583,43.4167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
4,2013/01/02 00:00:00,-99999.0000,75.5000,-99999.0000,42.1667,45.1667,49.0417,47.1250,-99999.0000,-99999.0000,-99999.0000,55.9167,-99999.0000,80.6667,-99999.0000,-99999.0000,98.0417,-99999.0000,85.7500,93.7500,-99999.0000,-99999.0000,-99999.0000,56.9583,63.3333,-99999.0000,88.8750,-99999.0000,-99999.0000,60.3750,71.2500,68.4583,57.6250,-99999.0000,67.0000,70.0833,73.7083,-99999.0000,-99999.0000,37.8333,61.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,55.0417,-99999.0000,68.6250,49.6250,54.6667,-99999.0000,54.4167,74.8750,-99999.0000,70.5000,-99999.0000,-99999.0000,-99999.0000,57.8333,-99999.0000,-99999.0000,-99999.0000,75.7083,-99999.0000,50.5833,-99999.0000,50.3750,-99999.0000,-99999.0000,61.2500,49.7917,56.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,80.3750,64.4583,-99999.0000,-99999.0000,66.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,66.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,77.0833,97.1667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,84.2083,-99999.0000,-99999.0000,75.5000,63.1250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,74.0417,68.0417,74.9167,73.3333,-99999.0000,-99999.0000,54.7500,75.2917,-99999.0000,36.3333,-99999.0000,-99999.0000,35.6250,26.2083,-99999.0000,-99999.0000,41.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,111.8333,37.4583,71.0000,46.9167,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
5,2013/01/03 00:00:00,-99999.0000,51.3333,-99999.0000,35.0417,36.9167,41.5000,41.5417,-99999.0000,-99999.0000,-99999.0000,45.5000,-99999.0000,51.8333,-99999.0000,-99999.0000,62.3750,-99999.0000,66.0833,60.7083,-99999.0000,-99999.0000,-99999.0000,31.2917,36.5833,-99999.0000,54.7500,-99999.0000,-99999.0000,38.6250,49.5833,43.2500,36.3333,-99999.0000,-99999.0000,51.2083,47.5417,-99999.0000,-99999.0000,29.5000,43.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,46.7500,-99999.0000,50.6250,59.5000,43.2917,-99999.0000,50.3750,49.6250,-99999.0000,55.7500,-99999.0000,-99999.0000,-99999.0000,43.2083,-99999.0000,-99999.0000,-99999.0000,51.3750,-99999.0000,39.7083,-99999.0000,36.5000,-99999.0000,-99999.0000,43.3750,41.1250,41.5833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,68.9583,40.5000,-99999.0000,-99999.0000,44.8333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,41.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,45.6667,52.5000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,50.8750,-99999.0000,-99999.0000,51.3333,37.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,50.3333,46.5833,50.2500,46.7083,-99999.0000,-99999.0000,41.9583,43.6250,-99999.0000,13.7917,-99999.0000,-99999.0000,14.9583,13.4583,-99999.0000,-99999.0000,17.0833,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,51.5417,38.4167,39.5714,32.3750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
6,2013/01/04 00:00:00,-99999.0000,37.2000,-99999.0000,33.0667,28.5333,30.2000,32.0667,-99999.0000,-99999.0000,-99999.0000,30.8000,-99999.0000,41.2000,-99999.0000,-99999.0000,54.8667,-99999.0000,51.3333,46.6667,-99999.0000,-99999.0000,-99999.0000,22.9333,30.3333,-99999.0000,40.7333,-99999.0000,-99999.0000,28.9333,38.0667,33.3333,26.2000,-99999.0000,-99999.0000,33.4667,36.4667,-99999.0000,35.2667,18.7333,28.8000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,34.6000,-99999.0000,34.8000,28.0000,30.2667,-99999.0000,30.2667,41.3333,-99999.0000,40.9333,-99999.0000,-99999.0000,-99999.0000,28.4667,-99999.0000,-99999.0000,-99999.0000,35.1333,-99999.0000,35.2000,-99999.0000,25.8667,-99999.0000,-99999.0000,27.7333,35.1333,29.9333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,65.5333,49.0667,-99999.0000,-99999.0000,36.1333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,36.4667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,35.8000,42.4667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,38.6667,-99999.0000,-99999.0000,37.2000,29.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,42.5333,29.2667,30.6000,39.9333,-99999.0000,-99999.0000,24.9333,37.6667,-99999.0000,14.8667,-99999.0000,-99999.0000,12.4667,9.3333,-99999.0000,-99999.0000,15.6667,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,45.0000,24.6667,30.6667,20.1333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
7,2013/01/05 00:00:00,-99999.0000,42.5217,-99999.0000,49.8261,51.0435,51.4783,49.6087,-99999.0000,-99999.0000,-99999.0000,50.6087,-99999.0000,42.7826,-99999.0000,-99999.0000,55.0870,-99999.0000,53.6957,48.3478,-99999.0000,-99999.0000,-99999.0000,24.3478,27.1739,-99999.0000,45.5652,-99999.0000,-99999.0000,34.3913,38.9130,38.7391,31.6522,-99999.0000,36.6087,34.6087,38.0000,-99999.0000,37.8696,18.6957,28.2174,-99999.0000,-99999.0000,-99999.0000,-99999.0000,30.8696,-99999.0000,34.0435,26.5652,28.2174,-99999.0000,30.1739,31.9130,-99999.0000,38.0435,-99999.0000,-99999.0000,-99999.0000,28.0870,-99999.0000,-99999.0000,-99999.0000,35.9130,-99999.0000,24.6522,-99999.0000,25.0870,-99999.0000,-99999.0000,48.2174,35.0435,47.8261,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,33.0000,29.5217,-99999.0000,-99999.0000,56.8696,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,40.7391,48.1304,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,45.6087,-99999.0000,-99999.0000,42.5217,40.3913,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,43.2609,34.8261,39.0435,39.9565,-99999.0000,-99999.0000,29.7391,35.7391,-99999.0000,13.6087,-99999.0000,-99999.0000,15.1739,16.3913,-99999.0000,-99999.0000,18.0435,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,50.4783,19.3913,29.6522,23.4783,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
8,2013/01/06 00:00:00,-99999.0000,51.3333,-99999.0000,48.0833,47.5000,46.2500,49.0833,-99999.0000,-99999.0000,-99999.0000,48.5417,-99999.0000,50.5000,-99999.0000,-99999.0000,64.9167,-99999.0000,58.4583,57.3750,-99999.0000,-99999.0000,-99999.0000,29.0417,32.8333,-99999.0000,51.4167,-99999.0000,-99999.0000,40.7083,46.0000,41.2500,35.2500,-99999.0000,47.7500,48.1250,41.9167,-99999.0000,44.7500,24.7500,41.3333,-99999.0000,-99999.0000,-99999.0000,-99999.0000,40.3333,-99999.0000,44.4167,34.9167,37.9167,-99999.0000,40.7500,42.7500,-99999.0000,49.7083,-99999.0000,-99999.0000,-99999.0000,38.7917,-99999.0000,-99999.0000,-99999.0000,46.6667,-99999.0000,33.3750,-99999.0000,28.7059,-99999.0000,-99999.0000,41.7500,34.8750,74.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,30.2083,34.5417,-99999.0000,-99999.0000,31.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,37.0909,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,49.3750,55.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,50.9167,-99999.0000,-99999.0000,51.3333,41.7500,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,50.5833,42.4583,44.1667,53.0833,-99999.0000,-99999.0000,40.7083,37.6250,-99999.0000,23.5833,-99999.0000,-99999.0000,17.5417,19.7083,-99999.0000,-99999.0000,16.1250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,56.0417,28.5833,30.1667,29.6250,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
9,2013/01/07 00:00:00,-99999.0000,69.7083,-99999.0000,63.4583,59.1667,63.6667,80.5417,-99999.0000,-99999.0000,-99999.0000,64.9583,-99999.0000,84.6250,-99999.0000,-99999.0000,111.7500,-99999.0000,83.7917,89.8333,-99999.0000,-99999.0000,-99999.0000,66.5833,62.3750,-99999.0000,83.8333,-99999.0000,-99999.0000,60.8750,77.5000,63.0833,53.6250,-99999.0000,80.1667,73.0000,64.0000,-99999.0000,51.5000,33.7500,46.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,57.5833,-99999.0000,73.1250,56.2500,61.2083,-99999.0000,58.3333,108.5000,-99999.0000,80.5000,-99999.0000,-99999.0000,-99999.0000,56.7917,-99999.0000,-99999.0000,-99999.0000,70.2917,-99999.0000,50.6250,-99999.0000,43.7917,-99999.0000,-99999.0000,57.7083,42.5417,48.1304,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,50.9167,62.2917,-99999.0000,-99999.0000,73.0417,-99999.0000,-99999.0000,-99999.0000,-99999.0000,67.4583,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,68.5417,75.8750,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,76.2500,-99999.0000,-99999.0000,69.7083,66.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,21.7917,51.6667,72.5417,66.4583,-99999.0000,-99999.0000,58.7500,58.3333,-99999.0000,25.0833,-99999.0000,-99999.0000,29.0833,24.4583,-99999.0000,-99999.0000,27.5556,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,80.0417,38.6250,62.6250,39.2083,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000,-99999.0000
