,Station ID,CB_R,CL_R,CW_A,EN_A,PH1,PH5,PHSUP,KC_A,KT_A,MKaR,ST_A,SP_A,TP_A,MB_A,TK_A,TW_A,TM_A,TC_A,YL_A,XCNAQ259
0,Latitude,22.2819,22.2833,22.2868,22.2845,22.3212,22.2949,22.3379,22.3586,22.3147,22.3240,22.3780,22.3315,22.4524,22.4728,22.3177,22.3733,22.3908,22.2903,22.4467,22.5422
1,Longitude,114.1822,114.1557,114.1429,114.2169,113.9348,113.9206,114.2675,114.1271,114.2233,114.1660,114.1820,114.1567,114.1620,114.3583,114.2594,114.1121,113.9767,113.9411,114.0203,114.1170
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,-99999.0000,31.4167,31.9583,28.0833,-99999.0000,-99999.0000,-99999.0000,34.0833,28.3750,37.0000,30.3750,28.8333,42.5000,31.0833,-99999.0000,32.7083,-99999.0000,35.5000,40.4583,64.8333
4,2013/01/02 00:00:00,-99999.0000,39.8182,38.5833,33.6667,-99999.0000,-99999.0000,-99999.0000,50.1250,34.5417,48.6250,46.1667,37.4737,50.2500,40.6250,-99999.0000,50.6250,-99999.0000,60.2500,60.6250,73.1667
5,2013/01/03 00:00:00,62.2778,54.7500,59.2222,46.7500,-99999.0000,-99999.0000,-99999.0000,59.9583,47.2500,63.9583,52.6250,46.7500,61.4167,42.5417,-99999.0000,49.5000,-99999.0000,52.6250,42.4167,57.5000
6,2013/01/04 00:00:00,49.6316,36.7083,41.9583,28.5417,-99999.0000,-99999.0000,-99999.0000,41.3750,29.0000,42.0000,36.6667,25.7083,42.9583,25.2500,-99999.0000,30.9583,-99999.0000,46.6667,31.6364,44.9333
7,2013/01/05 00:00:00,48.0000,42.7917,52.5000,28.5417,-99999.0000,-99999.0000,-99999.0000,51.0000,29.2083,50.5833,34.6667,32.4583,45.2083,26.5000,-99999.0000,37.4583,-99999.0000,49.4583,38.2917,53.9565
8,2013/01/06 00:00:00,51.8333,44.8333,56.4167,39.1667,-99999.0000,-99999.0000,-99999.0000,53.4167,38.7083,56.8750,52.8750,35.8333,56.2917,35.7917,-99999.0000,39.1250,-99999.0000,54.4583,42.2083,53.7917
9,2013/01/07 00:00:00,66.6250,58.9583,74.0417,42.7917,-99999.0000,-99999.0000,-99999.0000,75.5238,52.8182,80.1000,67.3333,46.4091,77.9583,42.1250,-99999.0000,52.5417,-99999.0000,68.9583,56.3750,76.2917
10,2013/01/08 00:00:00,73.6957,67.3333,82.6667,50.2500,-99999.0000,-99999.0000,-99999.0000,87.9583,51.7500,84.7917,68.7083,59.1500,77.0833,45.5000,-99999.0000,65.2917,-99999.0000,76.8333,64.4167,83.7500
11,2013/01/09 00:00:00,-99999.0000,54.4583,60.3333,42.0000,-99999.0000,-99999.0000,-99999.0000,61.0833,44.1667,61.5833,57.1667,49.2273,55.0833,45.8750,-99999.0000,45.0417,-99999.0000,57.6250,49.0417,62.0000
12,2013/01/10 00:00:00,-99999.0000,54.3750,60.8333,47.7500,-99999.0000,-99999.0000,-99999.0000,67.0000,49.2500,66.5833,63.5000,50.7500,71.2174,57.6522,-99999.0000,52.8333,-99999.0000,57.5417,60.1250,84.0000
13,2013/01/11 00:00:00,88.4118,66.8333,77.8750,51.4167,-99999.0000,-99999.0000,-99999.0000,84.3750,54.1250,76.3750,73.3750,56.5833,69.9583,53.7083,-99999.0000,71.1000,-99999.0000,77.4167,74.4783,87.8333
14,2013/01/12 00:00:00,88.0417,76.1667,92.2083,61.8333,-99999.0000,-99999.0000,-99999.0000,90.6667,67.9583,89.4167,74.7083,66.5417,86.2500,60.6250,-99999.0000,68.5833,-99999.0000,83.2917,75.3333,97.3750
15,2013/01/13 00:00:00,70.1250,58.8333,77.3750,51.2083,-99999.0000,-99999.0000,-99999.0000,74.6250,54.7083,77.4167,66.7917,51.5833,66.4167,51.7917,-99999.0000,53.6250,-99999.0000,60.5000,57.0000,77.5000
16,2013/01/14 00:00:00,53.7619,38.3478,40.7500,29.3182,-99999.0000,-99999.0000,-99999.0000,44.8333,30.9545,39.0000,35.7083,33.2917,35.9583,32.7917,-99999.0000,40.5417,-99999.0000,46.8333,44.1250,56.4583
17,2013/01/15 00:00:00,55.0000,43.2500,43.0000,38.6500,-99999.0000,-99999.0000,-99999.0000,41.8750,37.5833,42.7917,45.1053,35.9167,36.7500,39.3333,-99999.0000,32.6250,-99999.0000,32.4167,42.5000,75.5000
18,2013/01/16 00:00:00,57.8333,46.0000,47.0417,40.0417,-99999.0000,-99999.0000,-99999.0000,49.8333,40.3750,50.6250,48.3333,42.7083,37.6667,41.7083,-99999.0000,44.4583,-99999.0000,48.4091,49.2083,67.8333
19,2013/01/17 00:00:00,62.3333,55.0417,50.6250,46.7500,-99999.0000,-99999.0000,-99999.0000,54.9167,48.3750,50.2500,54.7083,50.3478,49.5000,51.5652,-99999.0000,50.9167,-99999.0000,46.0417,54.0000,71.9167
20,2013/01/18 00:00:00,61.4500,54.0000,55.8333,48.0833,-99999.0000,-99999.0000,-99999.0000,63.7500,49.5000,57.7917,66.4167,52.8750,57.4167,54.9167,-99999.0000,57.5833,-99999.0000,50.7500,60.5652,82.5217
21,2013/01/19 00:00:00,52.6667,41.8750,41.6667,38.5833,-99999.0000,-99999.0000,-99999.0000,42.0833,37.8750,45.5833,44.0417,38.7500,37.7500,41.6250,-99999.0000,38.5417,-99999.0000,32.2083,43.6667,58.6667
22,2013/01/20 00:00:00,37.2917,26.0833,24.1250,24.2083,-99999.0000,-99999.0000,-99999.0000,22.7917,22.0417,28.1250,20.4167,23.1250,15.4167,27.7500,-99999.0000,23.3750,-99999.0000,17.1667,24.2500,38.2083
23,2013/01/21 00:00:00,35.0000,22.8750,20.7083,18.0417,-99999.0000,-99999.0000,-99999.0000,17.4545,16.9583,25.0833,15.7083,20.0833,12.5652,21.6250,-99999.0000,16.6667,-99999.0000,20.0417,22.6250,41.0417
24,2013/01/22 00:00:00,-99999.0000,46.6190,51.8750,28.7500,-99999.0000,-99999.0000,-99999.0000,44.9167,28.1667,47.7917,36.7083,40.4583,32.1304,32.1667,-99999.0000,39.2917,-99999.0000,64.2500,46.7917,66.5833
25,2013/01/23 00:00:00,64.2500,62.1667,68.8750,53.0000,-99999.0000,-99999.0000,-99999.0000,81.4583,53.8333,74.5833,74.4583,59.4167,57.2500,56.1667,-99999.0000,61.5789,-99999.0000,51.2083,61.9583,81.8750
26,2013/01/24 00:00:00,81.7917,76.3750,84.1250,59.4583,-99999.0000,-99999.0000,-99999.0000,94.5417,62.5000,83.5833,76.8333,70.3333,69.3333,51.1667,-99999.0000,72.0833,-99999.0000,77.0417,67.4167,101.3750
27,2013/01/25 00:00:00,72.6250,64.4167,66.2083,57.5417,-99999.0000,-99999.0000,-99999.0000,70.0417,59.7826,68.2083,62.0000,59.4783,58.3333,58.0833,-99999.0000,62.0833,-99999.0000,52.5833,54.6087,72.1667
28,2013/01/26 00:00:00,79.1250,70.0833,77.8333,62.3182,-99999.0000,-99999.0000,-99999.0000,80.6667,63.4167,76.4583,78.3333,67.1667,75.0833,64.9583,-99999.0000,68.3750,-99999.0000,63.8333,69.9167,87.2500
29,2013/01/27 00:00:00,67.1250,58.0000,64.7083,51.4167,-99999.0000,-99999.0000,-99999.0000,63.2917,54.5833,62.8333,59.1250,55.7083,58.5833,52.5833,-99999.0000,56.9583,-99999.0000,52.2917,56.5833,62.6957
30,2013/01/28 00:00:00,52.7143,41.4167,43.7917,35.8750,-99999.0000,-99999.0000,-99999.0000,45.4583,38.2083,43.5500,41.5000,41.1250,42.1667,38.8333,-99999.0000,42.6667,-99999.0000,36.7500,45.6667,54.0000
31,2013/01/29 00:00:00,43.0000,28.5217,25.3158,25.9167,-99999.0000,-99999.0000,-99999.0000,29.0833,26.4167,34.0000,24.1250,28.5000,26.0000,28.0435,-99999.0000,29.2500,-99999.0000,24.9583,30.5417,45.0000
32,2013/01/30 00:00:00,50.0833,39.4583,37.2500,32.8750,-99999.0000,-99999.0000,-99999.0000,39.0417,35.4545,40.6667,34.7917,37.2917,32.7083,38.8333,-99999.0000,38.7917,-99999.0000,29.9167,38.2500,47.4583
33,2013/01/31 00:00:00,56.8750,47.2917,42.8750,41.0000,-99999.0000,-99999.0000,-99999.0000,39.8333,43.4583,45.1250,41.1176,43.4167,37.6250,43.0833,-99999.0000,40.5417,-99999.0000,32.2500,40.5000,-99999.0000
