,Station ID,ANNAN,BANQIAO,CAILIAO,CHANGHUA,CHAOZHOU,CHIAYI,DALI,DALIAO,DATONG,DAYUAN,DONGSHAN,DOULIU,ERLIN,FENGSHAN,FENGYUAN,FUGUEICAPE,FUXING,GUANSHAN,GUANYIN,GUTING,HENGCHUN,HSINCHU,HUALIEN,HUKOU,KEELUNG,LINKOU,LINYUAN,LONGTAN,LUNBEI,MAGONG,MAILIAO,MEINONG,MIAOLI,NANTOU,NANZI,PINGTUNG,PINGZHEN,PULI,PUZI,QIANJIN,QIANZHEN,QIAOTOU,RENWU,SANCHONG,SANYI,SHALU,SHANHUA,SHILIN,SONGSHAN,TAINAN,TAITUNG,TAIXI,TAMSUI,TAOYUAN,TOUFEN,TUCHENG,WANHUA,WANLI,XIANXI,XIAOGANG,XINDIAN,XINGANG,XINYING,XINZHUANG,XITUN,XIZHI,YANGMING,YILAN,YONGHE,ZHONGLI,ZHONGMING,ZHONGSHAN,ZHUDONG,ZHUSHAN,ZUOYING
0,Latitude,23.0482,25.0130,25.0690,24.0660,22.5231,23.4628,24.0996,22.5657,25.0632,25.0603,24.6322,23.7119,23.9252,22.6274,24.2566,25.2941,22.6087,23.0451,25.0355,25.0206,21.9581,24.8056,23.9713,24.9001,25.1292,25.0772,22.4795,24.8639,23.7575,23.5690,23.7535,22.8836,24.5653,23.9130,22.7337,22.6731,24.9528,23.9688,23.4653,22.6326,22.6054,22.7575,22.6891,25.0726,24.3829,24.2256,23.1151,25.1054,25.0500,22.9846,22.7554,23.7175,25.1645,24.9948,24.6970,24.9825,25.0465,25.1797,24.1317,22.5658,24.9772,23.5548,23.3056,25.0380,24.1622,25.0671,25.1827,24.7479,25.0170,24.9533,24.1520,25.0624,24.7406,23.7564,22.6749
1,Longitude,120.2175,121.4587,121.4810,120.5415,120.5612,120.4408,120.6777,120.4251,121.5133,121.2018,121.7929,120.5450,120.4097,120.3581,120.7417,121.5391,120.3120,121.1619,121.0828,121.5296,120.7889,120.9721,121.5998,121.0387,121.7601,121.3769,120.4118,121.2164,120.3487,119.5662,120.2518,120.5305,120.8202,120.6853,120.3283,120.4880,121.2040,120.9679,120.2474,120.2881,120.3076,120.3057,120.3326,121.4938,120.7588,120.5688,120.2971,121.5154,121.5786,120.2026,121.1505,120.2028,121.4492,121.3200,120.8986,121.4519,121.5080,121.6899,120.4691,120.3377,121.5378,120.3455,120.3173,121.4325,120.6169,121.6423,121.5296,121.7464,121.5163,121.2217,120.6411,121.5265,121.0889,120.6773,120.2929
2,Time,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------,--------
3,2013/01/01 00:00:00,45.0833,20.3750,16.8750,55.5000,46.1250,63.2500,56.4583,49.1667,22.5417,20.6250,9.1667,57.6250,46.5000,52.8750,30.8333,-99999.0000,45.0833,14.0833,21.2917,21.3750,15.5417,22.0833,18.0000,22.5909,14.7917,12.9167,34.7500,12.4167,37.7917,19.2500,31.2083,32.2917,23.0000,51.6667,52.7083,50.4167,11.5000,27.5417,43.9167,53.6250,53.6522,56.1818,52.0000,33.6087,26.6957,47.4167,53.0000,13.0833,17.0417,52.0833,7.3333,29.1667,14.8333,17.7917,18.2083,16.3333,17.9583,8.2500,38.7500,57.3913,-99999.0000,-99999.0000,52.5833,20.2083,35.2083,17.6250,3.9583,15.8750,18.6667,19.1667,36.0000,20.5217,13.1250,48.4000,59.8750
4,2013/01/02 00:00:00,27.4583,22.5417,17.2083,26.7826,42.8750,37.0833,27.5238,43.6250,27.6667,15.2174,12.6250,32.1667,29.5833,44.0000,20.2917,-99999.0000,38.1250,9.9583,12.7391,22.1739,14.1667,24.6667,11.9130,20.5417,11.6250,11.7826,30.6667,13.6250,31.9545,18.0000,20.2917,35.9565,14.2500,30.1667,41.0417,43.0000,13.9167,27.4167,25.6522,47.4167,47.4583,41.3478,40.0870,40.5000,16.9167,22.4348,32.7391,17.1250,16.6250,33.7500,10.1304,19.4783,12.9167,15.0870,15.9583,22.5000,18.4783,6.5652,17.6250,50.0435,-99999.0000,26.5000,30.1304,21.1304,21.3750,18.8750,6.3333,19.8750,27.0833,18.5000,21.0417,18.3043,15.5000,36.3333,45.2083
5,2013/01/03 00:00:00,21.3810,10.9130,7.6087,18.1667,47.1250,17.7826,11.2917,43.3333,16.5455,17.0417,4.9167,16.7826,19.0417,43.3182,9.8333,-99999.0000,33.2174,4.9130,14.4167,18.9583,13.9545,16.1304,2.3333,17.4348,8.8750,7.7083,32.8182,9.6957,20.9130,12.8750,11.6667,35.3750,4.6250,15.6667,33.2917,41.3750,11.8750,21.7917,18.8750,41.0000,43.0833,34.3333,35.5833,17.7826,10.0000,14.8696,23.5833,7.5652,11.8750,26.8750,4.4583,16.4167,10.1250,12.8333,8.9583,10.9565,13.9167,7.5000,12.5000,42.0417,-99999.0000,19.0435,20.5417,12.6667,9.6957,10.0000,3.1739,10.7917,12.5000,12.0833,12.1667,11.1250,4.7391,26.2609,38.4167
6,2013/01/04 00:00:00,20.1250,9.0417,6.0833,18.5000,53.1765,25.0000,16.5882,58.0455,12.3750,12.6667,4.7391,26.2917,21.1739,52.6250,19.5217,-99999.0000,41.0833,5.4167,5.7083,14.2917,11.2083,13.5417,5.7500,11.8750,4.0870,5.2500,28.2500,6.8333,25.5000,8.4583,10.0417,43.5833,9.0000,27.0870,44.2174,52.8750,4.3043,33.6087,14.4167,44.8696,49.6522,40.7917,45.0000,16.0000,11.8696,15.0417,25.3750,6.4583,8.5217,27.5217,6.0417,10.7917,5.6522,7.9167,8.1304,7.7083,9.9167,0.8333,8.2174,53.4167,-99999.0000,18.0417,22.5833,9.0833,20.5833,4.6087,2.8696,7.3478,8.1739,9.1304,16.8261,9.0000,8.4583,36.2083,46.3478
7,2013/01/05 00:00:00,23.5000,9.5833,7.9167,24.3182,45.7826,32.2083,22.0000,41.2941,13.7500,11.5833,4.0417,32.2083,22.0000,48.4167,12.0833,-99999.0000,34.4167,3.6250,6.9167,11.8333,6.8333,13.5833,3.2917,11.1250,4.2083,5.7917,34.7917,8.4167,23.5417,9.9583,15.4583,35.4583,10.5000,26.2083,38.2083,43.1667,6.0000,27.9583,18.6364,41.5833,43.7500,39.0000,41.1250,17.8333,10.0833,17.2500,29.4167,10.4583,9.2917,25.5417,4.7500,11.8750,6.0000,10.5000,8.7500,6.2500,8.6250,1.1250,10.2083,48.1667,-99999.0000,21.8333,25.0000,10.5417,18.4583,3.7917,2.9167,8.7083,8.7917,10.8571,15.3333,7.8750,4.1111,33.0000,43.3333
8,2013/01/06 00:00:00,32.3333,8.3333,7.5000,28.2500,50.3750,33.4583,25.8571,49.9091,9.9583,9.5417,3.2917,29.5833,23.5833,57.2083,17.3750,-99999.0000,45.2500,4.3333,9.0417,13.1667,7.6667,14.7500,2.5000,12.5417,5.0833,5.2083,41.2500,6.6250,25.6667,13.6250,15.2500,40.1250,8.7083,28.4167,49.0833,49.3182,4.8750,24.0833,24.7500,53.3333,53.7083,48.1250,47.5833,17.7500,8.7500,17.5417,36.0000,10.7500,9.0417,40.9167,4.9583,12.4167,6.0833,9.5833,11.4167,7.0833,12.3333,1.7500,11.1667,54.9583,-99999.0000,24.7083,32.4167,9.2917,22.7083,5.1667,2.7917,8.5833,8.7917,11.9583,15.5000,8.5833,8.9583,37.9130,51.8750
9,2013/01/07 00:00:00,37.6818,10.4583,10.4783,33.6667,54.5833,41.4167,30.2667,53.4167,17.1667,13.6957,7.2500,39.4583,27.5652,55.6957,18.2917,-99999.0000,44.3913,6.7500,10.0870,13.2917,9.6250,20.4167,6.7917,17.1667,8.2500,8.5417,39.3478,17.1250,28.7826,19.8333,19.3333,46.0000,17.2609,35.2917,46.6250,47.8333,8.6667,31.7083,32.1250,51.1250,52.7083,50.0417,49.2500,23.7083,11.4167,26.2917,39.1667,12.2500,9.7500,42.2917,5.5217,16.7083,8.8750,11.0000,16.0909,9.5217,12.8333,2.8333,17.0417,56.7826,-99999.0000,29.5833,38.1667,14.3750,23.6667,5.2500,2.7500,10.5833,10.3333,15.8333,23.2083,10.0833,16.3333,50.7917,51.5833
