O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,32.175773732718895,37.20412468734209,31.681168380794247
Feb,30.06867977965845,36.4170392219855,30.12594482783152
Mar,34.05200731133746,37.49182244887529,28.654303856585308
Apr,36.75792464718965,32.48917219963444,25.964209224109215
May,34.963811650600626,27.01334375290562,23.813958639371936
Jun,27.109991704465177,20.72129466839412,20.11069248671435
Jul,25.696798038478544,19.29404994500632,19.643567474767664
Aug,33.078168891011245,22.24055859333101,29.190769556177898
Sep,40.88315134635415,35.99290681312954,44.120137541119206
Oct,47.91309978494624,45.90981504723825,40.1564449283229
Nov,38.88359544419134,39.745659165842106,31.274554510815584
Dec,35.50150322580645,38.14440657927552,31.43958423787115
