O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,30.529267204301075,61.70877029888493,67.99500913511348
Feb,28.819361235955057,54.30576847747419,50.39944894601847
Mar,32.5362075255893,34.11275582344334,39.907104537031266
Apr,32.45813666666489,24.077796663407597,30.67946826563617
May,26.355901488833744,19.221944155277548,21.06515109548099
Jun,15.651489840306978,14.008994703492874,16.18157549846417
Jul,18.543326799007442,14.060156154024208,17.742516122201465
Aug,25.29751463174695,20.33311290784555,33.482898528124124
Sep,35.26818487179488,38.816501838174105,60.55202407311597
Oct,45.951282382134,54.0641718324875,60.90639355965339
Nov,36.36718364116095,55.03425463924529,62.471631578490204
Dec,31.8123217741118,54.507037329174594,72.99614199382081
