O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,35.47128238227247,65.40244824575517,84.9916051967778
Feb,33.45434473377581,55.424865951191165,63.78459372005681
Mar,37.11707247311826,44.387953513802316,44.53794878218105
Apr,37.20634804775658,25.3979089615815,25.9449517207246
May,32.216372688172044,18.421732780390755,19.46533271195136
Jun,20.558955362603076,12.797934795234072,14.052755473800183
Jul,19.57154365591398,9.987123092369146,12.789136701120965
Aug,26.060457526881716,14.387886616651274,27.09610807693703
Sep,37.59240088888889,34.52819175955225,66.94107002027063
Oct,49.65377802584432,64.49828828648103,95.32485885501877
Nov,40.853515717527955,80.10219019613862,124.76169491667389
Dec,37.94907511520737,100.86203801724189,120.1039629406333
