O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,35.5425,190.83283499700892,210.33694218625135
Feb,34.755901663451716,169.8717386865475,133.3156764323715
Mar,36.86060794002956,97.04153520626907,104.11264635631974
Apr,39.8706527819511,64.4636749717289,83.85354344884121
May,37.6958104750649,55.64272441354743,66.01123103040138
Jun,29.195356541716748,44.969465335024594,55.151388243441225
Jul,24.777642679892505,48.09692252217394,60.373634048840984
Aug,35.71121224241035,67.67812106876016,110.72275943131409
Sep,54.022466666666666,116.38482108369625,173.39024241733316
Oct,74.54181141439206,133.8947945185166,146.00148110246312
Nov,56.74627968337731,133.4124531508561,158.23086765911964
Dec,46.48227688172043,150.639737407694,234.2937835201999
