O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,44.169094110023025,87.36065710360496,132.4160508649733
Feb,42.645895641646455,90.16653275604132,119.45686649349709
Mar,45.95896451612903,78.28296623083726,93.04876090316137
Apr,47.76019556721933,66.2430863507144,71.80689691626479
May,41.55584654499342,63.754883007260474,64.18193370083723
Jun,28.769270022664383,51.870464623836476,51.61387520448181
Jul,29.93745798905566,50.91287836496211,55.94722164362206
Aug,38.96096771357891,76.16009664113574,96.05399087781137
Sep,52.33898961787815,123.01734288951562,106.27059720848113
Oct,66.23881835350468,94.83991495834707,87.59520640350175
Nov,52.501052329875144,72.67917692341547,91.82551220022468
Dec,47.14920057097385,78.26911934569006,122.76105841988952
