O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,29.128658986174397,36.38596680706141,49.671995964005774
Feb,27.425017675544094,35.32303426449752,45.553458067352096
Mar,30.415842580644988,34.85160654505035,37.30654716312788
Apr,33.4943297431772,25.387701768950336,27.024880404583044
May,29.940202271739484,22.467951246082276,24.24761304661315
Jun,22.181405111111115,17.859130514348013,19.565557154712145
Jul,22.653061505376343,15.521161094842723,19.607418539176514
Aug,29.934171612903224,20.960882576950326,35.10728385764969
Sep,40.004537666666664,33.090264047446205,55.48635311131983
Oct,49.43274000000001,41.57097006185265,56.50739476134278
Nov,36.269861798832565,43.1363140030583,59.10117674550665
Dec,32.211631797234375,45.68407096512944,57.828104820862585
