O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,31.223944279365103,58.60207421116722,69.07369805798555
Feb,28.06122556085809,54.48612498036742,55.0886557094448
Mar,32.93759888337466,37.696608787638404,48.52560282370791
Apr,34.53035498087565,28.99588459758,40.220716341071515
May,30.942675434243174,25.230420897447406,30.06666257086694
Jun,20.17792,19.663423818218348,23.627480803461317
Jul,22.79840322580645,19.923906361550348,25.135549532789685
Aug,30.499567990074443,27.3717757503534,44.134282735322586
Sep,41.640155332532046,47.689729885853076,70.74465233206287
Oct,51.86106680172147,58.613683689893435,61.81267610023091
Nov,40.014014227022535,54.14273009694846,58.478625372823785
Dec,34.98189516129032,51.54113345562964,70.80273467941034
