O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,37.26923133640553,35.39574349789692,30.55602785405191
Feb,36.391015496368034,37.06579035147565,29.236910549946312
Mar,40.66765569892473,39.15319146594365,28.763881312827934
Apr,45.69587351288516,33.93522540143677,27.210070075359436
May,44.123432836684344,29.13267198503873,25.197393525669526
Jun,34.266098,22.760821291566167,21.811042902334837
Jul,34.47137075268817,21.359375579851925,22.028531174847956
Aug,46.188175483870964,24.84097561931796,32.21787702772766
Sep,60.72716706770833,37.90900812754774,45.19788205311287
Oct,73.06775051894321,45.098200267131375,38.04673482836324
Nov,53.714846241457856,37.20062027032198,28.286244744711194
Dec,45.025743548387105,34.549757856344954,28.863476120630892
