O3 Concentrations (ppb),2013-2017,2046-2050,2096-2100
Jan,35.940585215053765,44.76629689935005,95.35154381426493
Feb,33.56463872893258,50.628885386237734,96.44881032638148
Mar,36.02572729528536,46.54143081244564,81.9090264933587
Apr,40.43171076923077,41.63757872582083,63.84636762964428
May,39.227471169354814,39.11689577104316,55.43362610486802
Jun,28.37502700420672,30.220409491174074,41.908224441794786
Jul,32.94050870069523,27.93986434381273,44.11445293912424
Aug,44.47131757424781,45.666363115608455,79.70105884972138
Sep,55.42779128205128,87.24693126965896,97.01787063410406
Oct,66.24298046736749,68.97465837368755,77.01830987601019
Nov,50.31769496380646,46.09785555458875,71.03024845480124
Dec,42.27148473392605,43.09242880229639,84.70350501678591
