Tap Mun,NO2,SO2
2005/01/01 00:00:00,8.5106,8.7786
2005/01/01 01:00:00,10.1064,9.9237
2005/01/01 02:00:00,9.0426,9.1603
2005/01/01 03:00:00,8.5106,9.542
2005/01/01 04:00:00,7.9787,10.3053
2005/01/01 05:00:00,9.5745,10.687
2005/01/01 06:00:00,7.9787,9.1603
2005/01/01 07:00:00,9.0426,9.9237
2005/01/01 08:00:00,7.4468,8.7786
2005/01/01 09:00:00,3.7234,6.1069
2005/01/01 10:00:00,4.2553,6.1069
2005/01/01 11:00:00,4.2553,6.4886
2005/01/01 12:00:00,7.4468,8.7786
2005/01/01 13:00:00,6.9149,8.7786
2005/01/01 14:00:00,5.8511,7.2519
2005/01/01 15:00:00,5.8511,6.8702
2005/01/01 16:00:00,6.9149,7.2519
2005/01/01 17:00:00,10.6383,9.9237
2005/01/01 18:00:00,7.9787,7.2519
2005/01/01 19:00:00,9.5745,8.397
2005/01/01 20:00:00,11.1702,9.542
2005/01/01 21:00:00,11.1702,9.1603
2005/01/01 22:00:00,17.0213,11.8321
2005/01/01 23:00:00,20.7447,14.1221
2005/01/02 00:00:00,18.0851,12.9771
2005/01/02 01:00:00,18.0851,12.5954
2005/01/02 02:00:00,19.14895,16.60305
2005/01/02 03:00:00,19.680875,18.606875000000002
2005/01/02 04:00:00,19.9468375,19.608787500000002
2005/01/02 05:00:00,20.07981875,20.10974375
2005/01/02 06:00:00,20.146309375,20.360221875
2005/01/02 07:00:00,20.1795546875,20.4854609375
2005/01/02 08:00:00,20.19617734375,20.54808046875
2005/01/02 09:00:00,20.204488671875,20.579390234375
2005/01/02 10:00:00,20.2086443359375,20.595045117187503
2005/01/02 11:00:00,20.21072216796875,20.602872558593752
2005/01/02 12:00:00,20.211761083984378,20.606786279296877
2005/01/02 13:00:00,20.21228054199219,20.60874313964844
2005/01/02 14:00:00,20.212540270996094,20.60972156982422
2005/01/02 15:00:00,20.212670135498048,20.610210784912113
2005/01/02 16:00:00,20.212735067749023,20.610455392456057
2005/01/02 17:00:00,20.212767533874512,20.610577696228027
2005/01/02 18:00:00,20.212783766937257,20.610638848114014
2005/01/02 19:00:00,20.21279188346863,20.610669424057008
2005/01/02 20:00:00,20.212795941734313,20.610684712028505
2005/01/02 21:00:00,20.212797970867157,20.610692356014255
2005/01/02 22:00:00,20.21279898543358,20.610696178007128
2005/01/02 23:00:00,20.21279949271679,20.610698089003563
2005/01/03 00:00:00,20.212799746358396,20.610699044501782
2005/01/03 01:00:00,20.2127998731792,20.61069952225089
2005/01/03 02:00:00,20.2127999365896,20.610699761125446
2005/01/03 03:00:00,20.212799968294803,20.610699880562724
2005/01/03 04:00:00,20.212799984147402,20.610699940281364
2005/01/03 05:00:00,20.212799992073702,20.610699970140683
2005/01/03 06:00:00,20.21279999603685,20.61069998507034
2005/01/03 07:00:00,20.212799998018426,20.61069999253517
2005/01/03 08:00:00,20.212799999009214,20.610699996267584
2005/01/03 09:00:00,20.212799999504607,20.610699998133793
2005/01/03 10:00:00,20.212799999752306,20.610699999066895
2005/01/03 11:00:00,20.212799999876154,20.61069999953345
2005/01/03 12:00:00,20.2128,20.6107
2005/01/03 13:00:00,22.87235,21.75575
2005/01/03 14:00:00,25.5319,22.9008
2005/01/03 15:00:00,32.9787,23.6641
2005/01/03 16:00:00,37.234,35.4962
2005/01/03 17:00:00,40.9574,21.374
2005/01/03 18:00:00,32.4468,13.3588
2005/01/03 19:00:00,17.5532,9.1603
2005/01/03 20:00:00,17.0213,8.0153
2005/01/03 21:00:00,43.617,16.0305
