,Pressure,RH,Temperature,Wind Speed,Wind Direction,ln(O3),O3_BL,Y hat,Error,Long Term,delta,Season,Short
2005/02/12,102106.3979662,86.16831358399,18.49942597072,2.117840009840,290.6,3.040629154436,2.391937196401,2.994210019066,-0.60227282266,0,0,0,0.648691958034
2005/02/13,102110.5900200,86.22145229406,18.46710812251,2.118885563163,188.8,3.064726478373,2.380253981698,2.994408364134,-0.61415438243,0,0,0,0.684472496675
2005/02/14,102115.2253064,86.25614006314,18.43704128910,2.119906515232,88.3,2.937976033993,2.370998299167,2.995503094177,-0.62450479500,0,0,0,0.566977734825
2005/02/15,102120.1927098,86.27516503341,18.41021772110,2.120927467300,349.6,2.853413816077,2.364242054106,2.997422819393,-0.63318076528,0,0,0,0.489171761971
2005/02/16,102125.4217065,86.27984213784,18.38686703021,2.121956619787,327.7,1.524272104061,2.359962760604,3.000100438206,-0.64013767760,0,0,0,-0.83569065654
2005/02/17,102130.8499733,86.26939520275,18.36677600557,2.123092377711,359.4,0.425659815393,2.358179122400,3.003490893060,-0.64531177065,0,0,0,-1.93251930700
2005/02/18,102136.3762351,86.24382422813,18.34989954487,2.124379843372,267.7,1.406489068405,2.358892594841,3.007509117049,-0.64861652220,0,0,0,-0.95240352643
2005/02/19,102141.8065521,86.20681940218,18.33658206568,2.125814916560,204.9,2.371579297813,2.362017780680,3.011945369021,-0.64992758834,0,0,0,0.009561517133
2005/02/20,102146.9502644,86.16112786502,18.32737299602,2.127356595186,178.8,2.505109523772,2.367475706375,3.016622934310,-0.64914722793,0,0,0,0.137633817396
2005/02/21,102151.6728853,86.11043980483,18.32266595596,2.128926975275,202.1,2.099648498988,2.375156817177,3.021379557958,-0.64622274078,0,0,0,-0.27550831818
2005/02/22,102155.8509984,86.05701033662,18.32245684529,2.130550658083,303.0,2.160272400219,2.384911370948,3.026069265842,-0.64115789489,0,0,0,-0.22463897072
2005/02/23,102159.4198204,86.00260255033,18.32731969330,2.132178441100,355.1,0.020194707285,2.396725992721,3.030641879292,-0.63391588657,0,0,0,-2.37653128543
2005/02/24,102162.3498298,85.94836450448,18.33764812005,2.133695518471,349.1,1.272957675780,2.410490923399,3.035069657648,-0.62457873424,0,0,0,-1.13753324761
2005/02/25,102164.6623477,85.89478822419,18.35379064332,2.135265898560,352.3,2.322789600309,2.426115499651,3.039401577352,-0.61328607770,0,0,0,-0.10332589934
2005/02/26,102166.4492189,85.84183270736,18.37626798966,2.136955184714,120.4,2.792789554555,2.443821851294,3.043760767482,-0.59993891618,0,0,0,0.348967703260
2005/02/27,102167.7309442,85.78720183689,18.40511296076,2.138513264176,179.3,2.761041053821,2.463559251710,3.048189323382,-0.58463007167,0,0,0,0.297481802111
2005/02/28,102168.4542211,85.73216667760,18.44236746074,2.139968838410,347.0,1.524272104061,2.485301580567,3.052772771372,-0.56747119080,0,0,0,-0.96102947650
2005/03/01,102168.6104391,85.68074543441,18.48924515150,2.141305506580,198.8,2.271496821710,2.509055495033,3.057515663978,-0.54846016894,0,0,0,-0.23755867332
2005/03/02,102168.1909877,85.63384015334,18.54588954036,2.142625773914,325.9,2.585151603240,2.534771622354,3.062413051792,-0.52764142943,0,0,0,0.050379980886
