,Pressure,RH,Temperature,Wind Speed,Wind Direction,ln(O3),O3_BL,Y hat,Error,Long Term,delta,Season,Short
2003/02/12,102101.6618147,90.09680593710,20.71521587600,6.630650403870,360.0,3.690902406565,3.702934125836,3.375574321392,0.327359804443,0,0,0,-0.01203171927
2003/02/13,102091.0799950,90.30234941982,20.76151543728,6.651640854483,360.0,3.493138255360,3.697921683169,3.365102107510,0.332819575659,0,0,0,-0.20478342780
2003/02/14,102080.6039608,90.50092254704,20.80531387100,6.674385267948,360.0,3.492043064961,3.692760012309,3.354684997513,0.338075014795,0,0,0,-0.20071694734
2003/02/15,102070.2833244,90.69195128951,20.84611095165,6.698598913444,160.0,3.685047120093,3.687511843302,3.344366655588,0.343145187714,0,0,0,-0.00246472320
2003/02/16,102060.1722087,90.87523063676,20.88402558530,6.724190672024,230.0,3.240598176940,3.682203825402,3.334178772591,0.348025052810,0,0,0,-0.44160564846
2003/02/17,102050.3226864,91.04989954487,20.91963590143,6.751058046660,360.0,3.568292491124,3.676840490510,3.324189226408,0.352651264102,0,0,0,-0.10854799938
2003/02/18,102040.8343925,91.21427692812,20.95246217557,6.779246598876,360.0,4.149779269110,3.671325274137,3.314465442995,0.356859831141,0,0,0,0.478453994972
2003/02/19,102031.8122924,91.36733773422,20.98196318012,6.807708503833,360.0,3.787185142898,3.665487767181,3.305145418907,0.360342348273,0,0,0,0.121697375716
2003/02/20,102023.3802123,91.50735987535,21.00801590881,6.835737615318,160.0,4.260875433109,3.659389363598,3.296378415457,0.363010948140,0,0,0,0.601486069511
2003/02/21,102015.6222067,91.63135019886,21.03077616958,6.863015027266,130.0,4.160553562332,3.653201214904,3.288323214163,0.364878000740,0,0,0,0.507352347427
2003/02/22,102008.5743572,91.73906269219,21.05105170363,6.888959875353,360.0,3.864763668943,3.647018198139,3.281069319938,0.365948878201,0,0,0,0.217745470803
2003/02/23,102002.1718807,91.83250645782,21.06889581368,6.913093812784,320.0,3.428326049050,3.640943916219,3.274572027736,0.366371888482,0,0,0,-0.21261786716
2003/02/24,101996.2753700,91.91479765468,21.08507113862,6.935040985690,340.0,3.570799499381,3.634962516727,3.268739211194,0.366223305532,0,0,0,-0.06416301734
2003/02/25,101990.7552585,91.98778137685,21.10025831317,6.954493882488,130.0,4.013658592144,3.629060996579,3.263518236831,0.365542759747,0,0,0,0.384597595564
2003/02/26,101985.5033006,92.05404075607,21.11496986346,6.971315830907,180.0,4.010926720742,3.623190884659,3.258816237064,0.364374647594,0,0,0,0.387735836083
2003/02/27,101980.4374923,92.11529788019,21.13005453278,6.985928250440,360.0,3.931884454523,3.617335373517,3.254538391988,0.362796981529,0,0,0,0.314549081006
2003/02/28,101975.5020706,92.17294682028,21.14495059248,6.998593107548,140.0,3.897112392692,3.611428218860,3.250583670678,0.360844548182,0,0,0,0.285684173831
2003/03/01,101970.6420927,92.22702857845,21.15924392143,7.009458464881,360.0,3.648916465542,3.605370546304,3.246913131021,0.358457415282,0,0,0,0.043545919237
2003/03/02,101965.8313173,92.27787117142,21.17281151338,7.018421817212,160.0,3.612430281950,3.599066075260,3.243514160407,0.355551914852,0,0,0,0.013364206689
2003/03/03,101961.0402230,92.32588462011,21.18518184427,7.025357878551,160.0,3.624847471330,3.592524193174,3.240362977597,0.352161215576,0,0,0,0.032323278156
2003/03/04,101956.2327278,92.37135593915,21.19622780761,7.030118582147,160.0,3.480655302996,3.585691658245,3.237449817168,0.348241841076,0,0,0,-0.10503635524
2003/03/05,101951.3961212,92.41453114108,21.20566648899,7.032954495879,340.0,3.084566987254,3.578589421123,3.234733570409,0.343855850713,0,0,0,-0.49402243386
2003/03/06,101946.4959612,92.45561523637,21.21471975070,7.033637820328,360.0,2.351089502053,3.571471102558,3.232251080667,0.339220021890,0,0,0,-1.22038160050
2003/03/07,101941.5023166,92.49444421665,21.22506047808,7.031804100209,360.0,3.402130279710,3.564716238473,3.230077371073,0.334638867400,0,0,0,-0.16258595876
2003/03/08,101936.3754151,92.53126409446,21.23699208659,7.027738062241,360.0,3.405089796377,3.558357595329,3.228177547287,0.330180048042,0,0,0,-0.15326779895
