,Pressure,RH,Temperature,Wind Speed,Wind Direction,ln(O3),O3_BL,Y hat,Error,Long Term,delta,Season,Short
2003/02/12,102110.8237320,89.93228544015,20.79980729017,4.121181680265,360.0,3.891403884892,3.706232049146,3.606775383171,0.099456665975,0,0,0,0.185171835745
2003/02/13,102100.1689286,89.93922690557,20.86057238919,4.132399852392,360.0,3.352406217492,3.702394964566,3.602271347846,0.100123616720,0,0,0,-0.34998874707
2003/02/14,102089.6195005,89.94381520767,20.91914797654,4.143679527655,360.0,3.670860584974,3.698556080276,3.597730623366,0.100825456909,0,0,0,-0.02769549530
2003/02/15,102079.2262905,89.94523982123,20.97523063676,4.155102710238,360.0,3.644543480293,3.694732369921,3.593147418838,0.101584951083,0,0,0,-0.05018888962
2003/02/16,102069.0471114,89.94316617737,21.02839804830,4.166788306203,220.0,2.160272400219,3.690954688953,3.588498913555,0.102455775398,0,0,0,-1.53068228873
2003/02/17,102059.1377260,89.93816681700,21.07922834064,4.178621509696,290.0,3.670860584974,3.687194822892,3.583851310602,0.103343512289,0,0,0,-0.01633423791
2003/02/18,102049.5944893,89.92855062528,21.12697117552,4.190696625527,360.0,3.683763891908,3.683351639198,3.579204528567,0.104147110631,0,0,0,0.000412252709
2003/02/19,102040.4994054,89.91408231169,21.17104842346,4.202661035712,360.0,3.922175296084,3.679332772645,3.574660547800,0.104672224845,0,0,0,0.242842523438
2003/02/20,102031.9594899,89.89341239083,21.21173889868,4.214350731887,120.0,4.139239849609,3.675100949076,3.570326740090,0.104774208986,0,0,0,0.464138900532
2003/02/21,102024.0686375,89.86471427282,21.24920660953,4.225761613842,210.0,4.171242329751,3.670832010012,3.566264810111,0.104567199901,0,0,0,0.500410319739
2003/02/22,102016.8682602,89.83030073393,21.28397638279,4.236823978022,360.0,3.870350649453,3.666653742458,3.562502554011,0.104151188446,0,0,0,0.203696906994
2003/02/23,102010.2943950,89.79222274385,21.31606461929,4.247414818155,270.0,3.064726478373,3.662660335396,3.559026797712,0.103633537684,0,0,0,-0.59793385702
2003/02/24,102004.2006642,89.75283014063,21.34622165730,4.257402927549,230.0,3.971445964360,3.658811224370,3.555821849188,0.102989375182,0,0,0,0.312634739990
2003/02/25,101998.4644716,89.71320542047,21.37533724219,4.266759604739,230.0,3.990494017095,3.655080417237,3.552873341091,0.102207076145,0,0,0,0.335413599858
2003/02/26,101992.9812620,89.67569554717,21.40401820492,4.275255238017,360.0,3.971445964360,3.651415128814,3.550200879954,0.101214248860,0,0,0,0.320030835545
2003/02/27,101987.6731313,89.64186291360,21.43281807372,4.282791422362,230.0,3.999883688322,3.647825265465,3.547806089731,0.100019175733,0,0,0,0.352058422856
2003/02/28,101982.4814465,89.61120198450,21.46123662306,4.289372257985,300.0,3.804393250326,3.644244550828,3.545652930620,0.098591620207,0,0,0,0.160148699498
2003/03/01,101977.3475747,89.58420699905,21.48925335192,4.294919840911,360.0,3.603721812440,3.640520338909,3.543734265119,0.096786073789,0,0,0,-0.03679852646
2003/03/02,101972.2440444,89.56051518307,21.51683545860,4.299581778670,230.0,3.781403939289,3.636578040813,3.542004359472,0.094573681340,0,0,0,0.144825898476
2003/03/03,101967.1437943,89.53973361761,21.54341301406,4.303263766452,360.0,3.470191586481,3.632448171814,3.540460343235,0.091987828578,0,0,0,-0.16225658533
2003/03/04,101962.0045922,89.52141957439,21.56877690762,4.305867399237,240.0,3.516711177874,3.628016713176,3.539109478649,0.088907234526,0,0,0,-0.11130553530
2003/03/05,101956.8149575,89.50527729714,21.59260732297,4.307491082045,110.0,3.589735685488,3.623272749603,3.537912793334,0.085359956268,0,0,0,-0.03353706411
2003/03/06,101951.5429086,89.49059657222,21.61588831030,4.308220919266,360.0,2.322789600309,3.618201443565,3.536882290426,0.081319153139,0,0,0,-1.29541184325
2003/03/07,101946.1572840,89.47819813440,21.64007544384,4.308032309647,360.0,3.155697444985,3.612942196661,3.536060441585,0.076881755075,0,0,0,-0.45724475167
2003/03/08,101940.6338923,89.46755793185,21.66541473615,4.307445979744,360.0,3.316038832580,3.607571553390,3.535317815153,0.072253738237,0,0,0,-0.29153272080
2003/03/09,101934.9370617,89.45914600024,21.69222600352,4.306470129976,360.0,3.981015343581,3.602055119236,3.534646542854,0.067408576382,0,0,0,0.378960224344
2003/03/10,101929.0130796,89.45417334864,21.72189101644,4.305207265570,360.0,3.757871325600,3.596357174371,3.534040527252,0.062316647118,0,0,0,0.161514151229
2003/03/11,101922.8082332,89.45289075402,21.75534872278,4.303821394891,360.0,4.131076604277,3.590476753979,3.533471116105,0.057005637873,0,0,0,0.540599850298
2003/03/12,101916.2630694,89.45471597031,21.79295584074,4.302566730903,320.0,3.961784126637,3.584405422310,3.532870706283,0.051534716027,0,0,0,0.377378704326
2003/03/13,101909.3078847,89.46011570790,21.83459346426,4.301586780925,360.0,4.045555148052,3.578133029979,3.532166797084,0.045966232895,0,0,0,0.467422118072
2003/03/14,101901.9053671,89.46896343433,21.88061421132,4.300865144122,360.0,3.870350649453,3.571804810576,3.531365266497,0.040439544079,0,0,0,0.298545838876
2003/03/15,101894.0305055,89.48104119890,21.93212923859,4.300360818401,360.0,3.859655450018,3.565441404940,3.530513299000,0.034928105940,0,0,0,0.294214045077
2003/03/16,101885.6861699,89.49718807249,21.98944606174,4.300114805855,330.0,3.421398622311,3.559033218458,3.529603805527,0.029429412931,0,0,0,-0.13763459614
2003/03/17,101876.8325884,89.51753250235,22.05333552011,4.300028701463,360.0,3.064726478373,3.552550944072,3.528676580966,0.023874363105,0,0,0,-0.48782446569
2003/03/18,101867.4455697,89.54188828570,22.12342039444,4.300180409200,200.0,3.709081511431,3.546025942169,3.527689969181,0.018335972987,0,0,0,0.163055569261
2003/03/19,101857.5070728,89.57152725408,22.19984829226,4.300282914428,360.0,3.733773944753,3.539693328333,3.526704009979,0.012989318354,0,0,0,0.194080616419
2003/03/20,101847.0195579,89.60653204723,22.28261101316,4.300598630530,360.0,2.545931191625,3.533742294158,3.525649790416,0.008092503741,0,0,0,-0.98781110253
2003/03/21,101835.9629341,89.64666359424,22.37104842346,4.301262864406,360.0,3.352406217492,3.528421642427,3.524461755841,0.003959886585,0,0,0,-0.17601542493
2003/03/22,101824.3105498,89.69259694944,22.46472590102,4.302283816474,360.0,4.261529920319,3.523642229965,3.523103762215,0.000538467750,0,0,0,0.737887690354
2003/03/23,101812.0308335,89.74387521013,22.56337283201,4.303788593218,360.0,4.093494200767,3.519328188693,3.521525775893,-0.00219758719,0,0,0,0.574166012073
2003/03/24,101799.1610972,89.79848788388,22.66706302021,4.305818196728,360.0,3.015936780869,3.515321645545,3.519755809745,-0.00443416420,0,0,0,-0.49938486467
2003/03/25,101785.7960555,89.85439485833,22.77542744679,4.308532535159,360.0,3.932225552745,3.511534036205,3.517794718904,-0.00626068269,0,0,0,0.420691516539
2003/03/26,101772.0091024,89.91006933863,22.88789618270,4.312005412276,355.0,3.999883688322,3.507908763560,3.515644644636,-0.00773588107,0,0,0,0.491974924761
2003/03/27,101757.8646110,89.96371695436,23.00460043462,4.316273729960,230.0,2.990619224167,3.504408600377,3.513344275140,-0.00893567476,0,0,0,-0.51378937621
2003/03/28,101743.4396654,90.01367593587,23.12561400631,4.321316987166,270.0,3.912023005428,3.501027394698,3.510948190649,-0.00992079595,0,0,0,0.410995610730
2003/03/29,101728.8343105,90.05926327442,23.25131411701,4.327167985567,150.0,3.952028026316,3.497901189967,3.508506218113,-0.01060502814,0,0,0,0.454126836348
