,Pressure,RH,Temperature,Wind Speed,Wind Direction,ln(O3),O3_BL,Y hat,Error,Long Term,delta,Season,Short
2003/02/12,102043.4749272,86.76144834146,21.57126163434,2.463245725532,117.0,2.792789554555,3.123064259988,3.262081800844,-0.13901754085,0,0,0,-0.33027470543
2003/02/13,102033.2416253,86.94685836237,21.63375292139,2.469174627906,130.0,2.371579297813,3.121449756829,3.256061172478,-0.13461141564,0,0,0,-0.74987045901
2003/02/14,102023.1177990,87.12230674894,21.69457542334,2.475247037598,135.0,3.278298783800,3.120107886699,3.250278533626,-0.13017064692,0,0,0,0.158190897101
2003/02/15,102013.1477305,87.28677047439,21.75314691049,2.481495756283,127.0,2.990619224167,3.119081088093,3.244753753917,-0.12567266582,0,0,0,-0.12846186392
2003/02/16,102003.3875927,87.43976553364,21.80940587969,2.487826479150,286.0,2.371579297813,3.118355162944,3.239515870356,-0.12116070741,0,0,0,-0.74677586513
2003/02/17,101993.8931485,87.58181119357,21.86357374226,2.494124400344,269.0,2.160272400219,3.117899000904,3.234580946880,-0.11668194597,0,0,0,-0.95762660068
2003/02/18,101984.7578826,87.71153396203,21.91500266513,2.500418221329,133.0,3.111246069766,3.117617571291,3.229998459889,-0.11238088859,0,0,0,-0.00637150152
2003/02/19,101976.0691295,87.82804759112,21.96315552093,2.506343023494,281.0,2.659259036932,3.117461071374,3.225774190499,-0.10831311912,0,0,0,-0.45820203444
2003/02/20,101967.9244741,87.92951368649,22.00848743285,2.511779900774,119.0,3.531748922267,3.117371067055,3.222019452937,-0.10464838588,0,0,0,0.414377855212
2003/02/21,101960.4206814,88.01248687113,22.05125261388,2.516753454426,125.0,3.932225552745,3.117477351396,3.218888908317,-0.10141155692,0,0,0,0.814748201349
2003/02/22,101953.6032637,88.07813903399,22.09182828324,2.521357989257,280.0,3.278298783800,3.117864921853,3.216402841142,-0.09853791928,0,0,0,0.160433861946
2003/02/23,101947.4115379,88.12946361474,22.13012833654,2.525597605477,292.0,3.239078372185,3.118635292707,3.214447980651,-0.09581268794,0,0,0,0.120443079478
