,Pressure,RH,Temperature,Wind Speed,Wind Direction,ln(O3),O3_BL,Y hat,Error,Long Term,delta,Season,Short
2005/02/12,102106.3979662,86.16831358399,18.49942597072,2.227623108778,348.3,3.334387839262,2.714815718931,3.039507655368,-0.32469193643,0,0,0,0.619572120330
2005/02/13,102110.5900200,86.22145229406,18.46710812251,2.232822173930,184.4,3.454191395672,2.715491923444,3.039094894622,-0.32360297117,0,0,0,0.738699472227
2005/02/14,102115.2253064,86.25614006314,18.43704128910,2.238008938455,183.1,3.334387839262,2.717388331183,3.039555999549,-0.32216766836,0,0,0,0.616999508079
2005/02/15,102120.1927098,86.27516503341,18.41021772110,2.243158801098,278.0,3.111246069766,2.720450892657,3.040837880038,-0.32038698738,0,0,0,0.390795177109
2005/02/16,102125.4217065,86.27984213784,18.38686703021,2.248255361023,301.6,1.524272104061,2.724578304353,3.042881416407,-0.31830311205,0,0,0,-1.20030620029
2005/02/17,102130.8499733,86.26939520275,18.36677600557,2.253282217393,302.0,1.406489068405,2.729766718124,3.045635558949,-0.31586884082,0,0,0,-1.32327764971
2005/02/18,102136.3762351,86.24382422813,18.34989954487,2.258214768953,356.2,2.099648498988,2.735993829016,3.049019196787,-0.31302536777,0,0,0,-0.63634533002
2005/02/19,102141.8065521,86.20681940218,18.33658206568,2.263036614867,358.6,3.198256704332,2.743212909439,3.052844912504,-0.30963200306,0,0,0,0.455043794892
2005/02/20,102146.9502644,86.16112786502,18.32737299602,2.267686251998,348.6,3.258880845756,2.751204184446,3.056961511896,-0.30575732744,0,0,0,0.507676661309
2005/02/21,102151.6728853,86.11043980483,18.32266595596,2.272081676165,356.0,2.853413816077,2.759816702884,3.061228512515,-0.30141180963,0,0,0,0.093597113192
2005/02/22,102155.8509984,86.05701033662,18.32245684529,2.276169584648,332.4,2.462550264425,2.768970110638,3.065508048499,-0.29653793786,0,0,0,-0.30641984621
2005/02/23,102159.4198204,86.00260255033,18.32731969330,2.279908975357,319.2,1.272957675780,2.778675430500,3.069765320260,-0.29108988975,0,0,0,-1.50571775472
2005/02/24,102162.3498298,85.94836450448,18.33764812005,2.283344950592,322.6,1.406489068405,2.788868957625,3.073991256264,-0.28512229863,0,0,0,-1.38237988922
2005/02/25,102164.6623477,85.89478822419,18.35379064332,2.286588215999,303.6,2.792789554555,2.799587270725,3.078225875439,-0.27863860471,0,0,0,-0.00679771617
2005/02/26,102166.4492189,85.84183270736,18.37626798966,2.289774078478,178.9,3.437927817159,2.811039224077,3.082587944650,-0.27154872057,0,0,0,0.626888593081
2005/02/27,102167.7309442,85.78720183689,18.40511296076,2.292828734265,348.0,3.198256704332,2.823229645276,3.087136679145,-0.26390703386,0,0,0,0.375027059055
2005/02/28,102168.4542211,85.73216667760,18.44236746074,2.295727582106,356.7,2.418098889206,2.836157290818,3.091980434009,-0.25582314319,0,0,0,-0.41805840161
2005/03/01,102168.6104391,85.68074543441,18.48924515150,2.298552626183,215.8,2.545931191625,2.849867547434,3.097142580542,-0.24727503310,0,0,0,-0.30393635580
2005/03/02,102168.1909877,85.63384015334,18.54588954036,2.301365369633,344.6,2.659259036932,2.864401465661,3.102613777466,-0.23821231180,0,0,0,-0.20514242872
2005/03/03,102167.1331337,85.59198386157,18.61262454385,2.304116609947,348.8,3.316038832580,2.879723396979,3.108362491009,-0.22863909403,0,0,0,0.436315435601
2005/03/04,102165.3679937,85.55497154864,18.68915084669,2.306851449423,336.2,3.404591614730,2.895638133633,3.114316626208,-0.21867849257,0,0,0,0.508953481096
2005/03/05,102162.7582106,85.52395127311,18.77559145516,2.309541186600,356.6,3.922175296084,2.911913251862,3.120360290208,-0.20844703834,0,0,0,1.010262044221
2005/03/06,102159.2357210,85.50150616671,18.87194636926,2.312173520849,210.6,3.644543480293,2.928352064047,3.126392908854,-0.19804084480,0,0,0,0.716191416246
2005/03/07,102154.8054450,85.48685718971,18.97716183525,2.314773053425,300.4,3.561162553093,2.944859350573,3.132344219507,-0.18748486893,0,0,0,0.616303202519
2005/03/08,102149.5579974,85.47754421665,19.09017179876,2.317294682028,277.1,2.792789554555,2.961380705350,3.138237096048,-0.17685639069,0,0,0,-0.16859115079
2005/03/09,102143.6200746,85.47168115133,19.20961499036,2.319758907704,353.2,2.990619224167,2.977880612396,3.144087889262,-0.16620727686,0,0,0,0.012738611770
2005/03/10,102137.0105375,85.46881697076,19.33429414900,2.321973020624,295.1,2.271496821710,2.994202319604,3.149811395203,-0.15560907559,0,0,0,-0.72270549789
2005/03/11,102129.6477920,85.47202683176,19.46409036860,2.323875517651,326.1,0.936485439159,3.010046937984,3.155275828683,-0.14522889069,0,0,0,-2.07356149882
2005/03/12,102121.3944811,85.48475491000,19.59968018368,2.325294190003,353.5,2.694350115363,3.025097442395,3.160364269618,-0.13526682722,0,0,0,-0.33074732703
2005/03/13,102112.1993521,85.50810826192,19.74155561933,2.326270039772,359.9,2.882401188244,3.039195082648,3.165060233726,-0.12586515107,0,0,0,-0.15679389440
2005/03/14,102102.1070974,85.54138985198,19.88911804502,2.326946574275,191.8,2.823561027615,3.052413397043,3.169364473540,-0.11695107649,0,0,0,-0.22885236942
2005/03/15,102091.1673295,85.58357462790,20.04103899298,2.327487801877,190.9,2.937976033993,3.064972372255,3.173226337721,-0.10825396546,0,0,0,-0.12699633826
2005/03/16,102079.4530321,85.63470359178,20.19618680552,2.327914223625,259.5,3.218875824868,3.076926776714,3.176604728145,-0.09967795143,0,0,0,0.141949048153
2005/03/17,102067.0367788,85.69517816638,20.35434827176,2.328164336381,328.6,3.111246069766,3.088180382067,3.179526756406,-0.09134637433,0,0,0,0.023065687698
2005/03/18,102053.9915535,85.76617881421,20.51565049817,2.328279142236,273.9,3.485939797616,3.098623330564,3.182037378697,-0.08341404813,0,0,0,0.387316467052
2005/03/19,102040.4124810,85.84791054573,20.68008938455,2.328336545163,162.1,3.733773944753,3.108216766188,3.184206750408,-0.07598998422,0,0,0,0.625557178565
2005/03/20,102026.4611095,85.93697018737,20.84682438804,2.328348845791,281.4,3.815692705478,3.116887866944,3.186150141583,-0.06926227463,0,0,0,0.698804838533
2005/03/21,102012.2612653,86.03282471196,21.01524457747,2.328381647464,187.5,3.670860584974,3.124728133515,3.187921380709,-0.06319324719,0,0,0,0.546132451458
