,Pressure,RH,Temperature,Wind Speed,Wind Direction,ln(O3),O3_BL,Y hat,Error,Long Term,delta,Season,Short
2003/02/12,102038.2742219,89.05248314193,21.89261956619,4.740805281069,283.0,3.848844625545,3.602581471205,3.417352371084,0.185229100121,0,0,0,0.246263154339
2003/02/13,102027.3209233,89.02577428333,21.98391586370,4.756677190536,344.0,3.111246069766,3.597235889233,3.417837133315,0.179398755917,0,0,0,-0.48598981946
2003/02/14,102016.5123621,88.98244565364,22.07252025503,4.772364590594,356.0,3.404591614730,3.592096741419,3.418435544195,0.173661197223,0,0,0,-0.18750512668
2003/02/15,102005.8879002,88.92220064371,22.15771850014,4.787949485423,358.0,3.278298783800,3.587193105119,3.419116601042,0.168076504077,0,0,0,-0.30889432131
2003/02/16,101995.4967403,88.84546360060,22.23937158145,4.803673787363,354.0,2.937976033993,3.582589363758,3.419891194970,0.162698168787,0,0,0,-0.64461332976
2003/02/17,101985.3995653,88.75353257671,22.31760647012,4.819275083029,323.0,3.239078372185,3.578329379612,3.420796334335,0.157533045276,0,0,0,-0.33925100742
2003/02/18,101975.6997006,88.64677631203,22.39162636024,4.834917380786,348.0,3.454191395672,3.574343501490,3.421825797448,0.152517704042,0,0,0,-0.12015210581
2003/02/19,101966.4980113,88.52606424362,22.46076652179,4.849563327729,242.0,3.657788603885,3.570543239469,3.422996238063,0.147547001406,0,0,0,0.087245364416
2003/02/20,101957.9281643,88.39127087636,22.52455717331,4.862335479109,119.0,4.089229837623,3.566922483191,3.424374343938,0.142548139253,0,0,0,0.522307354431
2003/02/21,101950.0660133,88.23834549478,22.58284834966,4.873049325515,359.0,4.089229837623,3.563602248167,3.426060023510,0.137542224657,0,0,0,0.525627589455
2003/02/22,101942.9414900,88.06838844330,22.63622178441,4.881729468202,297.0,3.792964656905,3.560734591799,3.428105989215,0.132628602584,0,0,0,0.232230065106
2003/02/23,101936.4803804,87.88559889776,22.68484518840,4.888880232891,348.0,3.454191395672,3.558423122370,3.430407283111,0.128015839259,0,0,0,-0.10423172669
2003/02/24,101930.5338472,87.69356604182,22.72966906392,4.894321210381,321.0,3.670860584974,3.556573269924,3.432895622030,0.123677647894,0,0,0,0.114287315049
2003/02/25,101924.9612530,87.49452856505,22.77170951248,4.898105703390,347.0,3.891403884892,3.555158614756,3.435529276492,0.119629338263,0,0,0,0.336245270135
2003/02/26,101919.6613227,87.29407145659,22.81177800237,4.899696584525,346.0,3.792964656905,3.554063447613,3.438237286827,0.115826160786,0,0,0,0.238901209291
2003/02/27,101914.5586124,87.09540830042,22.85064115379,4.899282463405,357.0,3.657788603885,3.553266297476,3.440984057764,0.112282239712,0,0,0,0.104522306409
2003/02/28,101909.5969494,86.90135175391,22.88801301406,4.897051949649,347.0,3.644543480293,3.552745864831,3.443663947370,0.109081917460,0,0,0,0.091797615462
2003/03/01,101904.7267210,86.71333092851,22.92382889827,4.892656525482,357.0,3.218875824868,3.552372000400,3.446223613241,0.106148387159,0,0,0,-0.33349617553
2003/03/02,101899.9225060,86.53276840000,22.95791355119,4.886399606379,331.0,3.516711177874,3.552088016997,3.448605468703,0.103482548294,0,0,0,-0.03537683912
2003/03/03,101895.1539628,86.36112236264,22.99016536143,4.877846570175,284.0,3.454191395672,3.551855194118,3.450767005891,0.101088188227,0,0,0,-0.09766379844
2003/03/04,101890.3895198,86.19996374185,23.02024799704,4.866829308294,296.0,3.644543480293,3.551604002360,3.452638895370,0.098965106990,0,0,0,0.092939477933
2003/03/05,101885.6099061,86.05141907007,23.04773971462,4.853614334331,307.0,3.485939797616,3.551262629879,3.454137325156,0.097125304723,0,0,0,-0.06532283226
2003/03/06,101880.7773996,85.91573060806,23.07364127680,4.838099143056,348.0,2.853413816077,3.550800086613,3.455319690290,0.095480396322,0,0,0,-0.69738627053
2003/03/07,101875.8575587,85.79250711796,23.09957038008,4.820603550781,360.0,2.728251441751,3.550461990306,3.456299510617,0.094162479689,0,0,0,-0.82221054855
2003/03/08,101870.8044610,85.68117548074,23.12593165361,4.802013202673,357.0,3.278298783800,3.550329172609,3.457073269150,0.093255903459,0,0,0,-0.27203038880
2003/03/09,101865.5631637,85.58094073557,23.15367573496,4.783176842018,156.0,3.815692705478,3.550365843740,3.457681294286,0.092684549454,0,0,0,0.265326861737
2003/03/10,101860.0910246,85.49181702816,23.18418857271,4.763659846652,354.0,3.932225552745,3.550521733753,3.458219171731,0.092302562021,0,0,0,0.381703818992
2003/03/11,101854.3367911,85.41294924351,23.21781803271,4.743162901307,126.0,4.080646166139,3.550803351611,3.458699469431,0.092103882180,0,0,0,0.529842814528
2003/03/12,101848.2348599,85.34342836524,23.25479331665,4.721854114559,332.0,3.880932670989,3.551219175795,3.459107903863,0.092111271931,0,0,0,0.329713495194
2003/03/13,101841.7110172,85.28363891918,23.29546642338,4.700061503136,244.0,3.942175805975,3.551770927959,3.459413310669,0.092357617290,0,0,0,0.390404878015
2003/03/14,101834.7230308,85.23394220345,23.34033158391,4.677965476239,354.0,3.815692705478,3.552537905508,3.459620780244,0.092917125264,0,0,0,0.263154799969
2003/03/15,101827.2557300,85.19442230103,23.39017797367,4.655299520275,337.0,3.644543480293,3.553560687487,3.459790059996,0.093770627490,0,0,0,0.090982792806
2003/03/16,101819.3132149,85.16580611341,23.44574959612,4.632321948419,349.0,3.531748922267,3.554831836259,3.459971657605,0.094860178654,0,0,0,-0.02308291399
2003/03/17,101810.8643240,85.14834488498,23.50735372914,4.608872852515,347.0,3.297346836535,3.556282713607,3.460169745211,0.096112968396,0,0,0,-0.25893587707
2003/03/18,101801.8766657,85.14146345073,23.57507104432,4.585136741973,311.0,3.561162553093,3.557872134241,3.460374616193,0.097497518047,0,0,0,0.003290418852
2003/03/19,101792.3285087,85.14468990938,23.64933439255,4.561068514494,123.0,3.589735685488,3.559691265794,3.460615835118,0.099075430676,0,0,0,0.030044419694
2003/03/20,101782.2001722,85.15755752593,23.73017769486,4.537791627372,359.0,1.406489068405,3.561841467865,3.460870558293,0.100970909572,0,0,0,-2.15535239946
2003/03/21,101771.4469637,85.17929475583,23.81780991430,4.516376235187,339.0,3.218875824868,3.564384044492,3.461119298738,0.103264745753,0,0,0,-0.34550821962
2003/03/22,101760.0520726,85.21131624502,23.91226973635,4.497051949649,209.0,4.217404023400,3.567305455089,3.461329648640,0.105975806449,0,0,0,0.650098568310
2003/03/23,101747.9892574,85.25372784452,24.01326621427,4.479835171593,218.0,4.122846171527,3.570505727652,3.461457712262,0.109048015389,0,0,0,0.552340443875
2003/03/24,101735.3028004,85.30333197343,24.12067252449,4.464065767354,351.0,3.454191395672,3.573856640276,3.461580049449,0.112276590826,0,0,0,-0.11966524460
2003/03/25,101722.0993070,85.35722509737,24.23362191561,4.449788839230,341.0,3.804393250326,3.577322595317,3.461736153573,0.115586441743,0,0,0,0.227070655008
2003/03/26,101708.4829226,85.41361436713,24.35151926278,4.436618967567,352.0,3.815692705478,3.580872439009,3.461978087328,0.118894351680,0,0,0,0.234820266468
2003/03/27,101694.5217106,85.46862471196,24.47419404239,4.424437246299,326.0,3.561162553093,3.584507104524,3.462395145307,0.122111959216,0,0,0,-0.02334455143
2003/03/28,101680.2808643,85.52081986961,24.60121363319,4.412952560580,345.0,3.589735685488,3.588206445075,3.463020254247,0.125186190828,0,0,0,0.001529240413
2003/03/29,101665.8436180,85.56870597400,24.73256470950,4.402214112919,359.0,3.804393250326,3.592009472043,3.463928746907,0.128080725135,0,0,0,0.212383778282
2003/03/30,101651.2899257,85.61193069006,24.86788675222,4.392533519209,332.0,3.848844625545,3.596038745592,3.465143456325,0.130895289266,0,0,0,0.252805879952
2003/03/31,101636.6804706,85.65029333305,25.00709019229,4.383713969412,272.0,3.733773944753,3.600342000765,3.466703706383,0.133638294381,0,0,0,0.133431943987
2003/04/01,101622.0218131,85.68278159416,25.15058970027,4.375944073147,294.0,3.177203468893,3.604865284583,3.468660262001,0.136205022582,0,0,0,-0.42766181569
2003/04/02,101607.2864815,85.70979034400,25.29945593095,4.369150026651,319.0,3.155697444985,3.609608249764,3.471080564604,0.138527685160,0,0,0,-0.45391080477
2003/04/03,101592.4572552,85.73107163475,25.45406668580,4.363315429086,307.0,3.111246069766,3.614536920648,3.473988819027,0.140548101620,0,0,0,-0.50329085088
2003/04/04,101577.5509450,85.74673891098,25.61339007749,4.358374677108,349.0,2.853413816077,3.619638357503,3.477308756861,0.142329600641,0,0,0,-0.76622454142
2003/04/05,101562.5786214,85.75704123990,25.77599891344,4.354016154823,338.0,3.437927817159,3.624657956595,3.480929204494,0.143728752101,0,0,0,-0.18673013943
2003/04/06,101547.6292590,85.76308596908,25.94100875804,4.349797039649,108.0,4.268698349366,3.629549926765,3.484826683013,0.144723243752,0,0,0,0.639148422600
2003/04/07,101532.7869120,85.76531367419,26.10723452786,4.345573824265,323.0,4.131076604277,3.634390283599,3.488953587585,0.145436696014,0,0,0,0.496686320678
2003/04/08,101518.1130837,85.76334282258,26.27366357784,4.341260404280,355.0,3.942175805975,3.639252059335,3.493272683997,0.145979375338,0,0,0,0.302923746639
2003/04/09,101503.6426257,85.75747139694,26.43992474476,4.336721472795,117.0,4.027535019822,3.644096836320,3.497774001304,0.146322835016,0,0,0,0.383438183502
2003/04/10,101489.4395013,85.74809138956,26.60564573783,4.332006232317,320.0,4.097740456307,3.648871260821,3.502462415197,0.146408845623,0,0,0,0.448869195486
2003/04/11,101475.5725941,85.73410710156,26.77046505391,4.326967075320,331.0,3.769705700894,3.653606629653,3.507371921008,0.146234708644,0,0,0,0.116099071241
2003/04/12,101462.0583048,85.71606921973,26.93423408503,4.321521997621,244.0,3.133718727638,3.658131151164,3.512494395614,0.145636755549,0,0,0,-0.52441242352
2003/04/13,101448.8749025,85.69513127639,27.09631403091,4.315794005494,303.0,3.239078372185,3.662366977063,3.517742633642,0.144624343421,0,0,0,-0.42328860487
2003/04/14,101435.9600638,85.67070319406,27.25613070646,4.309569888064,350.0,3.922175296084,3.666294764571,3.523038745102,0.143256019468,0,0,0,0.255880531512
2003/04/15,101423.2645863,85.64226232727,27.41342472426,4.302652835294,231.0,3.334387839262,3.669942477798,3.528338898314,0.141603579484,0,0,0,-0.33555463853
2003/04/16,101410.7277869,85.60975526671,27.56790532617,4.295104350321,349.0,3.745895218891,3.673372656409,3.533577707292,0.139794949117,0,0,0,0.072522562481
2003/04/17,101398.2504406,85.57313220304,27.71934681618,4.286924433146,348.0,3.531748922267,3.676454660438,3.538670495883,0.137784164554,0,0,0,-0.14470573817
2003/04/18,101385.7386525,85.53338822009,27.86829252941,4.277526753864,344.0,3.198256704332,3.679120028940,3.543595932342,0.135524096598,0,0,0,-0.48086332460
2003/04/19,101373.1374798,85.49144482758,28.01493247775,4.266382385501,334.0,3.198256704332,3.681307831818,3.548329029916,0.132978801901,0,0,0,-0.48305112748
2003/04/20,101360.4461025,85.44686434458,28.15962538439,4.253286317602,328.0,3.316038832580,3.682985366844,3.552909341621,0.130076025223,0,0,0,-0.36694653426
2003/04/21,101347.7178234,85.39675949813,28.30209078272,4.238082742219,329.0,3.644543480293,3.684212505636,3.557393352380,0.126819153256,0,0,0,-0.03966902534
