Eastern,Spring,Summer,Fall,Winter
2003,321.545366403719,116.65089468739005,215.07993807231193,37.538912195635994
2004,140.57681319534493,440.5383296712258,278.54554660704383,155.72382686394005
2005,201.46830500499402,189.51823395285598,319.9505270380329,146.33595918147495
2006,268.35389004712493,180.96037714707802,233.784711136683,168.03070570184306
2007,234.233967919591,171.58903891262904,350.9516410728207,109.353315235904
2008,369.18092850546907,107.20105225254397,341.1200145514667,45.41705606402101
2009,229.82736451405904,205.72925114081997,360.565347166239,202.64756052713204
2010,244.32263518981398,311.38722776363,329.20399616595097,201.445858207201
2011,557.1814402499559,285.14311752302797,186.957946362809,131.79231784016503
2012,281.59760801958777,720.2009728235041,259.78857170137684,116.40128307157704
2013,349.11984550807495,149.41304935034898,226.96310544342796,167.06241653506603
2014,232.638700462159,386.00691032549094,432.161236814476,170.83956223855907
2015,297.56490574429097,562.623790437231,468.536678554545,73.47434623687097
2016,411.86260276138097,296.3526187315871,127.939681574504,226.017395777495
2017,490.457050959894,180.20971180797093,540.602671107538,46.94989326039399
