Macau,Spring,Summer,Fall,Winter
2003,409.75253645449794,203.398127932748,807.175443477174,313.98700147696195
2004,534.290138915058,882.3413516852605,1078.4205876804335,359.33589884903597
2005,411.0457756865438,118.50517813509595,1056.0784553787676,462.9370380809491
2006,663.1888050416358,241.36677931544287,857.7292057793943,749.679634675527
2007,793.6708047903658,118.97624802050697,961.1484496559121,460.2529299823461
2008,776.6791825391379,149.8480032805649,853.3454660677517,538.205968117582
2009,363.71281797031276,469.13518894179003,927.7313323020508,584.771377976042
2010,413.46559629097794,500.1448828832231,551.698171917661,520.0341464682729
2011,796.5520156973919,299.051500443723,486.23673763142926,326.857557289067
2012,753.9836010699102,565.530852512892,568.7674728241388,449.14673054830706
2013,480.59959911670313,262.24674550645096,615.7239228560957,432.622394337562
2014,252.82436527067392,323.95992302006715,780.4612848787389,303.0402361800941
2015,458.061644744997,615.1924077430049,762.3694143884619,351.52836010138594
