Sha Tin,Spring,Summer,Fall,Winter
2003,628.003266666425,196.91814708591497,555.9815949633811,178.98509792456497
2004,398.6884071241239,954.212994698172,587.0711932860567,393.181029952718
2005,568.9393321174598,566.4595134240651,722.4118106598607,275.0058770929311
2006,687.2496970599742,492.82801204437396,1116.8054546358037,133.764779081872
2007,622.992860170939,177.90439371079304,636.9688997735452,696.7945156730422
2008,831.668421598999,382.16847000454607,656.0354427583663,317.5207445285212
2009,484.8947547321649,579.8538048728238,844.9414136114211,501.69533378365475
2010,517.7465490369469,425.34766587219684,459.8266998127848,346.8870680562201
2011,864.2264694908832,343.151009910337,427.8176890378809,382.0841925263211
2012,548.5948590185711,835.3069460878199,441.9546153502749,233.84020270397707
2013,460.8437669163532,220.65317812705007,394.009079471974,285.6509415178871
2014,367.781535157838,528.920600797358,604.5391786142371,215.93162903137102
2015,477.0015003373969,547.9066795179388,664.6934008449308,144.550849805824
2016,550.2981115761281,424.43887168759727,219.41953430726693,363.042782543823
2017,692.157047088588,225.36850619051796,753.0987600630073,98.87895261079103
