ShamShuiPo,Spring,Summer,Fall,Winter
2003,431.88553006951014,258.790127203002,432.038763286965,40.586018533441006
2004,356.994131689807,683.863740325377,645.595946623898,163.94883950717502
2005,414.6408450341961,552.0182665665501,605.2584146169097,257.99523041380104
2006,482.9312558071869,415.11154822970593,500.24326815797036,284.55285977882795
2007,423.0500433759242,105.64268169335898,629.031723915201,262.5141788561159
2008,544.8822983619642,303.77908180095994,588.8503198429981,154.337559823211
2009,387.50746900077615,531.3969533006539,531.2660061196678,285.025635667463
2010,422.248416059089,415.91879383943507,425.5768767481739,243.50931834134315
2011,688.9291533607479,432.01575913590597,237.361427972775,220.65557148348006
2012,345.5768537010169,867.2787064500949,433.13923585057125,142.86807618405598
2013,425.56947653536804,250.76706773004207,365.0964666412692,163.34272604951306
2014,289.04277169719194,524.2687227321081,542.2641804106537,173.899601565941
2015,418.39723451439204,582.6171616863971,528.6585980109958,158.77869270880885
2016,527.112354740153,381.5129691196681,309.0752332561129,257.659512027242
2017,692.418577685165,168.75638516753796,762.3678726905599,66.748719819192
