Tsuen Wan,Spring,Summer,Fall,Winter
2005,487.11149192214697,425.916840122386,676.248650821708,93.81457667874598
2006,732.5790627067499,437.0143860010402,465.446640986741,169.27001628014003
2007,483.84920007145996,137.48526258618995,530.4032130265308,224.152654078592
2008,595.1268435251418,227.06797290928,574.936456008464,133.84639118106102
2009,453.4951862326099,429.4977027939879,603.8471757364168,270.4340635304121
2010,550.883427972355,425.84029463718997,413.3260364141421,386.34701749064095
2011,859.4221822400401,360.88670663349797,324.62251654609196,222.506086711047
2012,534.0650237171939,885.0688624800239,436.8386209556931,199.63259177804102
2013,496.3836511625259,272.54098142185194,416.99397928050007,163.264223004035
2014,393.063233742968,546.0127114268801,555.9107060553031,239.65513995827195
2015,536.254300907209,662.085279578744,596.4238274507929,195.43109278432001
2016,708.4305815245679,423.3610095839339,338.38022711943097,298.611332883891
2017,772.9387702211789,281.42426432028503,723.367515209779,59.53612898727197
