Tung Chung,Spring,Summer,Fall,Winter
2003,498.392797223699,365.1836932163661,1011.2620410141533,262.82683132973096
2004,543.9762811554372,1092.262631924226,1366.4331483596843,454.2924862508759
2005,414.1968631709202,467.172028343506,1014.8612735876659,405.2673270938
2006,466.592805438439,509.15482701412304,908.9242706818069,604.7938074932631
2007,572.0215760673848,147.29308902465297,973.4292050018196,466.0930964946701
2008,687.6138240302743,229.86366395047597,896.2030320889291,630.5397905722622
2009,432.244858563996,642.9513232421699,1064.9922656458716,415.5830726295431
2010,277.94725249950295,653.2173011676082,770.901909862124,521.1110474876328
2011,988.3110263149887,640.518474540394,771.5584213659662,372.124928052706
2012,533.845892005309,1124.0132397501297,636.5817578612721,320.95523466814706
2013,453.15415404133284,277.732009004582,639.4759428574761,404.7691047543979
2014,349.89015230409984,560.4174645924979,957.8652783590718,262.9014377460571
2015,512.773417107897,644.0479980414009,927.131500321567,210.78127913054286
2016,560.166309460648,379.18538066272487,587.7007643153519,466.86870076289983
2017,826.805212245087,389.04893252228106,926.6935673825061,202.15178630349988
