Yuen Long,Spring,Summer,Fall,Winter
2005,494.78368752716295,492.38309435362993,984.7022915414283,157.22054593029
2006,519.627629186945,654.4867089842861,635.102206338644,594.254758487618
2007,631.8279794903809,216.15530083265196,913.2422646902891,395.94489952213013
2008,685.355266320419,351.5051188057301,731.4177311810054,409.525229898636
2009,485.1802456408619,702.3804138949771,1014.530700768623,386.388606487276
2010,422.832785471047,513.796295236795,684.8157351865414,359.75149544897107
2011,977.828597559399,709.8412554350068,592.1089120438319,460.60321910078085
2012,516.285241461149,1121.580383866238,680.3068134969236,215.19786145719695
2013,370.0711788943271,482.69606646326207,475.1276878362862,379.90226133532894
2014,333.44383367841294,670.4556150864718,903.8234722597803,224.06106897583797
2015,503.3917764302529,646.326550022761,805.7222707577577,202.06832943482902
2016,528.9385150461699,699.2673277497839,397.34570192922814,548.8472443305801
2017,729.3554695371141,499.08442577123293,996.560075421805,195.50317819978505
