"Relative Humidity, lat=22.3158, lon=114.2556 [JKB_AWS]"
"Station: JKB_AWS"
"Time Period (UTC+8): 20030101-20091231"
"Time","Height","%","Source","Status","Details"
2003/01/01 00:00:00,52.0000,79.0000,"A_HKOAWS2",-1,0
2003/01/01 01:00:00,52.0000,76.0000,"A_HKOAWS2",-1,0
2003/01/01 02:00:00,52.0000,80.0000,"A_HKOAWS2",-1,0
2003/01/01 03:00:00,52.0000,79.0000,"A_HKOAWS2",-1,0
2003/01/01 04:00:00,52.0000,80.0000,"A_HKOAWS2",-1,0
2003/01/01 05:00:00,52.0000,80.0000,"A_HKOAWS2",-1,0
2003/01/01 06:00:00,52.0000,79.0000,"A_HKOAWS2",-1,0
2003/01/01 07:00:00,52.0000,80.0000,"A_HKOAWS2",-1,0
2003/01/01 08:00:00,52.0000,81.0550,"A_HKOAWS4",0,0
2003/01/01 09:00:00,52.0000,79.4816,"A_HKOAWS4",0,0
2003/01/01 10:00:00,52.0000,78.9839,"A_HKOAWS4",0,0
2003/01/01 11:00:00,52.0000,75.9381,"A_HKOAWS4",0,0
2003/01/01 12:00:00,52.0000,77.0197,"A_HKOAWS4",0,0
2003/01/01 13:00:00,52.0000,76.5104,"A_HKOAWS4",0,0
2003/01/01 14:00:00,52.0000,72.1333,"A_HKOAWS4",0,0
2003/01/01 15:00:00,52.0000,68.0237,"A_HKOAWS4",0,0
2003/01/01 16:00:00,52.0000,70.7427,"A_HKOAWS4",0,0
2003/01/01 17:00:00,52.0000,74.0610,"A_HKOAWS4",0,0
2003/01/01 18:00:00,52.0000,79.0428,"A_HKOAWS4",0,0
2003/01/01 19:00:00,52.0000,74.5548,"A_HKOAWS4",0,0
2003/01/01 20:00:00,52.0000,72.6153,"A_HKOAWS4",0,0
2003/01/01 21:00:00,52.0000,71.6917,"A_HKOAWS4",0,0
2003/01/01 22:00:00,52.0000,71.6917,"A_HKOAWS4",0,0
2003/01/01 23:00:00,52.0000,72.6337,"A_HKOAWS4",0,0
2003/01/02 00:00:00,52.0000,73.6058,"A_HKOAWS4",0,0
2003/01/02 01:00:00,52.0000,75.0684,"A_HKOAWS4",0,0
2003/01/02 02:00:00,52.0000,76.0370,"A_HKOAWS4",0,0
2003/01/02 03:00:00,52.0000,78.5804,"A_HKOAWS4",0,0
2003/01/02 04:00:00,52.0000,79.6254,"A_HKOAWS4",0,0
2003/01/02 05:00:00,52.0000,80.6689,"A_HKOAWS4",0,0
2003/01/02 06:00:00,52.0000,80.6553,"A_HKOAWS4",0,0
2003/01/02 07:00:00,52.0000,80.6826,"A_HKOAWS4",0,0
2003/01/02 08:00:00,52.0000,80.1525,"A_HKOAWS4",0,0
2003/01/02 09:00:00,52.0000,80.1525,"A_HKOAWS4",0,0
2003/01/02 10:00:00,52.0000,79.1160,"A_HKOAWS4",0,0
2003/01/02 11:00:00,52.0000,77.0514,"A_HKOAWS4",0,0
2003/01/02 12:00:00,52.0000,77.0356,"A_HKOAWS4",0,0
2003/01/02 13:00:00,52.0000,75.6011,"A_HKOAWS4",0,0
2003/01/02 14:00:00,52.0000,76.6072,"A_HKOAWS4",0,0
2003/01/02 15:00:00,52.0000,76.1518,"A_HKOAWS4",0,0
2003/01/02 16:00:00,-99999,-99999,"None",-99999,-99999
2003/01/02 17:00:00,52.0000,76.2008,"A_HKOAWS4",0,0
2003/01/02 18:00:00,52.0000,81.8556,"A_HKOAWS4",0,0
2003/01/02 19:00:00,52.0000,77.1935,"A_HKOAWS4",0,0
2003/01/02 20:00:00,52.0000,75.6843,"A_HKOAWS4",0,0
2003/01/02 21:00:00,52.0000,83.9979,"A_HKOAWS4",0,0
2003/01/02 22:00:00,52.0000,79.7395,"A_HKOAWS4",0,0
2003/01/02 23:00:00,52.0000,73.7477,"A_HKOAWS4",0,0
2003/01/03 00:00:00,52.0000,77.1463,"A_HKOAWS4",0,0
2003/01/03 01:00:00,52.0000,75.0684,"A_HKOAWS4",0,0
2003/01/03 02:00:00,52.0000,81.1758,"A_HKOAWS4",0,0
2003/01/03 03:00:00,52.0000,86.5442,"A_HKOAWS4",0,0
2003/01/03 04:00:00,52.0000,85.2967,"A_HKOAWS4",0,0
2003/01/03 05:00:00,52.0000,83.0040,"A_HKOAWS4",0,0
2003/01/03 06:00:00,52.0000,77.5670,"A_HKOAWS4",0,0
2003/01/03 07:00:00,52.0000,71.9633,"A_HKOAWS4",0,0
2003/01/03 08:00:00,52.0000,68.5447,"A_HKOAWS4",0,0
2003/01/03 09:00:00,52.0000,57.7403,"A_HKOAWS4",0,0
2003/01/03 10:00:00,52.0000,54.1606,"A_HKOAWS4",0,0
2003/01/03 11:00:00,52.0000,46.7957,"A_HKOAWS4",0,0
2003/01/03 12:00:00,52.0000,44.0069,"A_HKOAWS4",0,0
2003/01/03 13:00:00,52.0000,44.2360,"A_HKOAWS4",0,0
2003/01/03 14:00:00,52.0000,41.6468,"A_HKOAWS4",0,0
2003/01/03 15:00:00,52.0000,40.8165,"A_HKOAWS4",0,0
2003/01/03 16:00:00,52.0000,51.7804,"A_HKOAWS4",0,0
2003/01/03 17:00:00,52.0000,49.0731,"A_HKOAWS4",0,0
2003/01/03 18:00:00,52.0000,60.4286,"A_HKOAWS4",0,0
2003/01/03 19:00:00,52.0000,72.1703,"A_HKOAWS4",0,0
2003/01/03 20:00:00,52.0000,68.3651,"A_HKOAWS4",0,0
2003/01/03 21:00:00,52.0000,69.5768,"A_HKOAWS4",0,0
2003/01/03 22:00:00,52.0000,77.3775,"A_HKOAWS4",0,0
2003/01/03 23:00:00,52.0000,77.8938,"A_HKOAWS4",0,0
2003/01/04 00:00:00,52.0000,81.0872,"A_HKOAWS4",0,0
2003/01/04 01:00:00,52.0000,85.5525,"A_HKOAWS4",0,0
2003/01/04 02:00:00,52.0000,86.7114,"A_HKOAWS4",0,0
2003/01/04 03:00:00,52.0000,88.4828,"A_HKOAWS4",0,0
2003/01/04 04:00:00,52.0000,87.8787,"A_HKOAWS4",0,0
2003/01/04 05:00:00,52.0000,87.8787,"A_HKOAWS4",0,0
2003/01/04 06:00:00,52.0000,88.4479,"A_HKOAWS4",0,0
2003/01/04 07:00:00,52.0000,86.0677,"A_HKOAWS4",0,0
2003/01/04 08:00:00,52.0000,72.2138,"A_HKOAWS4",0,0
2003/01/04 09:00:00,52.0000,58.1965,"A_HKOAWS4",0,0
2003/01/04 10:00:00,52.0000,55.3119,"A_HKOAWS4",0,0
2003/01/04 11:00:00,52.0000,54.6776,"A_HKOAWS4",0,0
2003/01/04 12:00:00,52.0000,48.4259,"A_HKOAWS4",0,0
2003/01/04 13:00:00,52.0000,47.8395,"A_HKOAWS4",0,0
2003/01/04 14:00:00,52.0000,47.3764,"A_HKOAWS4",0,0
2003/01/04 15:00:00,52.0000,47.7609,"A_HKOAWS4",0,0
