"Relative Humidity, lat=22.3132, lon=114.1704 [KP_AWS]"
"Station: KP_AWS"
"Time Period (UTC+8): 20030101-20091231"
"Time","Height","%","Source","Status","Details"
2003/01/01 00:00:00,90.0000,72.0774,"A_HKOAWS4",0,0
2003/01/01 01:00:00,90.0000,73.5166,"A_HKOAWS4",0,0
2003/01/01 02:00:00,90.0000,75.4840,"A_HKOAWS4",0,0
2003/01/01 03:00:00,90.0000,76.4618,"A_HKOAWS4",0,0
2003/01/01 04:00:00,90.0000,75.4672,"A_HKOAWS4",0,0
2003/01/01 05:00:00,90.0000,75.4504,"A_HKOAWS4",0,0
2003/01/01 06:00:00,90.0000,75.9381,"A_HKOAWS4",0,0
2003/01/01 07:00:00,90.0000,76.4131,"A_HKOAWS4",0,0
2003/01/01 08:00:00,90.0000,75.8719,"A_HKOAWS4",0,0
2003/01/01 09:00:00,90.0000,78.4303,"A_HKOAWS4",0,0
2003/01/01 10:00:00,90.0000,76.4131,"A_HKOAWS4",0,0
2003/01/01 11:00:00,90.0000,72.1147,"A_HKOAWS4",0,0
2003/01/01 12:00:00,90.0000,71.3301,"A_HKOAWS4",0,0
2003/01/01 13:00:00,90.0000,71.7482,"A_HKOAWS4",0,0
2003/01/01 14:00:00,90.0000,68.1270,"A_HKOAWS4",0,0
2003/01/01 15:00:00,90.0000,66.7142,"A_HKOAWS4",0,0
2003/01/01 16:00:00,90.0000,68.4388,"A_HKOAWS4",0,0
2003/01/01 17:00:00,90.0000,70.7233,"A_HKOAWS4",0,0
2003/01/01 18:00:00,90.0000,75.3999,"A_HKOAWS4",0,0
2003/01/01 19:00:00,90.0000,74.4682,"A_HKOAWS4",0,0
2003/01/01 20:00:00,90.0000,74.0083,"A_HKOAWS4",0,0
2003/01/01 21:00:00,90.0000,73.5344,"A_HKOAWS4",0,0
2003/01/01 22:00:00,90.0000,72.0960,"A_HKOAWS4",0,0
2003/01/01 23:00:00,90.0000,72.5786,"A_HKOAWS4",0,0
2003/01/02 00:00:00,90.0000,71.1202,"A_HKOAWS4",0,0
2003/01/02 01:00:00,90.0000,74.5202,"A_HKOAWS4",0,0
