"Wind, lat=22.3147, lon=114.2233 [KT_A]"
"Station: KT_A"
"Time Period (UTC+8): 20100101-20171231"
"Time","Height","m/s","Degree","Source","Status","Details"
2010/01/01 00:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/01 01:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/01 02:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/01 03:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/01 04:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/01 05:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/01 06:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/01 07:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/01 08:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/01 09:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/01 10:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/01 11:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/01 12:00:00,25.0000,2.7000,152.6000,"AQMIS",0,0
2010/01/01 13:00:00,25.0000,2.8000,147.7000,"AQMIS",0,0
2010/01/01 14:00:00,25.0000,3.3000,150.0000,"AQMIS",0,0
2010/01/01 15:00:00,25.0000,2.0000,150.3000,"AQMIS",0,0
2010/01/01 16:00:00,25.0000,2.5000,151.0000,"AQMIS",0,0
2010/01/01 17:00:00,25.0000,2.1000,150.3000,"AQMIS",0,0
2010/01/01 18:00:00,25.0000,1.3000,156.0000,"AQMIS",0,0
2010/01/01 19:00:00,25.0000,0.9000,173.0000,"AQMIS",0,0
2010/01/01 20:00:00,25.0000,2.0000,147.2000,"AQMIS",0,0
2010/01/01 21:00:00,25.0000,2.1000,151.5000,"AQMIS",0,0
2010/01/01 22:00:00,25.0000,2.3000,148.3000,"AQMIS",0,0
2010/01/01 23:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/02 00:00:00,25.0000,0.9000,131.0000,"AQMIS",0,0
2010/01/02 01:00:00,25.0000,1.3000,4.8000,"AQMIS",0,0
2010/01/02 02:00:00,25.0000,2.0000,311.2000,"AQMIS",0,0
2010/01/02 03:00:00,25.0000,1.6000,320.1000,"AQMIS",0,0
2010/01/02 04:00:00,25.0000,2.1000,311.5000,"AQMIS",0,0
2010/01/02 05:00:00,25.0000,1.8000,319.8000,"AQMIS",0,0
2010/01/02 06:00:00,25.0000,2.0000,326.0000,"AQMIS",0,0
2010/01/02 07:00:00,25.0000,2.4000,322.8000,"AQMIS",0,0
2010/01/02 08:00:00,25.0000,1.6000,304.7000,"AQMIS",0,0
2010/01/02 09:00:00,25.0000,1.5000,330.9000,"AQMIS",0,0
2010/01/02 10:00:00,25.0000,1.2000,298.3000,"AQMIS",0,0
2010/01/02 11:00:00,25.0000,1.5000,258.7000,"AQMIS",0,0
2010/01/02 12:00:00,25.0000,1.9000,146.1000,"AQMIS",0,0
2010/01/02 13:00:00,25.0000,2.3000,148.3000,"AQMIS",0,0
2010/01/02 14:00:00,25.0000,1.5000,145.4000,"AQMIS",0,0
2010/01/02 15:00:00,25.0000,1.6000,138.5000,"AQMIS",0,0
2010/01/02 16:00:00,25.0000,1.3000,135.3000,"AQMIS",0,0
2010/01/02 17:00:00,25.0000,1.3000,138.1000,"AQMIS",0,0
2010/01/02 18:00:00,25.0000,1.1000,144.2000,"AQMIS",0,0
2010/01/02 19:00:00,25.0000,1.0000,141.0000,"AQMIS",0,0
2010/01/02 20:00:00,25.0000,1.1000,147.7000,"AQMIS",0,0
2010/01/02 21:00:00,25.0000,1.5000,152.1000,"AQMIS",0,0
2010/01/02 22:00:00,25.0000,1.2000,151.0000,"AQMIS",0,0
2010/01/02 23:00:00,25.0000,1.4000,163.3000,"AQMIS",0,0
2010/01/03 00:00:00,25.0000,2.1000,152.5000,"AQMIS",0,0
2010/01/03 01:00:00,25.0000,1.1000,296.3000,"AQMIS",0,0
2010/01/03 02:00:00,25.0000,1.5000,341.4000,"AQMIS",0,0
2010/01/03 03:00:00,25.0000,0.9000,243.5000,"AQMIS",0,0
2010/01/03 04:00:00,25.0000,1.5000,308.9000,"AQMIS",0,0
2010/01/03 05:00:00,25.0000,1.5000,327.5000,"AQMIS",0,0
2010/01/03 06:00:00,25.0000,1.5000,319.5000,"AQMIS",0,0
2010/01/03 07:00:00,25.0000,1.4000,301.5000,"AQMIS",0,0
2010/01/03 08:00:00,25.0000,1.4000,318.3000,"AQMIS",0,0
2010/01/03 09:00:00,25.0000,1.6000,288.3000,"AQMIS",0,0
2010/01/03 10:00:00,25.0000,2.2000,148.5000,"AQMIS",0,0
2010/01/03 11:00:00,25.0000,3.0000,151.9000,"AQMIS",0,0
2010/01/03 12:00:00,25.0000,3.4000,150.3000,"AQMIS",0,0
2010/01/03 13:00:00,25.0000,3.4000,147.1000,"AQMIS",0,0
2010/01/03 14:00:00,25.0000,2.9000,149.7000,"AQMIS",0,0
2010/01/03 15:00:00,25.0000,1.4000,135.2000,"AQMIS",0,0
2010/01/03 16:00:00,25.0000,1.5000,139.9000,"AQMIS",0,0
2010/01/03 17:00:00,25.0000,1.6000,143.0000,"AQMIS",0,0
2010/01/03 18:00:00,25.0000,1.8000,147.4000,"AQMIS",0,0
2010/01/03 19:00:00,25.0000,1.7000,157.5000,"AQMIS",0,0
2010/01/03 20:00:00,25.0000,1.2000,148.6000,"AQMIS",0,0
2010/01/03 21:00:00,25.0000,1.2000,144.6000,"AQMIS",0,0
2010/01/03 22:00:00,25.0000,1.4000,143.0000,"AQMIS",0,0
2010/01/03 23:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/04 00:00:00,25.0000,2.3000,143.5000,"AQMIS",0,0
2010/01/04 01:00:00,25.0000,2.1000,146.6000,"AQMIS",0,0
2010/01/04 02:00:00,25.0000,1.9000,147.7000,"AQMIS",0,0
2010/01/04 03:00:00,25.0000,1.2000,145.1000,"AQMIS",0,0
2010/01/04 04:00:00,25.0000,1.0000,127.3000,"AQMIS",0,0
2010/01/04 05:00:00,25.0000,0.9000,317.5000,"AQMIS",0,0
2010/01/04 06:00:00,25.0000,0.5000,54.1000,"AQMIS",0,0
2010/01/04 07:00:00,25.0000,0.4000,19.1000,"AQMIS",0,0
2010/01/04 08:00:00,25.0000,0.4000,61.5000,"AQMIS",0,0
2010/01/04 09:00:00,25.0000,1.7000,142.5000,"AQMIS",0,0
2010/01/04 10:00:00,25.0000,1.5000,149.4000,"AQMIS",0,0
2010/01/04 11:00:00,25.0000,1.3000,140.4000,"AQMIS",0,0
2010/01/04 12:00:00,25.0000,1.0000,130.1000,"AQMIS",0,0
2010/01/04 13:00:00,25.0000,0.9000,125.4000,"AQMIS",0,0
2010/01/04 14:00:00,25.0000,1.0000,126.3000,"AQMIS",0,0
2010/01/04 15:00:00,25.0000,1.3000,140.4000,"AQMIS",0,0
2010/01/04 16:00:00,25.0000,1.0000,127.2000,"AQMIS",0,0
2010/01/04 17:00:00,25.0000,0.9000,133.6000,"AQMIS",0,0
2010/01/04 18:00:00,25.0000,1.1000,150.6000,"AQMIS",0,0
2010/01/04 19:00:00,25.0000,0.8000,146.4000,"AQMIS",0,0
2010/01/04 20:00:00,25.0000,0.9000,141.2000,"AQMIS",0,0
2010/01/04 21:00:00,25.0000,1.0000,147.6000,"AQMIS",0,0
2010/01/04 22:00:00,25.0000,1.0000,146.3000,"AQMIS",0,0
2010/01/04 23:00:00,25.0000,1.3000,150.9000,"AQMIS",0,0
2010/01/05 00:00:00,25.0000,1.2000,151.7000,"AQMIS",0,0
2010/01/05 01:00:00,25.0000,1.5000,158.5000,"AQMIS",0,0
2010/01/05 02:00:00,25.0000,1.3000,158.2000,"AQMIS",0,0
2010/01/05 03:00:00,25.0000,1.8000,151.3000,"AQMIS",0,0
2010/01/05 04:00:00,25.0000,2.4000,149.4000,"AQMIS",0,0
2010/01/05 05:00:00,-99999,-99999,-99999,"None",-99999,-99999
2010/01/05 06:00:00,25.0000,2.2000,151.9000,"AQMIS",0,0
2010/01/05 07:00:00,25.0000,2.7000,154.2000,"AQMIS",0,0
2010/01/05 08:00:00,25.0000,3.4000,150.2000,"AQMIS",0,0
2010/01/05 09:00:00,25.0000,3.7000,148.8000,"AQMIS",0,0
2010/01/05 10:00:00,25.0000,3.7000,152.1000,"AQMIS",0,0
2010/01/05 11:00:00,25.0000,3.2000,147.5000,"AQMIS",0,0
2010/01/05 12:00:00,25.0000,3.3000,144.0000,"AQMIS",0,0
2010/01/05 13:00:00,25.0000,4.2000,149.3000,"AQMIS",0,0
2010/01/05 14:00:00,25.0000,3.5000,149.9000,"AQMIS",0,0
2010/01/05 15:00:00,25.0000,3.6000,149.6000,"AQMIS",0,0
2010/01/05 16:00:00,25.0000,3.5000,149.8000,"AQMIS",0,0
2010/01/05 17:00:00,25.0000,3.7000,146.7000,"AQMIS",0,0
